SURVEY: ASASSN
SNTYPE: 1
SNID: ASASSN-18da 
IAUC: 2018vw
RA:    52.319370
DECL:   -23.978640 
RA_HOST:    52.319033
DEC_HOST:   -23.977722
FILTERS: abcdghij
SEARCH_PEAKMJD: 58178
REDSHIFT_HELIO: 0.022 +- 9e-05 
REDSHIFT_CMB: 0.0215702 +- 9e-05 
VPEC: -38.785 +- 250.0
NOBS: 64
NVAR: 7
VARLIST: MJD FLT FIELD MAG MAGERR FLUXCAL FLUXCALERR
OBS: 58167.41110000 d NULL 16.3444 0.0720 28989.45161 1923.82888
OBS: 58169.02090000 d NULL 16.0754 0.0610 37139.83757 2087.72825
OBS: 58171.09520000 d NULL 15.8634 0.0630 45148.15423 2621.19848
OBS: 58173.02930000 d NULL 15.7184 0.0460 51598.84733 2186.77163
OBS: 58174.75980000 d NULL 15.6334 0.0610 55800.74535 3136.70711
OBS: 58174.79030000 d NULL 15.6124 0.0610 56890.53265 3197.96693
OBS: 58176.05380000 d NULL 15.6314 0.0780 55903.62885 4019.60881
OBS: 58178.79350000 d NULL 15.5364 0.0610 61015.47548 3429.84085
OBS: 58181.02050000 d NULL 15.5524 0.0520 60122.91102 2880.61384
OBS: 58195.76030000 d NULL 16.3254 0.0570 29501.22161 1549.49441
OBS: 58197.00340000 d NULL 16.3644 0.0700 28460.33449 1836.17703
OBS: 58202.99020000 d NULL 16.5354 0.0900 24313.08117 2017.69461
OBS: 58206.37670000 d NULL 16.4824 0.0530 25529.36426 1246.70590
OBS: 58208.99120000 d NULL 16.5764 0.0800 23412.08003 1726.62717
OBS: 58212.37220000 d NULL 16.7384 0.0370 20166.93971 687.38723
OBS: 58214.98020000 d NULL 16.8154 0.0480 18786.24578 830.80362
OBS: 58167.40830000 b NULL 16.2410 0.1250 31885.99693 3679.12616
OBS: 58169.01820000 b NULL 15.9390 0.0670 42111.43104 2600.31573
OBS: 58171.09240000 b NULL 15.7220 0.1190 51428.04319 5647.96258
OBS: 58173.02660000 b NULL 15.5570 0.0480 59868.72372 2647.63662
OBS: 58174.75840000 b NULL 15.4670 0.0670 65042.91551 4016.29942
OBS: 58174.78890000 b NULL 15.4810 0.0670 64209.60526 3964.84380
OBS: 58176.05240000 b NULL 15.4870 0.0830 63855.74851 4886.26133
OBS: 58178.79210000 b NULL 15.4440 0.0600 66435.46820 3673.22859
OBS: 58181.01910000 b NULL 15.4510 0.0530 66008.52070 3223.47284
OBS: 58195.75900000 b NULL 16.1830 0.0670 33635.66357 2076.95020
OBS: 58197.00200000 b NULL 16.2280 0.0630 32270.07688 1873.52679
OBS: 58202.98840000 b NULL 16.5980 0.1400 22950.91476 2967.60800
OBS: 58206.37500000 b NULL 16.6040 0.0550 22824.43312 1156.70895
OBS: 58208.98950000 b NULL 16.7230 0.0800 20455.02431 1508.54604
OBS: 58212.37050000 b NULL 17.0000 0.0500 15848.93192 730.12830
OBS: 58214.97850000 b NULL 16.9900 0.0790 15995.58029 1164.89268
OBS: 58167.40660000 a NULL 16.1379 0.0570 35062.26760 1841.57756
OBS: 58169.01650000 a NULL 15.9119 0.0620 43175.76090 2466.85359
OBS: 58171.09070000 a NULL 15.6669 0.0700 54105.32374 3490.71626
OBS: 58173.02480000 a NULL 15.4669 0.0430 65048.90646 2576.90058
OBS: 58174.78750000 a NULL 15.3479 0.0610 72583.84994 4080.12970
OBS: 58176.05100000 a NULL 15.4359 0.1090 66932.95516 6730.87389
OBS: 58178.44120000 a NULL 15.3989 0.0480 69253.22460 3062.65713
OBS: 58178.79080000 a NULL 15.3469 0.0620 72650.73293 4150.91055
OBS: 58181.01770000 a NULL 15.4429 0.0460 66502.81057 2818.40520
OBS: 58195.75720000 a NULL 16.5639 0.0610 23683.17914 1331.29398
OBS: 58197.00030000 a NULL 16.6969 0.0700 20952.70025 1351.80656
OBS: 58202.98640000 a NULL 17.2569 0.0970 12509.50140 1119.08995
OBS: 58206.37300000 a NULL 17.6149 0.0670 8995.80432 555.47700
OBS: 58208.98750000 a NULL 17.7589 0.1200 7878.43579 872.53079
OBS: 58212.36840000 a NULL 17.9689 0.0820 6492.91922 490.84268
OBS: 58214.97650000 a NULL 18.0419 0.1190 6070.71717 666.70208
OBS: 58167.40980000 c NULL 16.6330 0.0740 22222.86254 1515.80588
OBS: 58169.01960000 c NULL 16.3660 0.0780 28418.42468 2043.35484
OBS: 58171.09380000 c NULL 16.2170 0.1200 32598.67889 3610.27895
OBS: 58173.02800000 c NULL 16.1670 0.0630 34135.00729 1981.80038
OBS: 58174.76120000 c NULL 16.1310 0.0640 35285.80258 2081.16795
OBS: 58174.79160000 c NULL 16.1800 0.0640 33728.73087 1989.33136
OBS: 58176.05510000 c NULL 16.2050 0.0820 32960.97122 2491.73770
OBS: 58178.79480000 c NULL 16.2670 0.0640 31131.49665 1836.14565
OBS: 58181.02180000 c NULL 16.3300 0.0570 29376.49652 1542.94346
OBS: 58195.76170000 c NULL 17.0970 0.0710 14494.39191 948.51349
OBS: 58197.00470000 c NULL 17.0490 0.0790 15149.55932 1103.28043
OBS: 58202.99190000 c NULL 16.9440 0.0850 16687.83511 1307.79040
OBS: 58206.37850000 c NULL 16.9180 0.0660 17092.28005 1039.64974
OBS: 58208.99290000 c NULL 16.8460 0.0820 18264.17249 1380.70953
OBS: 58212.37390000 c NULL 16.9660 0.0520 16353.09652 783.51090
OBS: 58214.98190000 c NULL 17.0450 0.0750 15205.47530 1051.19255
END:
