SURVEY: ASASSN
SNTYPE: 1
SNID: 2018enc 
IAUC: 2018enc
RA:   229.869290
DECL:    -9.880560 
RA_HOST:   229.870280
DEC_HOST:    -9.882400
FILTERS: abcdghij
SEARCH_PEAKMJD:  58350
REDSHIFT_HELIO: 0.02389 +- 9e-05 
REDSHIFT_CMB: 0.0244954 +- 9e-05 
VPEC: 280.9989 +- 250.0
NVAR: 7
NOBS: 59
VARLIST: MJD FLT FIELD MAG MAGERR FLUXCAL FLUXCALERR
OBS: 58336.71280000 b NULL 16.3880 0.0460 27848.38408 1180.22125
OBS: 58338.49170000 b NULL 16.1860 0.0140 33542.85308 432.52952
OBS: 58340.05300000 b NULL 16.0860 0.0390 36779.00704 1321.39809
OBS: 58342.09810000 b NULL 16.0130 0.0340 39336.88807 1232.04218
OBS: 58350.02190000 b NULL 15.9960 0.0470 39957.65566 1730.25123
OBS: 58351.02900000 b NULL 16.0340 0.0660 38583.35599 2346.85929
OBS: 58352.81250000 b NULL 16.0870 0.0740 36745.14792 2506.36078
OBS: 58354.76100000 b NULL 16.2280 0.0740 32270.07688 2201.11932
OBS: 58356.01760000 b NULL 16.2930 0.0370 30394.84969 1036.00407
OBS: 58359.78160000 b NULL 16.5160 0.0430 24751.41318 980.52272
OBS: 58360.78090000 b NULL 16.5390 0.0880 24232.59924 1966.22742
OBS: 58363.00640000 b NULL 16.6940 0.0420 21008.73969 812.89280
OBS: 58365.77510000 b NULL 16.8060 0.0500 18949.59795 872.96972
OBS: 58372.01690000 b NULL 17.0150 0.0420 15631.47643 604.82994
OBS: 58377.99920000 b NULL 17.2140 0.0490 13013.67630 587.51529
OBS: 58336.71110000 d NULL 16.4292 0.0400 26811.43136 987.99310
OBS: 58338.48990000 d NULL 16.2252 0.0360 32353.40543 1072.94573
OBS: 58340.05170000 d NULL 16.1582 0.0460 34412.79917 1458.42275
OBS: 58342.09670000 d NULL 16.0342 0.0310 38576.24933 1101.58086
OBS: 58350.02050000 d NULL 16.0332 0.0460 38611.79573 1636.37724
OBS: 58351.02760000 d NULL 16.0432 0.0460 38257.80066 1621.37485
OBS: 58352.81110000 d NULL 16.1452 0.0790 34827.31548 2536.33091
OBS: 58354.75960000 d NULL 16.2122 0.0540 32743.11550 1629.17776
OBS: 58356.01630000 d NULL 16.3572 0.0660 28649.69481 1742.63748
OBS: 58359.77990000 d NULL 16.5952 0.0540 23010.17915 1144.90242
OBS: 58360.77920000 d NULL 16.6532 0.0600 21813.23107 1206.05734
OBS: 58363.00470000 d NULL 16.7442 0.0400 20059.49521 739.18630
OBS: 58365.77340000 d NULL 16.8182 0.0430 18737.86044 742.29693
OBS: 58372.01520000 d NULL 16.7842 0.0430 19333.92368 765.90986
OBS: 58377.99750000 d NULL 16.9272 0.0450 16948.06028 702.63944
OBS: 58336.70760000 c NULL 16.6693 0.0530 21492.15678 1049.55213
OBS: 58338.48640000 c NULL 16.5623 0.0500 23718.10569 1092.64524
OBS: 58340.04890000 c NULL 16.5373 0.0600 24270.57134 1341.92411
OBS: 58342.09390000 c NULL 16.5993 0.0480 22923.45106 1013.76753
OBS: 58350.01770000 c NULL 16.8113 0.0650 18857.32126 1129.60974
OBS: 58351.02480000 c NULL 16.7963 0.0710 19119.65273 1251.19072
OBS: 58352.80830000 c NULL 16.9363 0.0840 16806.60527 1301.57181
OBS: 58354.75650000 c NULL 17.0533 0.0640 15089.67896 889.99410
OBS: 58356.01310000 c NULL 17.1303 0.0570 14056.59073 738.29515
OBS: 58359.77640000 c NULL 17.4363 0.0510 10604.25103 498.29388
OBS: 58360.77580000 c NULL 17.5033 0.1130 9969.65202 1039.48418
OBS: 58363.00130000 c NULL 17.5033 0.0580 9969.65202 532.83189
OBS: 58365.76990000 c NULL 17.4243 0.0800 10722.10362 790.74885
OBS: 58372.01100000 c NULL 17.4153 0.1060 10811.35181 1057.18561
OBS: 58377.99330000 c NULL 17.2823 0.0790 12220.24745 889.95063
OBS: 58336.70930000 a NULL 16.3251 0.0570 29509.37423 1549.92261
OBS: 58338.48820000 a NULL 16.2171 0.0380 32595.67658 1141.05857
OBS: 58340.05030000 a NULL 16.2141 0.0410 32685.86631 1234.58998
OBS: 58342.09530000 a NULL 16.1281 0.0500 35380.17690 1629.89332
OBS: 58350.01910000 a NULL 16.2011 0.0580 33079.58100 1767.95095
OBS: 58351.02620000 a NULL 16.2801 0.0660 30758.13509 1870.88482
OBS: 58352.80970000 a NULL 16.3801 0.1050 28051.75260 2717.07564
OBS: 58354.75790000 a NULL 16.4681 0.0610 25867.83011 1454.09898
OBS: 58356.01450000 a NULL 16.6321 0.0620 22241.29139 1270.75953
OBS: 58359.77810000 a NULL 16.9351 0.0470 16825.19088 728.56645
OBS: 58360.77750000 a NULL 17.0141 0.1010 15644.43921 1457.41501
OBS: 58363.00300000 a NULL 17.2581 0.0440 12495.68302 506.53239
OBS: 58365.77170000 a NULL 17.5301 0.0740 9726.57635 663.44295
OBS: 58372.01270000 a NULL 18.0221 0.0540 6182.44128 307.61568
END:
