SURVEY: ASASSN
SNTYPE: 1
SNID: 2018gv 
IAUC: 2018gv
RA:   121.394210 deg
DECL:   -11.437860 deg 
RA_HOST:   121.408500
DEC_HOST:   -11.427030
REDSHIFT_HELIO: 0.005374 +- 0.00015 
REDSHIFT_CMB: 0.0062362 +- 0.00015 
VPEC: -70.4303 +- 250.0
FILTERS: abcdghij
SEARCH_PEAKMJD: 58147
MWEBV: .0498206
NOBS: 211
NVAR: 7
VARLIST: MJD FLT FIELD MAG MAGERR FLUXCAL FLUXCALERR
OBS: 58135.31050000 h NULL 16.0409 0.0520 38338.93106 1836.89801
OBS: 58136.31050000 h NULL 15.4879 0.0570 63802.83845 3351.12026
OBS: 58137.30130000 h NULL 15.0109 0.0580 99001.09543 5291.15168
OBS: 58142.42610000 h NULL 13.6969 0.0620 332077.91990 18973.32187
OBS: 58144.38440000 h NULL 13.5709 0.0630 372940.88751 21652.09419
OBS: 58146.38860000 h NULL 13.5259 0.0710 388722.78718 25438.03224
OBS: 58148.38830000 h NULL 13.5599 0.0570 376738.49628 19787.45833
OBS: 58150.38810000 h NULL 13.6279 0.0690 353866.94766 22503.86260
OBS: 58151.42610000 h NULL 13.6419 0.0730 349333.31087 23505.29486
OBS: 58153.42600000 h NULL 13.6909 0.0750 333918.13031 23084.59588
OBS: 58155.42580000 h NULL 13.8039 0.0670 300912.34144 18580.87161
OBS: 58157.39440000 h NULL 13.9429 0.0710 264752.45748 17325.40971
OBS: 58164.42620000 h NULL 14.4729 0.0660 162494.99918 9883.87060
OBS: 58191.19780000 h NULL 14.8659 0.0670 113146.20708 6986.60327
OBS: 58196.11460000 h NULL 15.1229 0.0640 89297.64384 5266.80366
OBS: 58198.11200000 h NULL 15.2179 0.0680 81816.33101 5127.53318
OBS: 58201.15550000 h NULL 15.3349 0.0670 73458.15225 4535.92727
OBS: 58207.21680000 h NULL 15.5999 0.0770 57549.29398 4084.79625
OBS: 58212.14950000 h NULL 15.7639 0.0610 49481.17454 2781.46737
OBS: 58213.14930000 h NULL 15.8209 0.0960 46950.47604 4156.73797
OBS: 58216.17870000 h NULL 15.9099 0.0580 43255.36689 2311.79974
OBS: 58221.18930000 h NULL 16.1119 0.0730 35912.03371 2416.38262
OBS: 58227.15010000 h NULL 16.3009 0.0670 30174.49427 1863.22835
OBS: 58229.15020000 h NULL 16.3629 0.0760 28499.68107 1996.56693
OBS: 58243.19840000 h NULL 16.7769 0.0840 19464.35424 1507.39869
OBS: 58134.07590000 c NULL 16.8040 0.0970 18984.53657 1698.34139
OBS: 58135.23400000 c NULL 16.0620 0.0630 37601.05237 2183.03102
