SURVEY: ASASSN
SNTYPE: 1
SNID: 2018jjd 
IAUC: 2018jjd
RA:    66.083542
DECL:   -31.987439 
RA_HOST:    66.083770
DEC_HOST:   -31.986600
FILTERS: abcdghij
SEARCH_PEAKMJD: 58468.0
REDSHIFT_HELIO: 0.0256 +- 9e-05 
REDSHIFT_CMB: 0.025465 +- 9e-05 
VPEC: 74.5409 +- 250.0
NOBS: 31
NVAR: 7
VARLIST: MJD FLT FIELD MAG MAGERR FLUXCAL FLUXCALERR
OBS: 58459.24280000 d NULL 16.8210 0.0280 18689.59972 482.03864
OBS: 58462.95980000 d NULL 16.2620 0.0220 31275.19311 633.76475
OBS: 58465.91270000 d NULL 16.0650 0.0280 37497.30022 967.12331
OBS: 58468.78540000 d NULL 15.9200 0.0190 42854.85204 749.98305
OBS: 58506.87470000 d NULL 17.2150 0.0250 13001.69578 299.40156
OBS: 58508.58110000 d NULL 17.3160 0.0220 11846.77118 240.06458
OBS: 58511.58110000 d NULL 17.4360 0.0330 10607.18150 322.44562
OBS: 58515.10560000 d NULL 17.6520 0.0310 8693.60693 248.25407
OBS: 58459.23970000 c NULL 17.1230 0.0280 14151.41933 364.99074
OBS: 58462.95680000 c NULL 16.5750 0.0410 23442.28815 885.44736
OBS: 58465.90960000 c NULL 16.5220 0.0280 24615.00906 634.86568
OBS: 58468.78240000 c NULL 16.5320 0.0250 24389.33730 561.63487
OBS: 58506.86960000 c NULL 17.4420 0.0440 10548.72571 427.60938
OBS: 58508.57590000 c NULL 17.5180 0.0250 9835.58056 226.49262
OBS: 58511.57590000 c NULL 17.7020 0.0380 8302.33016 290.63502
OBS: 58515.10050000 c NULL 17.9320 0.0960 6717.38129 594.72014
OBS: 58459.24430000 b NULL 16.7950 0.0210 19142.55925 370.27301
OBS: 58462.96130000 b NULL 16.1710 0.0230 34009.48065 720.50334
OBS: 58468.78700000 b NULL 15.8430 0.0200 46004.46664 847.48152
OBS: 58506.87670000 b NULL 17.5810 0.0640 9281.11171 547.40294
OBS: 58508.58310000 b NULL 17.6250 0.0250 8912.50938 205.23625
OBS: 58511.58310000 b NULL 17.7370 0.0230 8038.96245 170.30837
OBS: 58515.10760000 b NULL 17.8860 0.0260 7008.09532 167.83809
OBS: 58459.24120000 a NULL 16.7810 0.0250 19390.99079 446.53352
OBS: 58462.95830000 a NULL 16.0740 0.0330 37187.75833 1130.46334
OBS: 58465.91120000 a NULL 15.8440 0.0420 45962.11447 1778.41568
OBS: 58468.78390000 a NULL 15.7530 0.0360 49980.43136 1657.51610
OBS: 58506.87160000 a NULL 18.5100 0.0690 3944.57302 250.85171
OBS: 58508.57800000 a NULL 18.6650 0.0450 3419.79443 141.77920
OBS: 58511.57800000 a NULL 18.7260 0.0390 3232.95753 116.15387
OBS: 58515.10250000 a NULL 18.8710 0.0320 2828.78539 83.38512
END:
