SURVEY: CSP
SNID: 2007af 
IAUC: 2007af
RA:   215.587620 deg
DECL:    -0.393780 deg 
RA_HOST:   215.599040
DEC_HOST:    -0.387670
MWEBV: 0.024 MW E(B-V) (SFD98)
REDSHIFT_HELIO: 0.005524 +- 1e-05 
REDSHIFT_CMB: 0.0063526 +- 1e-05 
VPEC: 31.5763 +- 250.0
PRIVATE(COSMO): 1
SEARCH_PEAKMJD:  54174.000
FILTERS:    CSP_filters
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS:  163
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR 
OBS: 54165.820  B  NULL   2.26152E+05  2291.2      14.114   0.011
OBS: 54166.790  B  NULL   2.69401E+05  2977.5      13.924   0.012
OBS: 54169.860  B  NULL   3.96643E+05  4383.8      13.504   0.012
OBS: 54170.810  B  NULL   4.25402E+05  4701.7      13.428   0.012
OBS: 54171.870  B  NULL   4.49573E+05  5797.0      13.368   0.014
OBS: 54174.840  B  NULL   4.74679E+05  5683.5      13.309   0.013
OBS: 54174.840  B  NULL   4.75554E+05  5694.0      13.307   0.013
OBS: 54178.760  B  NULL   4.23838E+05  5465.1      13.432   0.014
OBS: 54178.760  B  NULL   4.26187E+05  5102.9      13.426   0.013
OBS: 54179.820  B  NULL   4.04017E+05  4837.4      13.484   0.013
OBS: 54181.820  B  NULL   3.46099E+05  4143.9      13.652   0.013
OBS: 54182.790  B  NULL   3.21514E+05  4145.7      13.732   0.014
OBS: 54185.830  B  NULL   2.41657E+05  2448.3      14.042   0.011
OBS: 54190.760  B  NULL   1.40217E+05  1549.7      14.633   0.012
OBS: 54194.810  B  NULL    92044.      1017.3      15.090   0.012
OBS: 54197.800  B  NULL    71911.      728.56      15.358   0.011
OBS: 54199.750  B  NULL    61830.      683.37      15.522   0.012
OBS: 54202.830  B  NULL    49567.      547.84      15.762   0.012
OBS: 54204.850  B  NULL    44014.      527.01      15.891   0.013
OBS: 54207.770  B  NULL    37359.      412.91      16.069   0.012
OBS: 54211.790  B  NULL    31448.      347.58      16.256   0.012
OBS: 54213.750  B  NULL    29539.      326.48      16.324   0.012
OBS: 54218.760  B  NULL    26448.      292.31      16.444   0.012
OBS: 54224.790  B  NULL    23615.      304.51      16.567   0.014
OBS: 54226.810  B  NULL    22719.      292.95      16.609   0.014
OBS: 54231.780  B  NULL    21697.      259.78      16.659   0.013
OBS: 54239.760  B  NULL    18845.      225.64      16.812   0.013
OBS: 54246.680  B  NULL    17930.      198.17      16.866   0.012
OBS: 54256.700  B  NULL    15247.      168.52      17.042   0.012
OBS: 54166.810  g  NULL   2.95937E+05  1907.9      13.822   0.007
OBS: 54169.880  g  NULL   4.39744E+05  3645.1      13.392   0.009
OBS: 54170.830  g  NULL   4.65586E+05  3859.3      13.330   0.009
OBS: 54174.860  g  NULL   5.37032E+05  3956.9      13.175   0.008
OBS: 54178.780  g  NULL   4.89779E+05  4059.9      13.275   0.009
OBS: 54178.780  g  NULL   4.91134E+05  4071.1      13.272   0.009
OBS: 54179.840  g  NULL   4.68166E+05  3880.7      13.324   0.009
OBS: 54181.800  g  NULL   4.23448E+05  3120.0      13.433   0.008
OBS: 54182.770  g  NULL   4.01421E+05  3327.5      13.491   0.009
OBS: 54185.810  g  NULL   3.25087E+05  2095.9      13.720   0.007
OBS: 54190.790  g  NULL   2.13206E+05  1374.5      14.178   0.007
OBS: 54194.780  g  NULL   1.50107E+05  967.77      14.559   0.007
OBS: 54197.780  g  NULL   1.15664E+05  745.71      14.842   0.007
OBS: 54199.720  g  NULL   1.00184E+05  645.91      14.998   0.007
OBS: 54202.840  g  NULL    78849.      580.98      15.258   0.008
OBS: 54207.750  g  NULL    57332.      475.24      15.604   0.009
OBS: 54211.770  g  NULL    47863.      308.58      15.800   0.007
OBS: 54213.730  g  NULL    44874.      330.64      15.870   0.008
OBS: 54218.770  g  NULL    39373.      253.84      16.012   0.007
OBS: 54224.770  g  NULL    35383.      260.71      16.128   0.008
OBS: 54226.800  g  NULL    34197.      220.48      16.165   0.007
OBS: 54231.790  g  NULL    31768.      204.82      16.245   0.007
OBS: 54239.690  g  NULL    28418.      183.22      16.366   0.007
OBS: 54246.660  g  NULL    25775.      166.17      16.472   0.007
OBS: 54256.680  g  NULL    22325.      123.37      16.628   0.006
OBS: 54165.790  i  NULL   2.02675E+05  1306.6      14.233   0.007
OBS: 54166.820  i  NULL   2.39221E+05  1321.9      14.053   0.006
OBS: 54169.890  i  NULL   3.22404E+05  2672.5      13.729   0.009
OBS: 54170.840  i  NULL   3.33887E+05  3075.2      13.691   0.010
OBS: 54171.880  i  NULL   3.40722E+05  3765.7      13.669   0.012
OBS: 54172.860  i  NULL   3.30826E+05  3351.7      13.701   0.011
OBS: 54174.850  i  NULL   3.11315E+05  3154.0      13.767   0.011
OBS: 54178.780  i  NULL   2.75169E+05  2280.9      13.901   0.009
OBS: 54178.780  i  NULL   2.75931E+05  2287.2      13.898   0.009
OBS: 54179.840  i  NULL   2.59179E+05  2387.1      13.966   0.010
OBS: 54181.810  i  NULL   2.36810E+05  2181.1      14.064   0.010
OBS: 54182.780  i  NULL   2.20597E+05  2234.9      14.141   0.011
OBS: 54185.820  i  NULL   1.75065E+05  967.44      14.392   0.006
OBS: 54190.800  i  NULL   1.66571E+05  920.50      14.446   0.006
OBS: 54194.790  i  NULL   1.81301E+05  1335.8      14.354   0.008
OBS: 54197.790  i  NULL   1.88625E+05  1563.5      14.311   0.009
OBS: 54199.730  i  NULL   1.90897E+05  1406.5      14.298   0.008
OBS: 54202.850  i  NULL   1.86552E+05  1374.5      14.323   0.008
OBS: 54204.840  i  NULL   1.72187E+05  1585.8      14.410   0.010
OBS: 54207.760  i  NULL   1.39187E+05  1410.1      14.641   0.011
OBS: 54211.780  i  NULL   1.08643E+05  600.38      14.910   0.006
OBS: 54213.740  i  NULL    97903.      811.55      15.023   0.009
OBS: 54218.780  i  NULL    77553.      428.57      15.276   0.006
OBS: 54224.780  i  NULL    62517.      460.64      15.510   0.008
OBS: 54226.820  i  NULL    57703.      318.87      15.597   0.006
OBS: 54231.810  i  NULL    48977.      270.66      15.775   0.006
OBS: 54239.740  i  NULL    37670.      242.86      16.060   0.007
OBS: 54246.670  i  NULL    30394.      223.95      16.293   0.008
OBS: 54256.690  i  NULL    22161.      142.88      16.636   0.007
OBS: 54166.820  r  NULL   3.02831E+05  1673.5      13.797   0.006
OBS: 54169.890  r  NULL   4.29734E+05  3166.3      13.417   0.008
OBS: 54170.830  r  NULL   4.53315E+05  4175.1      13.359   0.010
OBS: 54171.880  r  NULL   4.83949E+05  4457.3      13.288   0.010
OBS: 54172.860  r  NULL   4.94766E+05  4556.9      13.264   0.010
OBS: 54174.860  r  NULL   5.12389E+05  4247.3      13.226   0.009
OBS: 54178.780  r  NULL   5.15229E+05  5219.9      13.220   0.011
OBS: 54178.780  r  NULL   5.08159E+05  4212.2      13.235   0.009
OBS: 54179.830  r  NULL   4.84842E+05  4465.5      13.286   0.010
OBS: 54181.800  r  NULL   4.48745E+05  3719.7      13.370   0.009
OBS: 54182.780  r  NULL   4.28154E+05  5126.4      13.421   0.013
OBS: 54185.810  r  NULL   3.43875E+05  2217.0      13.659   0.007
OBS: 54190.800  r  NULL   2.80285E+05  1548.9      13.881   0.006
OBS: 54194.790  r  NULL   2.61818E+05  1688.0      13.955   0.007
OBS: 54197.780  r  NULL   2.43445E+05  1345.3      14.034   0.006
OBS: 54199.730  r  NULL   2.31206E+05  1703.5      14.090   0.008
OBS: 54202.850  r  NULL   2.03798E+05  1313.9      14.227   0.007
OBS: 54204.830  r  NULL   1.80801E+05  1498.7      14.357   0.009
OBS: 54207.750  r  NULL   1.45077E+05  1068.9      14.596   0.008
OBS: 54211.770  r  NULL   1.14499E+05  632.74      14.853   0.006
OBS: 54213.740  r  NULL   1.05196E+05  581.33      14.945   0.006
OBS: 54218.770  r  NULL    87256.      482.19      15.148   0.006
OBS: 54224.780  r  NULL    72044.      398.13      15.356   0.006
OBS: 54226.800  r  NULL    67795.      374.65      15.422   0.006
OBS: 54231.800  r  NULL    58559.      323.61      15.581   0.006
OBS: 54239.740  r  NULL    45962.      253.99      15.844   0.006
OBS: 54246.660  r  NULL    37774.      243.54      16.057   0.007
OBS: 54256.680  r  NULL    28002.      154.74      16.382   0.006
OBS: 54165.800  u  NULL   1.34896E+05  1863.6      14.675   0.015
OBS: 54166.800  u  NULL   1.67803E+05  2627.3      14.438   0.017
OBS: 54169.870  u  NULL   2.47059E+05  3868.3      14.018   0.017
OBS: 54170.820  u  NULL   2.63027E+05  4118.3      13.950   0.017
OBS: 54174.850  u  NULL   2.71144E+05  4495.1      13.917   0.018
OBS: 54178.770  u  NULL   2.09508E+05  3280.3      14.197   0.017
OBS: 54178.770  u  NULL   2.08353E+05  3262.3      14.203   0.017
OBS: 54179.830  u  NULL   1.85524E+05  3075.7      14.329   0.018
OBS: 54181.810  u  NULL   1.48184E+05  2320.1      14.573   0.017
OBS: 54182.780  u  NULL   1.33291E+05  2087.0      14.688   0.017
OBS: 54185.820  u  NULL    95235.      1491.1      15.053   0.017
OBS: 54190.780  u  NULL    51570.      807.46      15.719   0.017
OBS: 54194.800  u  NULL    32839.      574.68      16.209   0.019
OBS: 54197.790  u  NULL    24010.      420.17      16.549   0.019
OBS: 54199.740  u  NULL    21301.      411.99      16.679   0.021
OBS: 54202.830  u  NULL    17522.      306.64      16.891   0.019
OBS: 54204.840  u  NULL    15149.      279.06      17.049   0.020
OBS: 54207.760  u  NULL    13243.      256.15      17.195   0.021
OBS: 54211.780  u  NULL    11397.      241.43      17.358   0.023
OBS: 54213.740  u  NULL    10894.      230.78      17.407   0.023
OBS: 54218.760  u  NULL    9462.3      209.16      17.560   0.024
OBS: 54224.770  u  NULL    8645.6      246.85      17.658   0.031
OBS: 54239.750  u  NULL    6373.8      158.50      17.989   0.027
OBS: 54246.670  u  NULL    5530.9      137.54      18.143   0.027
OBS: 54256.690  u  NULL    4690.2      177.11      18.322   0.041
OBS: 54165.810  o  NULL   2.32060E+05  1709.8      14.086   0.008
OBS: 54166.780  o  NULL   2.73905E+05  2018.2      13.906   0.008
OBS: 54169.850  o  NULL   4.02161E+05  3333.6      13.489   0.009
OBS: 54170.800  o  NULL   4.32116E+05  3581.9      13.411   0.009
OBS: 54171.860  o  NULL   4.60469E+05  3816.9      13.342   0.009
OBS: 54172.870  o  NULL   4.85289E+05  3575.7      13.285   0.008
OBS: 54174.830  o  NULL   4.99804E+05  4143.0      13.253   0.009
OBS: 54179.820  o  NULL   4.83059E+05  4004.2      13.290   0.009
OBS: 54181.810  o  NULL   4.51232E+05  3324.8      13.364   0.008
OBS: 54182.790  o  NULL   4.41367E+05  4065.1      13.388   0.010
OBS: 54185.830  o  NULL   3.73938E+05  2755.2      13.568   0.008
OBS: 54190.760  o  NULL   2.77971E+05  2048.1      13.890   0.008
OBS: 54194.800  o  NULL   2.19786E+05  1619.4      14.145   0.008
OBS: 54197.800  o  NULL   1.87932E+05  1384.7      14.315   0.008
OBS: 54199.740  o  NULL   1.71238E+05  1419.4      14.416   0.009
OBS: 54202.820  o  NULL   1.42692E+05  1182.8      14.614   0.009
OBS: 54204.850  o  NULL   1.24624E+05  918.26      14.761   0.008
OBS: 54207.760  o  NULL   1.02991E+05  853.72      14.968   0.009
