SURVEY: CSP
SNID: 2013aa 
IAUC: 2013aa
RA:   218.141170 deg
DECL:   -44.224390 deg 
RA_HOST:   218.169750
DEC_HOST:   -44.174420
MWEBV: 0.1461 MW E(B-V) (SF11)
REDSHIFT_HELIO: 0.004113 +- 0.00015 
REDSHIFT_CMB: 0.0047809 +- 0.00015 
VPEC: 440.8658 +- 250.0
FILTERS: ugriBV
SEARCH_PEAKMJD: 56349.5

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS:  80
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS: 56343.435  B  NULL   1.73789E+06  32013.      11.900   0.020
OBS: 56344.438  B  NULL   1.85909E+06  34245.      11.827   0.020
OBS: 56345.465  B  NULL   1.95409E+06  35995.      11.773   0.020
OBS: 56346.468  B  NULL   2.03417E+06  37470.      11.729   0.020
OBS: 56347.470  B  NULL   2.05763E+06  37902.      11.717   0.020
OBS: 56348.449  B  NULL   2.07450E+06  38213.      11.708   0.020
OBS: 56349.452  B  NULL   2.06928E+06  38117.      11.710   0.020
OBS: 56350.454  B  NULL   1.97192E+06  36324.      11.763   0.020
OBS: 56351.480  B  NULL   1.95558E+06  36023.      11.772   0.020
OBS: 56356.491  B  NULL   1.54788E+06  28513.      12.026   0.020
OBS: 56357.493  B  NULL   1.43061E+06  26352.      12.111   0.020
OBS: 56358.472  B  NULL   1.35665E+06  24990.      12.169   0.020
OBS: 56359.474  B  NULL   1.24942E+06  23015.      12.258   0.020
OBS: 56360.476  B  NULL   1.16352E+06  21432.      12.336   0.020
OBS: 56361.525  B  NULL   1.05496E+06  19433.      12.442   0.020
OBS: 56362.455  B  NULL   9.70602E+05  17879.      12.532   0.020
OBS: 56363.433  B  NULL   8.77980E+05  16172.      12.641   0.020
OBS: 56364.483  B  NULL   7.90509E+05  14561.      12.755   0.020
OBS: 56365.461  B  NULL   7.15551E+05  13180.      12.863   0.020
OBS: 56369.491  B  NULL   4.77238E+05  8791.0      13.303   0.020
OBS: 56343.388  V  NULL   1.75140E+06  32262.      11.892   0.020
OBS: 56344.388  V  NULL   1.88035E+06  34637.      11.814   0.020
OBS: 56345.413  V  NULL   2.01206E+06  37063.      11.741   0.020
OBS: 56346.413  V  NULL   2.12349E+06  39116.      11.682   0.020
OBS: 56347.391  V  NULL   2.13457E+06  39320.      11.677   0.020
OBS: 56348.392  V  NULL   2.17192E+06  40008.      11.658   0.020
OBS: 56349.417  V  NULL   2.19492E+06  40431.      11.646   0.020
OBS: 56350.394  V  NULL   2.16029E+06  39794.      11.664   0.020
OBS: 56351.419  V  NULL   2.16574E+06  39894.      11.661   0.020
OBS: 56356.428  V  NULL   1.83009E+06  33711.      11.844   0.020
OBS: 56357.406  V  NULL   1.78795E+06  32935.      11.869   0.020
