SURVEY:  PS1_LOWZ_COMBINED(CFA3S)
SNID: 2001fh 
IAUC: 2001fh
RA:   320.177080 deg
DECL:    44.398110 deg 
RA_HOST:   320.177000
DEC_HOST:    44.399750
MWEBV: 0.761 (SFD98)
REDSHIFT_HELIO: 0.013303 +- 4.8e-05 
REDSHIFT_CMB: 0.0124117 +- 4.8e-05 
VPEC: -139.2638 +- 250.0
HOSTGAL_LOGMASS: 10.2840 +- 3.502
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 52224.406
FILTERS:  abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVRI -> abcde       
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:   48
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  52220.10258     a    NULL     9954.054        890.208    17.505     0.093
OBS:  52221.08561     a    NULL     9558.726        816.558    17.549     0.089
OBS:  52222.07096     a    NULL     9366.989        734.840    17.571     0.082
OBS:  52225.09123     a    NULL     9272.567        563.013    17.582     0.064
OBS:  52228.05774     a    NULL     7001.644        452.539    17.887     0.068
OBS:  52231.09824     a    NULL     5100.350        334.655    18.231     0.069
OBS:  52235.09314     a    NULL     2290.868        225.650    19.100     0.102
OBS:  52220.09313     b    NULL    10884.287        171.763    17.408     0.017
OBS:  52221.07517     b    NULL    11397.248        211.891    17.358     0.020
OBS:  52222.06084     b    NULL    11673.471        217.026    17.332     0.020
OBS:  52225.09583     b    NULL    12393.672        218.794    17.267     0.019
OBS:  52228.06236     b    NULL    11261.597        177.717    17.371     0.017
OBS:  52231.10286     b    NULL     8661.637        169.162    17.656     0.021
OBS:  52235.09774     b    NULL     5505.541        133.432    18.148     0.026
OBS:  52257.05852     b    NULL     1014.846         96.886    19.984     0.099
OBS:  52258.05850     b    NULL     1088.429        107.210    19.908     0.102
OBS:  52267.08271     b    NULL      821.864        107.958    20.213     0.134
OBS:  52220.09632     c    NULL    16749.429        295.689    16.940     0.019
OBS:  52221.07906     c    NULL    18063.421        301.963    16.858     0.018
OBS:  52222.06472     c    NULL    18416.199        325.113    16.837     0.019
OBS:  52222.07598     c    NULL    19072.165        300.974    16.799     0.017
OBS:  52225.09972     c    NULL    20417.379        341.313    16.725     0.018
OBS:  52228.06624     c    NULL    20568.376        286.135    16.717     0.015
OBS:  52231.10671     c    NULL    17831.998        314.800    16.872     0.019
OBS:  52235.10161     c    NULL    13206.873        257.930    17.198     0.021
OBS:  52257.06241     c    NULL     3159.366        182.584    18.751     0.061
OBS:  52258.06238     c    NULL     3047.895        114.383    18.790     0.040
OBS:  52267.08660     c    NULL     2299.323        153.126    19.096     0.070
OBS:  52220.09883     d    NULL    27567.666        435.040    16.399     0.017
OBS:  52221.08155     d    NULL    29053.603        431.320    16.342     0.016
OBS:  52222.06723     d    NULL    28760.736        534.702    16.353     0.020
OBS:  52225.10221     d    NULL    32809.529        487.079    16.210     0.016
OBS:  52228.06873     d    NULL    30171.715        476.134    16.301     0.017
OBS:  52231.10919     d    NULL    24188.002        404.346    16.541     0.018
OBS:  52235.10409     d    NULL    19337.485        341.377    16.784     0.019
OBS:  52257.06491     d    NULL     5937.450        194.519    18.066     0.035
OBS:  52258.06488     d    NULL     6350.384        171.904    17.993     0.029
OBS:  52267.08907     d    NULL     3247.880        200.380    18.721     0.065
OBS:  52220.10064     e    NULL    36475.395        780.929    16.095     0.023
OBS:  52221.08334     e    NULL    38053.973        743.193    16.049     0.021
OBS:  52222.06903     e    NULL    37739.835        630.889    16.058     0.018
OBS:  52225.10399     e    NULL    34737.615        613.246    16.148     0.019
OBS:  52228.07052     e    NULL    31885.997        652.688    16.241     0.022
OBS:  52231.11097     e    NULL    25609.435        524.211    16.479     0.022
OBS:  52235.10589     e    NULL    21857.475        509.126    16.651     0.025
OBS:  52257.06671     e    NULL    10854.254        365.930    17.411     0.036
OBS:  52258.06668     e    NULL    11523.914        454.519    17.346     0.042
OBS:  52267.09086     e    NULL     7578.792        255.504    17.801     0.036
END:
