SURVEY:  PS1_LOWZ_COMBINED(CFA3S)
SNID: 2002G 
IAUC: 2002G
RA:   196.980250 deg
DECL:    34.085140 deg 
RA_HOST:   196.978370
DEC_HOST:    34.087110
MWEBV: 0.012 (SFD98)
REDSHIFT_HELIO: 0.03365 +- 1e-05 
REDSHIFT_CMB: 0.0344787 +- 1e-05 
VPEC: -105.6798 +- 250.0
HOSTGAL_LOGMASS: 10.9410 +- 0.021
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 52300.078
FILTERS:  abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVRI -> abcde       
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:   19
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  52296.48332     b    NULL     8218.641        238.041    17.713     0.031
OBS:  52320.42733     b    NULL     1251.988         80.920    19.756     0.068
OBS:  52373.40459     b    NULL      261.336         53.149    21.457     0.201
OBS:  52402.27383     b    NULL      235.505         52.102    21.570     0.217
OBS:  52295.47922     c    NULL     9028.176        235.855    17.611     0.028
OBS:  52296.48722     c    NULL     9567.534        177.874    17.548     0.020
OBS:  52320.43125     c    NULL     3951.846         99.506    18.508     0.027
OBS:  52345.42325     c    NULL     1032.761        124.949    19.965     0.124
OBS:  52373.40848     c    NULL      632.703         50.264    20.497     0.083
OBS:  52402.27771     c    NULL      336.047         55.875    21.184     0.167
OBS:  52295.48242     d    NULL    11313.579        392.192    17.366     0.037
OBS:  52320.43442     d    NULL     6779.536        267.394    17.922     0.042
OBS:  52345.42642     d    NULL     2224.334        135.057    19.132     0.064
OBS:  52373.41167     d    NULL      847.227         67.307    20.180     0.083
OBS:  52402.28087     d    NULL      369.148         69.787    21.082     0.188
OBS:  52320.43690     e    NULL     7705.485        363.148    17.783     0.050
OBS:  52345.42891     e    NULL     2568.029        181.130    18.976     0.074
OBS:  52373.41414     e    NULL      721.772        120.786    20.354     0.168
OBS:  52402.28334     e    NULL      415.336        116.282    20.954     0.268
END:
