SURVEY:  PS1_LOWZ_COMBINED(CFA3S)
SNID: 2002ck 
IAUC: 2002ck
RA:   236.753120 deg
DECL:    -0.990420 deg 
RA_HOST:   236.751750
DEC_HOST:    -0.985140
MWEBV: 0.098 (SFD98)
REDSHIFT_HELIO: 0.029742 +- 1.1e-05 
REDSHIFT_CMB: 0.0301979 +- 1.1e-05 
VPEC: 95.4299 +- 250.0
HOSTGAL_LOGMASS: 10.9760 +- 0.143
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 52396.898
FILTERS:  abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVRI -> abcde       
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:   29
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  52402.33993     a    NULL    19606.497        475.181    16.769     0.026
OBS:  52404.28624     a    NULL    15936.759        416.338    16.994     0.028
OBS:  52427.26360     a    NULL     1676.486        262.613    19.439     0.158
OBS:  52434.30309     a    NULL     1278.792        241.755    19.733     0.188
OBS:  52435.26462     a    NULL     1289.437        256.530    19.724     0.197
OBS:  52402.34311     b    NULL    17506.527        227.199    16.892     0.014
OBS:  52404.28948     b    NULL    15805.200        190.380    17.003     0.013
OBS:  52427.26681     b    NULL     1886.253         65.388    19.311     0.037
OBS:  52434.29862     b    NULL     1530.383         66.232    19.538     0.046
OBS:  52435.26785     b    NULL     1458.814         67.346    19.590     0.049
OBS:  52438.24865     b    NULL     1350.206         83.302    19.674     0.065
OBS:  52402.34559     c    NULL    20758.693        269.406    16.707     0.014
OBS:  52404.29197     c    NULL    19089.739        212.158    16.798     0.012
OBS:  52427.26928     c    NULL     5515.692         97.372    18.146     0.019
OBS:  52434.30880     c    NULL     3908.409        102.105    18.520     0.028
OBS:  52435.27035     c    NULL     3661.002        106.036    18.591     0.031
OBS:  52438.25113     c    NULL     3101.701        146.179    18.771     0.050
OBS:  52402.34738     d    NULL    22698.649        252.266    16.610     0.012
OBS:  52404.29375     d    NULL    20417.379        226.913    16.725     0.012
OBS:  52427.27108     d    NULL     9990.794        176.374    17.501     0.019
OBS:  52434.31059     d    NULL     6661.929        148.900    17.941     0.024
OBS:  52435.27213     d    NULL     6409.144        131.192    17.983     0.022
OBS:  52438.25293     d    NULL     5228.776        211.238    18.204     0.043
OBS:  52402.34884     e    NULL    16054.619        389.098    16.986     0.026
OBS:  52404.29519     e    NULL    13778.438        230.331    17.152     0.018
OBS:  52427.27252     e    NULL    11748.976        229.457    17.325     0.021
OBS:  52434.31204     e    NULL     7712.586        245.342    17.782     0.034
OBS:  52435.27358     e    NULL     7705.485        223.178    17.783     0.031
OBS:  52438.25436     e    NULL     6785.784        267.641    17.921     0.042
END:
