SURVEY:  PS1_LOWZ_COMBINED(CFA3S)
SNID: 2002dp 
IAUC: 2002dp
RA:   352.126670 deg
DECL:    22.428890 deg 
RA_HOST:   352.116250
DEC_HOST:    22.421190
MWEBV: 0.049 (SFD98)
REDSHIFT_HELIO: 0.01169 +- 7e-06 
REDSHIFT_CMB: 0.0104909 +- 7e-06 
VPEC: -34.4658 +- 250.0
HOSTGAL_LOGMASS: 10.5670 +- 0.486
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 52451.23
FILTERS:  abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVRI -> abcde       
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:   55
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  52446.46955     a    NULL   149142.013       6454.550    14.566     0.046
OBS:  52448.46078     a    NULL   170451.175       7049.496    14.421     0.044
OBS:  52450.45925     a    NULL   159514.439       6750.241    14.493     0.045
OBS:  52450.47031     a    NULL   155167.227       6715.309    14.523     0.046
OBS:  52452.46156     a    NULL   143086.941       6055.072    14.611     0.045
OBS:  52452.47245     a    NULL   139829.885       6320.512    14.636     0.048
OBS:  52466.42427     a    NULL    29785.164       1174.768    16.315     0.042
OBS:  52446.47278     b    NULL   106757.895       3092.090    14.929     0.031
OBS:  52448.46399     b    NULL   121450.694       2943.469    14.789     0.026
OBS:  52450.47353     b    NULL   125429.589       5790.401    14.754     0.049
OBS:  52452.46478     b    NULL   112823.612       4341.955    14.869     0.041
OBS:  52459.42157     b    NULL    83714.367       1792.304    15.193     0.023
OBS:  52462.36969     b    NULL    62058.318       4683.802    15.518     0.079
OBS:  52466.42750     b    NULL    41190.778        881.884    15.963     0.023
OBS:  52580.26322     b    NULL     2255.278        117.188    19.117     0.055
OBS:  52614.21414     b    NULL     1363.955         80.154    19.663     0.062
OBS:  52634.21353     b    NULL      812.831         86.667    20.225     0.110
OBS:  52446.47528     c    NULL   117923.402       2524.711    14.821     0.023
OBS:  52448.46648     c    NULL   134896.288       3015.059    14.675     0.024
OBS:  52449.47836     c    NULL   137911.347       3342.408    14.651     0.026
OBS:  52450.46495     c    NULL   135768.806       3675.247    14.668     0.029
OBS:  52450.47602     c    NULL   139829.885       2468.510    14.636     0.019
OBS:  52452.46727     c    NULL   140734.314       3013.087    14.629     0.023
OBS:  52452.47816     c    NULL   139444.054       3248.069    14.639     0.025
OBS:  52459.42406     c    NULL   118467.712       2091.389    14.816     0.019
OBS:  52462.37219     c    NULL   101578.080       2174.762    14.983     0.023
OBS:  52466.43000     c    NULL    71911.774       3527.935    15.358     0.052
OBS:  52579.24375     c    NULL     3017.172        139.286    18.801     0.049
OBS:  52580.26635     c    NULL     2902.686        153.643    18.843     0.056
OBS:  52614.21730     c    NULL     1731.410         78.262    19.404     0.048
OBS:  52634.21669     c    NULL     1134.488         81.138    19.863     0.075
OBS:  52446.47706     d    NULL   137530.810       4374.942    14.654     0.034
OBS:  52448.46828     d    NULL   151216.785       4810.302    14.551     0.034
OBS:  52449.48015     d    NULL   152475.477       4705.506    14.542     0.033
OBS:  52450.46675     d    NULL   148593.564       4444.689    14.570     0.032
OBS:  52450.47781     d    NULL   148867.536       5160.579    14.568     0.037
OBS:  52452.46906     d    NULL   153320.420       4731.582    14.536     0.033
OBS:  52452.47995     d    NULL   149416.996       4895.111    14.564     0.035
OBS:  52459.42587     d    NULL   120005.182       3362.101    14.802     0.030
OBS:  52462.37398     d    NULL    96560.610       2796.740    15.038     0.031
OBS:  52580.26882     d    NULL     2165.708        163.455    19.161     0.079
OBS:  52614.21975     d    NULL     1028.964         99.273    19.969     0.100
OBS:  52446.47852     e    NULL   138675.583       4148.025    14.645     0.032
OBS:  52448.46972     e    NULL   141775.112       3436.049    14.621     0.026
OBS:  52449.48160     e    NULL   139315.680       4167.172    14.640     0.032
OBS:  52450.46819     e    NULL   133045.442       3601.526    14.690     0.029
OBS:  52450.47926     e    NULL   129062.478       3860.481    14.723     0.032
OBS:  52452.47051     e    NULL   127057.411       3680.036    14.740     0.031
OBS:  52452.48141     e    NULL   123026.877       3330.325    14.775     0.029
OBS:  52459.42730     e    NULL    91790.979       2919.929    15.093     0.034
OBS:  52462.37543     e    NULL    79873.001       2237.746    15.244     0.030
OBS:  52467.43441     e    NULL    84644.745       2451.614    15.181     0.031
OBS:  52579.24796     e    NULL     2259.436        280.367    19.115     0.127
OBS:  52580.27058     e    NULL     2173.702        299.161    19.157     0.140
OBS:  52614.22152     e    NULL      836.373        232.190    20.194     0.266
END:
