SURVEY:  PS1_LOWZ_COMBINED(CFA3S)
SNID: 2002fb 
IAUC: 2002fb
RA:    29.453750 deg
DECL:    36.340640 deg 
RA_HOST:    29.459710
DEC_HOST:    36.343110
MWEBV: 0.089 (SFD98)
REDSHIFT_HELIO: 0.01529 +- 5e-05 
REDSHIFT_CMB: 0.0144517 +- 5e-05 
VPEC: 161.1736 +- 250.0
HOSTGAL_LOGMASS: 11.4130 +- 2.623
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 52522.305
FILTERS:  abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVRI -> abcde       
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:   49
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  52531.34813     a    NULL     7684.224        259.059    17.786     0.036
OBS:  52534.31323     a    NULL     4085.075        220.191    18.472     0.057
OBS:  52536.48668     a    NULL     2596.570        193.403    18.964     0.078
OBS:  52546.35324     a    NULL     1029.912        173.461    19.968     0.169
OBS:  52531.35134     b    NULL    11418.262        137.538    17.356     0.013
OBS:  52546.35645     b    NULL     1665.712         64.104    19.446     0.041
OBS:  52553.34660     b    NULL     1077.457         64.369    19.919     0.063
OBS:  52561.26464     b    NULL     1051.962         52.625    19.945     0.053
OBS:  52563.19759     b    NULL      941.022         74.758    20.066     0.083
OBS:  52579.33159     b    NULL      616.595        119.951    20.525     0.193
OBS:  52603.19773     b    NULL      382.296         62.335    21.044     0.164
OBS:  52613.15404     b    NULL      378.094         42.245    21.056     0.115
OBS:  52614.26580     b    NULL      394.821         51.041    21.009     0.132
OBS:  52634.31257     b    NULL      321.514        115.002    21.232     0.332
OBS:  52531.35384     c    NULL    21737.020        221.345    16.657     0.011
OBS:  52546.35895     c    NULL     5754.399        150.330    18.100     0.028
OBS:  52553.34909     c    NULL     3620.762         84.338    18.603     0.025
OBS:  52561.26713     c    NULL     2815.788         84.225    18.876     0.032
OBS:  52563.20008     c    NULL     2953.929        110.856    18.824     0.040
OBS:  52579.33473     c    NULL     1900.203        171.846    19.303     0.094
OBS:  52586.31859     c    NULL     1197.843         90.406    19.804     0.079
OBS:  52586.37181     c    NULL     1231.402        121.293    19.774     0.102
OBS:  52591.23191     c    NULL      962.942         74.587    20.041     0.081
OBS:  52603.20090     c    NULL      692.468         88.080    20.399     0.130
OBS:  52613.15720     c    NULL      615.460         69.397    20.527     0.116
OBS:  52614.26895     c    NULL      586.678         75.233    20.579     0.131
OBS:  52531.35562     d    NULL    28235.794        287.521    16.373     0.011
OBS:  52546.36073     d    NULL    10607.181        177.318    17.436     0.018
OBS:  52553.35087     d    NULL     6391.459        118.826    17.986     0.020
OBS:  52561.26894     d    NULL     4409.608        111.033    18.389     0.027
OBS:  52563.17730     d    NULL     3992.087        115.625    18.497     0.031
OBS:  52563.19001     d    NULL     4161.022        116.576    18.452     0.030
OBS:  52579.32262     d    NULL     1615.846        146.130    19.479     0.094
OBS:  52586.32105     d    NULL     1593.676         96.765    19.494     0.064
OBS:  52586.37427     d    NULL     1642.858        115.875    19.461     0.074
OBS:  52591.23438     d    NULL     1301.368         86.666    19.714     0.070
OBS:  52603.20337     d    NULL      911.171        131.146    20.101     0.146
OBS:  52531.35708     e    NULL    30310.982        421.668    16.296     0.015
OBS:  52536.49564     e    NULL    26915.348        349.307    16.425     0.014
OBS:  52546.36218     e    NULL    17426.092        323.975    16.897     0.020
OBS:  52553.35234     e    NULL    10327.614        221.112    17.465     0.023
OBS:  52561.27038     e    NULL     6576.578        171.809    17.955     0.028
OBS:  52563.17876     e    NULL     6546.362        214.468    17.960     0.035
OBS:  52563.19146     e    NULL     6234.477        180.573    18.013     0.031
OBS:  52579.33896     e    NULL     3614.099        222.974    18.605     0.065
OBS:  52586.32284     e    NULL     2713.938        416.463    18.916     0.155
OBS:  52591.23616     e    NULL     2418.800        216.317    19.041     0.093
OBS:  52602.22479     e    NULL     1648.922        214.881    19.457     0.133
OBS:  52613.16141     e    NULL     1028.964        165.575    19.969     0.162
END:
