SURVEY:  PS1_LOWZ_COMBINED(CFA3S)
SNID:    2002fk      
IAUC:    2002fk
RA:   50.52379 deg
DECL:   -15.40089 deg 
RA_HOST:   50.52733 deg
DEC_HOST:   -15.40006 deg
MWEBV: 0.040 (SFD98)
REDSHIFT_HELIO: 0.007185 +- 0.00015 
REDSHIFT_CMB: 0.0066802 +- 0.00015
VPEC: -152.5912 +- 250.0
HOSTGAL_LOGMASS: 10.3020 +- 0.219
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 52548.18
FILTERS:  abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVRI -> abcde       
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:  126
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS: 52535.99 b NULL 94536.6046 874.7364 15.061 0.01
OBS: 52535.99 c NULL 86936.0693 2600.4073 15.152 0.032
OBS: 52535.99 d NULL 92044.9572 4249.2141 15.09 0.049
OBS: 52535.99 e NULL 111789.2391 2603.9059 14.879 0.025
OBS: 52537.0 b NULL 135893.9117 1383.7901 14.667 0.011
OBS: 52537.0 c NULL 124738.3514 1154.1898 14.76 0.01
OBS: 52537.0 d NULL 129300.4392 4605.5494 14.721 0.038
OBS: 52537.0 e NULL 155883.4468 2898.0897 14.518 0.02
OBS: 52537.97 b NULL 182473.5831 1688.4073 14.347 0.01
OBS: 52537.97 c NULL 165958.6907 1844.4171 14.45 0.012
OBS: 52537.97 d NULL 174421.4932 5382.7764 14.396 0.033
OBS: 52537.97 e NULL 201743.7086 2054.3301 14.238 0.011
OBS: 52541.99 b NULL 363078.0548 3359.5199 13.6 0.01
OBS: 52541.99 c NULL 326888.7692 3328.666 13.714 0.011
OBS: 52541.99 d NULL 333272.8996 13144.7415 13.693 0.042
OBS: 52541.99 e NULL 362076.2178 5036.9819 13.603 0.015
OBS: 52544.0 b NULL 408507.4677 3779.8731 13.472 0.01
OBS: 52544.0 c NULL 365763.193 9555.3312 13.592 0.028
OBS: 52544.0 d NULL 387614.4867 5754.394 13.529 0.016
OBS: 52544.0 e NULL 377746.1094 7022.8245 13.557 0.02
OBS: 52544.96 b NULL 442180.9211 4091.4497 13.386 0.01
OBS: 52544.96 c NULL 395184.5889 7347.03 13.508 0.02
OBS: 52544.96 d NULL 412287.3407 3814.8478 13.462 0.01
OBS: 52544.96 e NULL 394457.3021 4016.7076 13.51 0.011
OBS: 52548.99 b NULL 466874.3344 4319.935 13.327 0.01
OBS: 52548.99 c NULL 450401.6782 4586.382 13.366 0.011
OBS: 52548.99 d NULL 443812.9803 4519.2901 13.382 0.011
OBS: 52548.99 e NULL 372220.253 3444.1116 13.573 0.01
OBS: 52549.98 b NULL 473805.3933 4384.0673 13.311 0.01
OBS: 52549.98 c NULL 451647.9049 4179.0466 13.363 0.01
OBS: 52549.98 d NULL 444631.2675 4114.1225 13.38 0.01
OBS: 52549.98 e NULL 366775.2316 3734.8247 13.589 0.011
OBS: 52550.95 b NULL 457509.3773 4658.7588 13.349 0.011
OBS: 52550.95 c NULL 436515.8322 4039.0313 13.4 0.01
OBS: 52550.95 d NULL 444631.2675 4114.1225 13.38 0.01
OBS: 52550.95 e NULL 345461.7749 3839.3627 13.654 0.012
OBS: 52551.97 b NULL 443404.4016 4515.1296 13.383 0.011
OBS: 52551.97 c NULL 426972.594 3950.7288 13.424 0.01
OBS: 52551.97 d NULL 437723.6379 5272.5612 13.397 0.013
OBS: 52551.97 e NULL 333887.3767 3089.4219 13.691 0.01
OBS: 52553.95 b NULL 391201.0394 3983.5495 13.519 0.011
OBS: 52553.95 c NULL 410015.2405 4175.1321 13.468 0.011
OBS: 52553.95 d NULL 405135.2202 4880.0203 13.481 0.013
OBS: 52553.95 e NULL 306478.4905 3406.1137 13.784 0.012
OBS: 52555.94 b NULL 344191.3883 3184.7637 13.658 0.01
OBS: 52555.94 c NULL 380539.725 3521.0907 13.549 0.01
OBS: 52555.94 d NULL 347696.2446 11721.9017 13.647 0.036
OBS: 52555.94 e NULL 262301.0324 2427.0416 13.953 0.01
OBS: 52559.95 b NULL 257513.499 3101.856 13.973 0.013
OBS: 52559.95 c NULL 311601.8303 2883.2162 13.766 0.01
OBS: 52559.95 d NULL 265216.1706 8688.8546 13.941 0.035
OBS: 52559.95 e NULL 209122.133 2324.1231 14.199 0.012
OBS: 52562.89 b NULL 190897.3941 1943.8835 14.298 0.011
OBS: 52562.89 c NULL 261336.4576 2418.1165 13.957 0.01
OBS: 52562.89 d NULL 226777.5192 6998.5221 14.111 0.033
OBS: 52562.89 e NULL 191955.2524 1776.1401 14.292 0.01
OBS: 52565.9 b NULL 135643.8163 1255.0968 14.669 0.01
OBS: 52565.9 c NULL 223460.1058 2691.6688 14.127 0.013
OBS: 52565.9 d NULL 211446.2562 9761.3215 14.187 0.049
OBS: 52565.9 e NULL 191249.3642 6083.7638 14.296 0.034
OBS: 52570.95 c NULL 178319.9772 4153.6059 14.372 0.025
OBS: 52570.95 d NULL 210668.6926 5902.1569 14.191 0.03
OBS: 52570.95 e NULL 213010.0037 7790.4696 14.179 0.039
OBS: 52574.87 b NULL 60311.482 726.4766 15.549 0.013
OBS: 52574.87 c NULL 148730.487 3044.4286 14.569 0.022
OBS: 52574.87 d NULL 196064.9667 7358.0076 14.269 0.04
OBS: 52574.87 e NULL 245923.4824 2504.207 14.023 0.011
OBS: 52576.89 b NULL 49796.6354 1964.0478 15.757 0.042
OBS: 52576.89 c NULL 133782.7134 1362.2921 14.684 0.011
OBS: 52576.89 d NULL 177337.2625 6316.5719 14.378 0.038
OBS: 52576.89 e NULL 241212.6056 2231.9128 14.044 0.01
OBS: 52579.9 b NULL 40663.0546 1838.0287 15.977 0.048
OBS: 52579.9 c NULL 113867.5562 1690.4393 14.859 0.016
