SURVEY:  PS1_LOWZ_COMBINED(CFA3S)
SNID: 2003W 
IAUC: 2003W
RA:   146.706170 deg
DECL:    16.043780 deg 
RA_HOST:   146.706330
DEC_HOST:    16.042860
MWEBV: 0.049 (SFD98)
REDSHIFT_HELIO: 0.020067 +- 2e-06 
REDSHIFT_CMB: 0.021145 +- 2e-06 
VPEC: 14.6045 +- 250.0
HOSTGAL_LOGMASS: 10.6460 +- 0.635
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 52680.531
FILTERS:  abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVRI -> abcde       
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:   83
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  52671.31424     a    NULL    25751.350       1488.205    16.473     0.061
OBS:  52673.45748     a    NULL    35645.113       1817.666    16.120     0.054
OBS:  52674.24334     a    NULL    39627.803       2328.769    16.005     0.062
OBS:  52674.26199     a    NULL    38018.940       2012.389    16.050     0.056
OBS:  52676.27230     a    NULL    40738.028       2873.369    15.975     0.074
OBS:  52677.33212     a    NULL    40926.066       2285.499    15.970     0.059
OBS:  52679.34993     a    NULL    39591.322       1372.456    16.006     0.037
OBS:  52680.30392     a    NULL    36779.007       2018.159    16.086     0.058
OBS:  52693.34148     a    NULL    10356.190        659.203    17.462     0.067
OBS:  52705.33488     a    NULL     2316.328        318.790    19.088     0.140
OBS:  52706.24869     a    NULL     1659.587        288.463    19.450     0.174
OBS:  52708.29597     a    NULL     1682.674        357.184    19.435     0.209
OBS:  52711.20812     a    NULL      853.493        343.247    20.172     0.367
OBS:  52723.16810     a    NULL      679.204        360.238    20.420     0.462
OBS:  52750.24870     a    NULL      503.037        315.051    20.746     0.528
OBS:  52671.31744     b    NULL    21557.580        829.632    16.666     0.041
OBS:  52674.24654     b    NULL    30255.198        991.203    16.298     0.035
OBS:  52674.25459     b    NULL    30171.715       1074.686    16.301     0.038
OBS:  52676.27547     b    NULL    35710.835        530.151    16.118     0.016
OBS:  52677.33531     b    NULL    36408.266       1158.170    16.097     0.034
OBS:  52679.35312     b    NULL    38089.038        529.871    16.048     0.015
OBS:  52680.30711     b    NULL    37359.409        554.625    16.069     0.016
OBS:  52689.38529     b    NULL    23593.914        416.519    16.568     0.019
OBS:  52693.34465     b    NULL    15718.098        248.044    17.009     0.017
OBS:  52706.25188     b    NULL     5095.655        215.635    18.232     0.045
OBS:  52708.29914     b    NULL     4409.608        140.272    18.389     0.034
OBS:  52711.21131     b    NULL     3580.964        141.238    18.615     0.042
OBS:  52720.39883     b    NULL     3341.950        262.176    18.690     0.082
OBS:  52729.28243     b    NULL     2751.693        148.320    18.901     0.057
OBS:  52745.28941     b    NULL     2477.422        206.686    19.015     0.087
OBS:  52762.24829     b    NULL     2116.411        153.454    19.186     0.076
OBS:  52671.31991     c    NULL    22120.758        893.660    16.638     0.043
OBS:  52673.46310     c    NULL    28054.336        785.979    16.380     0.030
OBS:  52674.25707     c    NULL    32658.783        393.388    16.215     0.013
OBS:  52676.27793     c    NULL    38832.916        649.162    16.027     0.018
OBS:  52677.33778     c    NULL    40253.162        484.866    15.988     0.013
OBS:  52679.35558     c    NULL    43611.397        484.685    15.901     0.012
OBS:  52680.30957     c    NULL    44709.519        789.287    15.874     0.019
OBS:  52689.38775     c    NULL    36207.622        469.901    16.103     0.014
OBS:  52689.39632     c    NULL    35448.674        493.140    16.126     0.015
OBS:  52693.34712     c    NULL    28054.336        364.088    16.380     0.014
OBS:  52706.25432     c    NULL    15233.511        240.397    17.043     0.017
OBS:  52711.21376     c    NULL    10280.163        191.122    17.470     0.020
OBS:  52720.40130     c    NULL     5685.910        295.451    18.113     0.055
OBS:  52762.25076     c    NULL     2379.030        191.365    19.059     0.084
OBS:  52671.32168     d    NULL    27064.499        326.003    16.419     0.013
OBS:  52674.25078     d    NULL    38053.973        458.376    16.049     0.013
OBS:  52674.25887     d    NULL    37531.852        522.120    16.064     0.015
OBS:  52676.27969     d    NULL    44463.127        494.150    15.880     0.012
OBS:  52677.33955     d    NULL    45919.801        553.123    15.845     0.013
OBS:  52680.31134     d    NULL    50072.584        696.579    15.751     0.015
OBS:  52689.38955     d    NULL    35318.317        722.946    16.130     0.022
OBS:  52689.39715     d    NULL    37359.409        589.561    16.069     0.017
OBS:  52693.34889     d    NULL    30033.089        389.768    16.306     0.014
OBS:  52706.25609     d    NULL    26302.680        365.907    16.450     0.015
OBS:  52711.21552     d    NULL    19879.250        295.121    16.754     0.016
OBS:  52720.40306     d    NULL    10509.934        414.526    17.446     0.042
OBS:  52723.17550     d    NULL    10824.304        180.948    17.414     0.018
OBS:  52729.28669     d    NULL     8822.669        180.595    17.636     0.022
OBS:  52745.29512     d    NULL     5223.962        246.198    18.205     0.050
