SURVEY:  PS1_LOWZ_COMBINED(CFA3S)
SNID: 2003ae 
IAUC: 2003ae
RA:   142.094080 deg
DECL:    27.444640 deg 
RA_HOST:   142.094120
DEC_HOST:    27.444670
MWEBV: 0.024 (SFD98)
REDSHIFT_HELIO: 0.03275 +- 8e-06 
REDSHIFT_CMB: 0.03369 +- 8e-06 
VPEC: -216.5653 +- 250.0
HOSTGAL_LOGMASS: 9.74900 +- 0.03
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 52667.961
FILTERS:  abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVRI -> abcde       
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:   27
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  52680.40361     b    NULL     3944.573        103.049    18.510     0.028
OBS:  52692.35226     b    NULL     1213.389        119.519    19.790     0.102
OBS:  52705.28514     b    NULL      489.328         80.836    20.776     0.166
OBS:  52679.34271     c    NULL     8098.414        273.022    17.729     0.036
OBS:  52680.40609     c    NULL     7663.021        142.466    17.789     0.020
OBS:  52692.35472     c    NULL     3567.796        137.305    18.619     0.041
OBS:  52705.28828     c    NULL     1555.966         86.892    19.520     0.059
OBS:  52707.30968     c    NULL     1553.102         97.339    19.522     0.066
OBS:  52709.29615     c    NULL     1566.030        104.292    19.513     0.070
OBS:  52729.23912     c    NULL     1341.529        110.583    19.681     0.086
OBS:  52762.20963     c    NULL      792.136        116.521    20.253     0.149
OBS:  52679.34448     d    NULL     8534.931        231.040    17.672     0.029
OBS:  52680.40787     d    NULL     7827.084        204.478    17.766     0.028
OBS:  52690.27073     d    NULL     7543.971        247.151    17.806     0.035
OBS:  52692.35650     d    NULL     6773.295        241.258    17.923     0.038
OBS:  52705.29073     d    NULL     2579.883        277.708    18.971     0.111
OBS:  52710.21003     d    NULL     1987.925        130.436    19.254     0.069
OBS:  52729.24175     d    NULL     2124.222        154.020    19.182     0.076
OBS:  52762.21211     d    NULL      737.904        121.901    20.330     0.166
OBS:  52679.34590     e    NULL     5058.247        467.615    18.240     0.096
OBS:  52680.40928     e    NULL     5152.286        257.748    18.220     0.053
OBS:  52690.27215     e    NULL     6086.954        334.007    18.039     0.058
OBS:  52692.35792     e    NULL     5986.872        287.929    18.057     0.051
OBS:  52705.29248     e    NULL     3022.734        353.247    18.799     0.120
OBS:  52707.31390     e    NULL     2878.724        203.045    18.852     0.074
OBS:  52709.30038     e    NULL     3229.981        324.695    18.727     0.104
OBS:  52729.24354     e    NULL     2203.941        199.315    19.142     0.094
END:
