SURVEY:  PS1_LOWZ_COMBINED(CFA3S)
SNID: 2003cg 
IAUC: 2003cg
RA:   153.566540 deg
DECL:     3.467360 deg 
RA_HOST:   153.562710
DEC_HOST:     3.466080
MWEBV: 0.031 (SFD98)
REDSHIFT_HELIO: 0.004046 +- 4.1e-05 
REDSHIFT_CMB: 0.0052269 +- 4.1e-05 
VPEC: 60.1416 +- 250.0
HOSTGAL_LOGMASS: 10.8980 +- 0.075
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 52729.855
FILTERS:  abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVRI -> abcde       
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:   55
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  52724.22594     a    NULL    22263.836        750.582    16.631     0.036
OBS:  52726.18506     a    NULL    24592.348        805.680    16.523     0.035
OBS:  52729.29020     a    NULL    25398.028        928.889    16.488     0.039
OBS:  52735.21781     a    NULL    17029.426        622.822    16.922     0.039
OBS:  52739.21088     a    NULL    12439.416        562.280    17.263     0.048
OBS:  52724.22912     b    NULL    39084.090        910.385    16.020     0.025
OBS:  52726.18826     b    NULL    42422.865       1349.498    15.931     0.034
OBS:  52729.29339     b    NULL    44586.153        954.578    15.877     0.023
OBS:  52735.22101     b    NULL    41419.037       1317.566    15.957     0.034
OBS:  52739.21409     b    NULL    29895.099        668.184    16.311     0.024
OBS:  52745.30318     b    NULL    15066.071        379.359    17.055     0.027
OBS:  52762.23696     b    NULL     3999.447        131.028    18.495     0.035
OBS:  52791.16539     b    NULL     1907.217        201.412    19.299     0.109
OBS:  52793.16206     b    NULL     1791.431        110.523    19.367     0.065
OBS:  52724.23157     c    NULL    97994.116       1180.379    15.022     0.013
OBS:  52726.19074     c    NULL   112615.975       1042.023    14.871     0.010
OBS:  52729.29589     c    NULL   129181.404       1435.685    14.722     0.012
OBS:  52732.14730     c    NULL   126823.578       1173.484    14.742     0.010
OBS:  52735.22348     c    NULL   118467.712       2759.467    14.816     0.025
OBS:  52739.21656     c    NULL    99632.264       1014.542    15.004     0.011
OBS:  52745.30689     c    NULL    65463.617       1278.503    15.460     0.021
OBS:  52750.23289     c    NULL    55769.917        671.772    15.634     0.013
OBS:  52758.15422     c    NULL    36140.986        435.333    16.105     0.013
OBS:  52762.23943     c    NULL    27064.499        427.099    16.419     0.017
OBS:  52766.24637     c    NULL    20379.804        590.272    16.727     0.031
OBS:  52782.14235     c    NULL    14521.116        256.351    17.095     0.019
OBS:  52791.16858     c    NULL    10356.190        339.283    17.462     0.035
OBS:  52793.16523     c    NULL    10715.193        209.267    17.425     0.021
OBS:  52724.23332     d    NULL   190020.300       2643.446    14.303     0.015
OBS:  52726.19253     d    NULL   210280.984       2141.264    14.193     0.011
OBS:  52729.29767     d    NULL   217170.084       3427.118    14.158     0.017
OBS:  52732.14909     d    NULL   219179.534       2231.877    14.148     0.011
OBS:  52735.22525     d    NULL   198792.502       3882.413    14.254     0.021
OBS:  52739.21834     d    NULL   149416.996       2637.757    14.564     0.019
OBS:  52745.30868     d    NULL   108943.168       2949.080    14.907     0.029
OBS:  52750.23469     d    NULL   115877.736       1720.282    14.840     0.016
OBS:  52758.15671     d    NULL    91790.979       1276.940    15.093     0.015
OBS:  52762.24122     d    NULL    68865.230       1022.350    15.405     0.016
OBS:  52766.24884     d    NULL    54050.535        802.416    15.668     0.016
OBS:  52791.17105     d    NULL    21897.776        655.000    16.649     0.032
OBS:  52793.16772     d    NULL    21261.799        355.429    16.681     0.018
OBS:  52795.15940     d    NULL    20873.727        388.072    16.701     0.020
OBS:  52724.23475     e    NULL   280285.093       4161.018    13.881     0.016
OBS:  52726.19397     e    NULL   295665.057       3837.132    13.823     0.014
OBS:  52729.29913     e    NULL   286549.728       4254.021    13.857     0.016
OBS:  52732.15052     e    NULL   264728.074       3435.633    13.943     0.014
OBS:  52735.22670     e    NULL   237684.029       2863.002    14.060     0.013
OBS:  52739.21979     e    NULL   191425.593       2484.315    14.295     0.014
OBS:  52745.31013     e    NULL   171869.970       3195.301    14.412     0.020
OBS:  52750.23615     e    NULL   199710.087       2964.829    14.249     0.016
OBS:  52758.15851     e    NULL   196064.967       3461.265    14.269     0.019
OBS:  52762.24265     e    NULL   147774.671       2470.320    14.576     0.018
OBS:  52766.25062     e    NULL    99815.963       9227.592    15.002     0.096
OBS:  52791.17284     e    NULL    33143.625       1085.832    16.199     0.035
OBS:  52795.16118     e    NULL    30732.649        600.208    16.281     0.021
END:
