SURVEY:  PS1_LOWZ_COMBINED(CFA3S)
SNID: 2003ch 
IAUC: 2003ch
RA:   109.491330 deg
DECL:     9.693030 deg 
RA_HOST:   109.489830
DEC_HOST:     9.689330
MWEBV: 0.070 (SFD98)
REDSHIFT_HELIO: 0.02862 +- 0.00012 
REDSHIFT_CMB: 0.0292461 +- 0.00012 
VPEC: -164.0728 +- 250.0
HOSTGAL_LOGMASS: 10.6320 +- 3.794
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 52726.219
FILTERS:  abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVRI -> abcde       
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:   29
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  52726.13935     a    NULL    19606.497        530.746    16.769     0.029
OBS:  52729.15162     a    NULL    16173.351        483.773    16.978     0.032
OBS:  52734.11490     a    NULL    10490.592        413.763    17.448     0.042
OBS:  52738.13465     a    NULL     5030.371        490.404    18.246     0.101
OBS:  52751.12545     a    NULL     1547.391        227.616    19.526     0.149
OBS:  52758.12575     a    NULL      647.441        233.203    20.472     0.334
OBS:  52726.14324     b    NULL    16353.097        242.773    16.966     0.016
OBS:  52729.15553     b    NULL    15066.071        223.666    17.055     0.016
OBS:  52734.11878     b    NULL    10984.998        204.226    17.398     0.020
OBS:  52738.13856     b    NULL     7291.217        197.372    17.843     0.029
OBS:  52751.11590     b    NULL     2006.319        151.425    19.244     0.079
OBS:  52726.14641     c    NULL    17554.966        244.214    16.889     0.015
OBS:  52734.12196     c    NULL    13957.255        220.257    17.138     0.017
OBS:  52738.14174     c    NULL    11344.882        210.917    17.363     0.020
OBS:  52751.11911     c    NULL     4621.681        120.738    18.338     0.028
OBS:  52758.11947     c    NULL     3025.520        139.672    18.798     0.049
OBS:  52726.14889     d    NULL    19733.313        274.518    16.762     0.015
OBS:  52729.16120     d    NULL    20417.379        360.442    16.725     0.019
OBS:  52734.12444     d    NULL    14547.890        229.577    17.093     0.017
OBS:  52738.14421     d    NULL    10346.656        250.761    17.463     0.026
OBS:  52751.11503     d    NULL     7870.458        555.126    17.760     0.074
OBS:  52751.12159     d    NULL     7877.710        146.458    17.759     0.020
OBS:  52758.12198     d    NULL     4579.310        163.110    18.348     0.038
OBS:  52726.15068     e    NULL    14886.754        346.757    17.068     0.025
OBS:  52729.16299     e    NULL    13402.938        362.816    17.182     0.029
OBS:  52734.12622     e    NULL     9576.350        277.365    17.547     0.031
OBS:  52738.14601     e    NULL     6165.950        428.825    18.025     0.073
OBS:  52751.12339     e    NULL     9323.951        270.055    17.576     0.031
OBS:  52758.12378     e    NULL     5390.139        311.503    18.171     0.061
END:
