SURVEY:  PS1_LOWZ_COMBINED(CFA3S)
SNID: 2004as 
IAUC: 2004as
RA:   171.413250 deg
DECL:    22.830390 deg 
RA_HOST:   171.411750
DEC_HOST:    22.831170
MWEBV: 0.015 (SFD98)
REDSHIFT_HELIO: 0.031394 +- 1.5e-05 
REDSHIFT_CMB: 0.0324961 +- 1.5e-05 
VPEC: -136.0736 +- 250.0
HOSTGAL_LOGMASS: 9.37100 +- 0.06
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 53086.328
FILTERS:  abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVRI -> abcde       
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:   51
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  53088.25304     a    NULL    12133.889        713.060    17.290     0.062
OBS:  53091.43597     a    NULL     9103.324        669.048    17.602     0.077
OBS:  53094.29363     a    NULL     7184.557        656.958    17.859     0.095
OBS:  53080.33192     b    NULL    13880.337        362.615    17.144     0.028
OBS:  53082.29475     b    NULL    15066.071        422.096    17.055     0.030
OBS:  53085.35800     b    NULL    15805.200        427.845    17.003     0.029
OBS:  53114.30068     b    NULL     2278.243         89.857    19.106     0.042
OBS:  53134.24817     b    NULL      976.338         82.428    20.026     0.088
OBS:  53135.17670     b    NULL      965.606         64.306    20.038     0.070
OBS:  53140.19093     b    NULL      831.764         63.601    20.200     0.080
OBS:  53145.26174     b    NULL      592.107         94.013    20.569     0.160
OBS:  53176.21524     b    NULL      333.580         80.992    21.192     0.236
OBS:  53080.32583     c    NULL    13551.894        264.668    17.170     0.021
OBS:  53082.28865     c    NULL    14886.754        346.757    17.068     0.025
OBS:  53085.35190     c    NULL    16888.847        345.705    16.931     0.022
OBS:  53088.24374     c    NULL    16413.455        382.318    16.962     0.025
OBS:  53091.42661     c    NULL    16158.461        315.574    16.979     0.021
OBS:  53094.28433     c    NULL    14387.986        280.997    17.105     0.021
OBS:  53112.26576     c    NULL     5223.962        136.473    18.205     0.028
OBS:  53114.29455     c    NULL     4729.334        119.083    18.313     0.027
OBS:  53134.25137     c    NULL     1975.150         87.379    19.261     0.047
OBS:  53135.17222     c    NULL     1958.845         96.099    19.270     0.052
OBS:  53135.17991     c    NULL     1919.553         92.318    19.292     0.051
OBS:  53140.19412     c    NULL     1821.378        101.714    19.349     0.059
OBS:  53145.25564     c    NULL     1533.204         99.096    19.536     0.068
OBS:  53176.20917     c    NULL     1008.324         81.108    19.991     0.084
OBS:  53080.32831     d    NULL    15892.785        385.176    16.997     0.026
OBS:  53082.29112     d    NULL    16873.299        440.804    16.932     0.028
OBS:  53085.35438     d    NULL    18932.153        458.838    16.807     0.026
OBS:  53088.24620     d    NULL    19301.897        467.799    16.786     0.026
OBS:  53091.42909     d    NULL    16873.299        472.727    16.932     0.030
OBS:  53094.28681     d    NULL    14873.049        332.427    17.069     0.024
OBS:  53112.25200     d    NULL     8945.405        284.559    17.621     0.034
OBS:  53114.29704     d    NULL     8203.515        206.562    17.715     0.027
OBS:  53134.25385     d    NULL     3127.519        123.354    18.762     0.042
OBS:  53135.17471     d    NULL     3188.600        131.874    18.741     0.044
OBS:  53135.18240     d    NULL     3006.076        127.209    18.805     0.045
OBS:  53137.25912     d    NULL     2782.275        136.496    18.889     0.052
OBS:  53140.19660     d    NULL     2549.177        100.543    18.984     0.042
OBS:  53145.25811     d    NULL     2165.708        118.838    19.161     0.058
OBS:  53176.21162     d    NULL      847.227         77.471    20.180     0.095
OBS:  53080.33008     e    NULL    12989.726        437.923    17.216     0.036
OBS:  53082.29289     e    NULL    13765.754        398.705    17.153     0.031
OBS:  53085.35615     e    NULL    13170.431        456.561    17.201     0.037
OBS:  53088.24797     e    NULL    12133.889        362.945    17.290     0.032
OBS:  53091.43088     e    NULL    11397.248        416.834    17.358     0.039
OBS:  53094.28858     e    NULL     9212.977        319.373    17.589     0.037
OBS:  53112.26333     e    NULL     9229.964        355.210    17.587     0.041
OBS:  53114.29882     e    NULL     8433.348        244.260    17.685     0.031
OBS:  53145.25990     e    NULL     2203.941        212.632    19.142     0.100
OBS:  53176.21339     e    NULL      586.678        162.181    20.579     0.265
END:
