SURVEY:  PS1_LOWZ_COMBINED(CFA3K)
SNID: 2004ef 
IAUC: 2004ef
RA:   340.541750 deg
DECL:    19.994560 deg 
RA_HOST:   340.543790
DEC_HOST:    19.996970
MWEBV: 0.054 (SFD98)
REDSHIFT_HELIO: 0.031011 +- 2.1e-05 
REDSHIFT_CMB: 0.0297821 +- 2.1e-05 
VPEC: -99.5544 +- 250.0
HOSTGAL_LOGMASS: 10.9920 +- 0.049
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 53265.094
FILTERS:  abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVri -> fghij       
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:   32
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  53265.14996     f    NULL     2808.019        220.289    18.879     0.082
OBS:  53263.19420     g    NULL    14008.770        379.216    17.134     0.029
OBS:  53265.14682     g    NULL    14348.285        374.840    17.108     0.028
OBS:  53288.30817     g    NULL     1586.354         70.179    19.499     0.047
OBS:  53288.32141     g    NULL     1587.815         88.671    19.498     0.059
OBS:  53296.13655     g    NULL      869.361         65.614    20.152     0.079
OBS:  53312.23159     g    NULL      575.970        151.810    20.599     0.254
OBS:  53328.13514     g    NULL      429.339         97.406    20.918     0.222
OBS:  53353.10667     g    NULL      487.528        121.167    20.780     0.241
OBS:  53263.18522     h    NULL    15645.880        349.700    17.014     0.024
OBS:  53265.14115     h    NULL    16657.123        372.302    16.946     0.024
OBS:  53288.30212     h    NULL     4703.271        122.870    18.319     0.028
OBS:  53288.31523     h    NULL     4742.420        119.413    18.310     0.027
OBS:  53296.12734     h    NULL     2711.440         93.994    18.917     0.037
OBS:  53312.24192     h    NULL     1567.473        188.024    19.512     0.123
OBS:  53320.10402     h    NULL     1432.188         91.163    19.610     0.067
OBS:  53328.12630     h    NULL     1317.043         78.682    19.701     0.063
OBS:  53353.09749     h    NULL      792.136         83.654    20.253     0.109
OBS:  53263.19088     i    NULL    16458.869        461.117    16.959     0.030
OBS:  53265.15429     i    NULL    17571.142        442.436    16.888     0.027
OBS:  53288.29884     i    NULL     6817.105        165.219    17.916     0.026
OBS:  53296.13311     i    NULL     4285.485        132.253    18.420     0.033
OBS:  53312.22403     i    NULL     2390.012        204.168    19.054     0.089
OBS:  53320.10975     i    NULL     1783.200         94.387    19.372     0.056
OBS:  53353.10328     i    NULL     1000.000         98.500    20.000     0.102
OBS:  53263.19254     j    NULL    10375.284        409.215    17.460     0.042
OBS:  53265.15619     j    NULL    10734.949        331.288    17.423     0.033
OBS:  53288.30046     j    NULL     6286.371        199.973    18.004     0.034
OBS:  53288.31356     j    NULL     6456.542        211.525    17.975     0.035
OBS:  53296.13479     j    NULL     3499.452        134.674    18.640     0.041
OBS:  53312.22536     j    NULL     1862.087        260.180    19.325     0.142
OBS:  53312.24064     j    NULL     1784.843        283.393    19.371     0.160
END:
