SURVEY:  PS1_LOWZ_COMBINED(CFA3K)
SNID: 2005el 
IAUC: 2005el
RA:    77.953000 deg
DECL:     5.194280 deg 
RA_HOST:    77.942250
DEC_HOST:     5.200610
MWEBV: 0.114 (SFD98)
REDSHIFT_HELIO: 0.01483 +- 0.000123 
REDSHIFT_CMB: 0.0148189 +- 0.000123 
VPEC: -46.3298 +- 250.0
HOSTGAL_LOGMASS: 11.3050 +- 2.674
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 53646.832
FILTERS:  abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVri -> fghij       
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:  250
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  53640.45031     f    NULL    86936.069       1534.740    15.152     0.019
OBS:  53641.46951     f    NULL   102706.990       1716.932    14.971     0.018
OBS:  53650.43530     f    NULL    79873.001       1410.051    15.244     0.019
OBS:  53656.41978     f    NULL    42227.950        904.090    15.936     0.023
OBS:  53663.39521     f    NULL    13085.792        453.627    17.208     0.037
OBS:  53663.39884     f    NULL    13255.619        446.887    17.194     0.036
OBS:  53663.42022     f    NULL    15233.511        499.071    17.043     0.035
OBS:  53663.42387     f    NULL    14216.739        506.386    17.118     0.038
OBS:  53665.40887     f    NULL    10824.304        468.453    17.414     0.046
OBS:  53665.41251     f    NULL    10814.340        447.258    17.415     0.044
OBS:  53665.42531     f    NULL    11814.083        409.542    17.319     0.037
OBS:  53665.42895     f    NULL    10452.014        432.273    17.452     0.044
OBS:  53666.47774     f    NULL    10500.259        394.058    17.447     0.040
OBS:  53666.48138     f    NULL     9212.977        381.029    17.589     0.044
OBS:  53667.39496     f    NULL     9204.496        371.854    17.590     0.043
OBS:  53667.39860     f    NULL     8241.381        340.846    17.710     0.044
OBS:  53667.41167     f    NULL     8637.737        390.438    17.659     0.048
OBS:  53667.41531     f    NULL     7641.876        389.685    17.792     0.054
OBS:  53669.50823     f    NULL     7217.719        438.247    17.854     0.064
OBS:  53677.42040     f    NULL     4768.700        326.955    18.304     0.072
OBS:  53677.42404     f    NULL     4724.980        351.936    18.314     0.078
OBS:  53677.43679     f    NULL     4309.233        312.448    18.414     0.076
OBS:  53678.43050     f    NULL     4681.661        270.559    18.324     0.061
OBS:  53678.43413     f    NULL     4446.313        252.628    18.380     0.060
OBS:  53679.42615     f    NULL     4458.615        288.175    18.377     0.068
OBS:  53680.43139     f    NULL     4103.931        273.306    18.467     0.070
OBS:  53680.43502     f    NULL     4716.285        300.206    18.316     0.067
OBS:  53680.44866     f    NULL     4405.549        336.871    18.390     0.080
OBS:  53680.45230     f    NULL     4130.475        283.196    18.460     0.072
OBS:  53682.42892     f    NULL     4103.931        293.510    18.467     0.075
OBS:  53684.46577     f    NULL     3388.442        309.840    18.675     0.095
OBS:  53684.46941     f    NULL     3557.951        361.272    18.622     0.105
OBS:  53685.44103     f    NULL     3422.946        302.687    18.664     0.092
OBS:  53685.44466     f    NULL     3250.873        363.226    18.720     0.115
OBS:  53686.42207     f    NULL     3688.077        311.370    18.583     0.088
OBS:  53686.42569     f    NULL     3366.666        318.016    18.682     0.098
OBS:  53686.43899     f    NULL     3299.134        324.964    18.704     0.102
OBS:  53686.44263     f    NULL     3460.987        372.553    18.652     0.111
OBS:  53687.43343     f    NULL     3159.366        411.717    18.751     0.133
OBS:  53687.44645     f    NULL     3241.903        368.869    18.723     0.117
OBS:  53687.45008     f    NULL     2951.209        335.793    18.825     0.117
OBS:  53688.41248     f    NULL     2544.486        428.549    18.986     0.169
OBS:  53688.41612     f    NULL     2376.840        352.137    19.060     0.150
OBS:  53688.44873     f    NULL     3008.846        370.246    18.804     0.126
OBS:  53690.43770     f    NULL     2316.328        504.652    19.088     0.214
OBS:  53691.43660     f    NULL     2632.692        474.729    18.949     0.180
OBS:  53695.44181     f    NULL     2669.316        375.773    18.934     0.143
OBS:  53695.44544     f    NULL     2625.427        350.347    18.952     0.136
OBS:  53696.43459     f    NULL     2405.470        336.104    19.047     0.142
OBS:  53696.43823     f    NULL     2189.778        340.685    19.149     0.157
OBS:  53706.43504     f    NULL     2647.281        344.984    18.943     0.133
OBS:  53707.35550     f    NULL     2145.853        336.137    19.171     0.158
OBS:  53725.37175     f    NULL     1881.049        355.612    19.314     0.188
OBS:  53731.32031     f    NULL     1765.225        428.590    19.383     0.236
OBS:  53745.31247     f    NULL     2134.027        650.811    19.177     0.289
OBS:  53640.44720     g    NULL    48977.882        498.735    15.775     0.011
OBS:  53641.46641     g    NULL    57597.018        532.939    15.599     0.010
OBS:  53645.51117     g    NULL    75300.871        696.750    15.308     0.010
OBS:  53650.43220     g    NULL    68359.677        632.524    15.413     0.010
OBS:  53656.41670     g    NULL    44258.837        409.522    15.885     0.010
OBS:  53666.48514     g    NULL    13073.745        194.088    17.209     0.016
OBS:  53667.40237     g    NULL    11846.771        198.040    17.316     0.018
OBS:  53667.41907     g    NULL    12496.834        197.210    17.258     0.017
OBS:  53669.50517     g    NULL     9611.695        205.784    17.543     0.023
OBS:  53676.37744     g    NULL     5855.986        158.521    18.081     0.029
OBS:  53677.42780     g    NULL     5576.992        150.969    18.134     0.029
OBS:  53677.44420     g    NULL     5602.734        151.665    18.129     0.029
OBS:  53678.43790     g    NULL     5360.435        150.180    18.177     0.030
OBS:  53679.42311     g    NULL     5025.740        112.330    18.247     0.024
OBS:  53680.45606     g    NULL     4085.075        145.506    18.472     0.038
OBS:  53683.44991     g    NULL     4021.610        347.570    18.489     0.090
OBS:  53684.47318     g    NULL     4562.470        149.473    18.352     0.035
OBS:  53685.43170     g    NULL     3966.432        129.946    18.504     0.035
OBS:  53685.44845     g    NULL     4066.305        133.218    18.477     0.035
OBS:  53686.41281     g    NULL     4184.080        149.033    18.446     0.038
OBS:  53686.42948     g    NULL     4130.475        143.185    18.460     0.037
OBS:  53686.44640     g    NULL     3999.447        119.630    18.495     0.032
OBS:  53687.43720     g    NULL     3981.072        168.469    18.500     0.045
OBS:  53687.45385     g    NULL     4055.085        163.822    18.480     0.043
OBS:  53688.41988     g    NULL     3995.766        157.598    18.496     0.042
OBS:  53688.43932     g    NULL     4562.470        162.511    18.352     0.038
OBS:  53688.45615     g    NULL     4226.686        174.807    18.435     0.044
OBS:  53695.44921     g    NULL     3525.332        179.769    18.632     0.054
OBS:  53696.44199     g    NULL     3320.473        143.703    18.697     0.046
OBS:  53706.43199     g    NULL     2739.050        142.326    18.906     0.055
OBS:  53707.35243     g    NULL     2539.803        139.366    18.988     0.058
OBS:  53713.32009     g    NULL     2774.598        152.249    18.892     0.058
OBS:  53714.29066     g    NULL     2394.418        140.710    19.052     0.062
OBS:  53725.34957     g    NULL     2128.139        156.407    19.180     0.077
OBS:  53725.36800     g    NULL     1926.637        145.411    19.288     0.079
OBS:  53727.26477     g    NULL     1900.203        134.027    19.303     0.074
OBS:  53729.29935     g    NULL     1786.488        140.150    19.370     0.082
OBS:  53731.31655     g    NULL     1658.059        100.674    19.451     0.064
OBS:  53737.36787     g    NULL     1433.508        144.104    19.609     0.104
OBS:  53640.44110     h    NULL    53802.196       1101.300    15.673     0.022
OBS:  53640.44156     h    NULL    54802.453        609.059    15.653     0.012
OBS:  53641.46037     h    NULL    61150.498        565.819    15.534     0.010
OBS:  53641.46077     h    NULL    61773.186        571.580    15.523     0.010
OBS:  53645.50435     h    NULL    78777.102        802.177    15.259     0.011
OBS:  53645.50551     h    NULL    79140.721        805.880    15.254     0.011
OBS:  53650.42596     h    NULL    77054.854        856.365    15.283     0.012
OBS:  53650.42657     h    NULL    76842.237        925.596    15.286     0.013
OBS:  53656.41065     h    NULL    55564.831        669.301    15.638     0.013
OBS:  53656.41104     h    NULL    55718.575        463.788    15.635     0.009
OBS:  53656.42741     h    NULL    53604.346       1451.064    15.677     0.029
OBS:  53663.39286     h    NULL    35875.668        365.317    16.113     0.011
OBS:  53663.41788     h    NULL    36846.819        375.206    16.084     0.011
OBS:  53665.40653     h    NULL    32839.762        364.972    16.209     0.012
OBS:  53665.42296     h    NULL    33265.955        369.708    16.195     0.012
OBS:  53666.47539     h    NULL    30591.446        339.985    16.286     0.012
OBS:  53667.39262     h    NULL    29133.992        296.668    16.339     0.011
OBS:  53667.40932     h    NULL    29349.452        298.862    16.331     0.011
OBS:  53669.49954     h    NULL    25142.010        279.421    16.499     0.012
OBS:  53676.37179     h    NULL    16128.724        224.373    16.981     0.015
OBS:  53677.41806     h    NULL    15135.612        210.557    17.050     0.015
OBS:  53677.43446     h    NULL    15177.492        211.140    17.047     0.015
OBS:  53678.42816     h    NULL    14282.361        212.031    17.113     0.016
OBS:  53679.41748     h    NULL    13727.770        190.972    17.156     0.015
OBS:  53680.42903     h    NULL    13243.415        196.607    17.195     0.016
OBS:  53680.44633     h    NULL    13121.999        182.545    17.205     0.015
OBS:  53682.42022     h    NULL    12201.128        215.395    17.284     0.019
OBS:  53684.46345     h    NULL    11282.361        199.175    17.369     0.019
OBS:  53685.42193     h    NULL    10794.437        190.561    17.417     0.019
OBS:  53685.43869     h    NULL    10874.267        151.276    17.409     0.015
OBS:  53686.40306     h    NULL    10834.279        221.772    17.413     0.022
OBS:  53686.41972     h    NULL    10834.279        191.265    17.413     0.019
OBS:  53686.43664     h    NULL    10764.652        190.036    17.420     0.019
OBS:  53687.42744     h    NULL    10509.934        225.015    17.446     0.023
OBS:  53687.44411     h    NULL    10185.914        189.370    17.480     0.020
OBS:  53688.41014     h    NULL    10270.699        219.893    17.471     0.023
OBS:  53688.42957     h    NULL     9754.387        227.209    17.527     0.025
OBS:  53688.44641     h    NULL    10626.739        197.566    17.434     0.020
