SURVEY:  PS1_LOWZ_COMBINED(CFA3K)
SNID: 2005eu 
IAUC: 2005eu
RA:    36.930250 deg
DECL:    28.176830 deg 
RA_HOST:    36.930500
DEC_HOST:    28.177110
MWEBV: 0.135 (SFD98)
REDSHIFT_HELIO: 0.03449 +- 0.005 
REDSHIFT_CMB: 0.0336861 +- 0.005 
VPEC: -427.5545 +- 250.0
HOSTGAL_LOGMASS: -1.00000 +- 0.0
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 53660.715
FILTERS:  abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVri -> fghij       
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:   96
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  53654.47000     g    NULL    14454.398        751.078    17.100     0.055
OBS:  53656.26500     g    NULL    12212.371        825.299    17.283     0.071
OBS:  53676.36200     g    NULL     6456.542        273.224    17.975     0.045
OBS:  53677.38200     g    NULL     6165.950        695.249    18.025     0.116
OBS:  53678.39300     g    NULL     5888.437        676.038    18.075     0.118
OBS:  53680.39400     g    NULL     4575.094        663.322    18.349     0.147
OBS:  53682.37600     g    NULL     3739.383        267.438    18.568     0.075
OBS:  53683.38600     g    NULL     3763.570        363.102    18.561     0.100
OBS:  53687.37300     g    NULL     2049.274        409.961    19.221     0.198
OBS:  53687.39000     g    NULL     2390.012        449.215    19.054     0.187
OBS:  53688.34600     g    NULL     1926.637        465.576    19.288     0.235
OBS:  53691.40700     g    NULL     1617.335        578.501    19.478     0.332
OBS:  53693.40100     g    NULL     1293.004        337.793    19.721     0.252
OBS:  53695.39800     g    NULL     1656.533        349.786    19.452     0.208
OBS:  53696.39200     g    NULL     1352.695        651.777    19.672     0.427
OBS:  53706.39000     g    NULL     1132.400        645.879    19.865     0.490
OBS:  53650.30500     h    NULL     8363.730        305.889    17.694     0.039
OBS:  53654.46100     h    NULL    14414.514        458.535    17.103     0.034
OBS:  53654.46400     h    NULL    14941.700        305.848    17.064     0.022
OBS:  53656.25100     h    NULL    16811.250        922.477    16.936     0.058
