SURVEY:  PS1_LOWZ_COMBINED(CFA3K)
SNID: 2005iq 
IAUC: 2005iq
RA:   359.635420 deg
DECL:   -18.709170 deg 
RA_HOST:   359.632620
DEC_HOST:   -18.714030
MWEBV: 0.021 (SFD98)
REDSHIFT_HELIO: 0.034043 +- 0.000123 
REDSHIFT_CMB: 0.0329197 +- 0.000123 
VPEC: -141.5506 +- 250.0
HOSTGAL_LOGMASS: 10.600063 +- 0.280891
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 53687.82
FILTERS:  abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVri -> fghij       
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:   67
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  53682.17608     f    NULL    21222.669       3896.195    16.683     0.183
OBS:  53688.20603     f    NULL    22019.122       4042.413    16.643     0.183
OBS:  53689.14465     f    NULL    21320.628       3317.062    16.678     0.157
OBS:  53692.20264     f    NULL    15219.487       2158.522    17.044     0.144
OBS:  53693.20098     f    NULL    12682.358       2149.652    17.242     0.170
OBS:  53695.18921     f    NULL     9576.350       1479.700    17.547     0.156
OBS:  53707.16542     f    NULL     1723.455        406.645    19.409     0.230
OBS:  53682.24881     g    NULL    14282.361        783.710    17.113     0.058
OBS:  53687.13453     g    NULL    17684.794        901.808    16.881     0.054
OBS:  53688.20980     g    NULL    17522.659        758.344    16.891     0.046
OBS:  53689.14091     g    NULL    17013.748        541.218    16.923     0.034
OBS:  53690.21067     g    NULL    15631.476        766.868    17.015     0.052
OBS:  53691.21289     g    NULL    15360.311        591.133    17.034     0.041
OBS:  53692.20640     g    NULL    14427.796        363.288    17.102     0.027
OBS:  53693.20839     g    NULL    14467.717        487.751    17.099     0.036
OBS:  53694.19418     g    NULL    13452.407        351.436    17.178     0.028
OBS:  53695.19299     g    NULL    12382.262        323.479    17.268     0.028
OBS:  53696.18823     g    NULL    10984.998        266.231    17.398     0.026
OBS:  53697.13646     g    NULL    10558.446        295.809    17.441     0.030
OBS:  53707.16168     g    NULL     3480.166        123.960    18.646     0.038
OBS:  53729.12290     g    NULL      839.460         86.943    20.190     0.107
OBS:  53731.10852     g    NULL      947.982         94.336    20.058     0.103
OBS:  53682.24102     h    NULL    12894.366        385.693    17.224     0.032
OBS:  53688.20005     h    NULL    17076.545        494.598    16.919     0.031
OBS:  53689.12407     h    NULL    17155.366        335.044    16.914     0.021
OBS:  53689.13314     h    NULL    17394.021        405.159    16.899     0.025
OBS:  53691.20314     h    NULL    16611.161        308.825    16.949     0.020
OBS:  53692.19667     h    NULL    15922.087        370.873    16.995     0.025
OBS:  53693.19865     h    NULL    15805.200        353.261    17.003     0.024
OBS:  53694.18444     h    NULL    15205.475        325.545    17.045     0.023
OBS:  53695.18324     h    NULL    14547.890        270.465    17.093     0.020
OBS:  53696.17847     h    NULL    13601.913        252.878    17.166     0.020
OBS:  53707.15390     h    NULL     7021.017        156.926    17.884     0.024
OBS:  53714.11109     h    NULL     3959.132        201.890    18.506     0.054
OBS:  53729.11513     h    NULL     1946.256        103.018    19.277     0.056
OBS:  53731.10077     h    NULL     1955.240        111.092    19.272     0.060
OBS:  53682.24410     i    NULL    13489.629        390.708    17.175     0.031
OBS:  53689.12715     i    NULL    16550.076        385.501    16.953     0.025
OBS:  53689.13621     i    NULL    16718.604        405.191    16.942     0.026
OBS:  53690.19763     i    NULL    15966.142        507.893    16.992     0.034
OBS:  53691.19984     i    NULL    16641.789        371.960    16.947     0.024
OBS:  53692.19333     i    NULL    15531.021        332.515    17.022     0.023
OBS:  53693.19532     i    NULL    15275.661        355.816    17.040     0.025
OBS:  53694.18109     i    NULL    14112.371        342.026    17.126     0.026
OBS:  53695.17993     i    NULL    13564.382        290.410    17.169     0.023
OBS:  53696.17517     i    NULL    12359.474        276.246    17.270     0.024
OBS:  53697.13176     i    NULL    11803.206        297.201    17.320     0.027
OBS:  53707.15699     i    NULL     8113.346        188.984    17.727     0.025
OBS:  53714.11416     i    NULL     5855.986        180.720    18.081     0.033
OBS:  53729.11823     i    NULL     2759.307        111.474    18.898     0.043
OBS:  53731.10387     i    NULL     2443.431        162.723    19.030     0.070
OBS:  53682.24642     j    NULL     9298.224        483.153    17.579     0.055
OBS:  53688.19834     j    NULL     9772.372        292.308    17.525     0.032
OBS:  53689.12944     j    NULL    10176.537        285.109    17.481     0.030
OBS:  53689.13853     j    NULL    10036.909        309.746    17.496     0.033
OBS:  53690.19922     j    NULL     9375.620        307.158    17.570     0.035
OBS:  53691.20144     j    NULL     9349.750        261.945    17.573     0.030
OBS:  53692.19494     j    NULL     8879.735        240.374    17.629     0.029
OBS:  53693.19693     j    NULL     8511.380        270.752    17.675     0.034
OBS:  53694.18271     j    NULL     7648.918        228.792    17.791     0.032
OBS:  53695.18153     j    NULL     7351.907        199.015    17.834     0.029
OBS:  53696.17677     j    NULL     6356.236        172.063    17.992     0.029
OBS:  53697.13407     j    NULL     5500.473        291.147    18.149     0.056
OBS:  53707.15931     j    NULL     5219.153        161.067    18.206     0.033
OBS:  53714.11648     j    NULL     4803.967        180.285    18.296     0.040
OBS:  53729.12053     j    NULL     2305.685        119.808    19.093     0.055
OBS:  53731.10615     j    NULL     2516.518        258.080    18.998     0.106
END:
