SURVEY:  PS1_LOWZ_COMBINED(CFA3K)
SNID: 2005ms 
IAUC: 2005ms
RA:   132.309750 deg
DECL:    36.129970 deg 
RA_HOST:   132.318290
DEC_HOST:    36.119810
MWEBV: 0.034 (SFD98)
REDSHIFT_HELIO: 0.025215 +- 1.1e-05 
REDSHIFT_CMB: 0.0259501 +- 1.1e-05 
VPEC: -217.4852 +- 250.0
HOSTGAL_LOGMASS: 10.6790 +- 0.102
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 53744.191
FILTERS:  abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVri -> fghij       
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:   91
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  53736.45123     f    NULL    28575.905        719.533    16.360     0.027
OBS:  53736.45486     f    NULL    27264.655        686.516    16.411     0.027
OBS:  53737.40087     f    NULL    31593.664        885.138    16.251     0.030
OBS:  53739.48419     f    NULL    36948.771        895.487    16.081     0.026
OBS:  53739.48782     f    NULL    36441.815        848.839    16.096     0.025
OBS:  53743.49367     f    NULL    40290.254       1014.497    15.987     0.027
OBS:  53743.49732     f    NULL    38976.245        981.410    16.023     0.027
OBS:  53744.45293     f    NULL    37153.523        900.450    16.075     0.026
OBS:  53744.45656     f    NULL    38194.427        889.662    16.045     0.025
OBS:  53745.37259     f    NULL    35059.038        915.895    16.138     0.028
OBS:  53745.37623     f    NULL    35875.668        903.339    16.113     0.027
OBS:  53764.34896     f    NULL     5262.596        355.641    18.197     0.071
OBS:  53764.35259     f    NULL     4733.692        361.963    18.312     0.080
OBS:  53765.31286     f    NULL     4979.664        370.906    18.257     0.078
OBS:  53765.31651     f    NULL     4690.293        377.280    18.322     0.084
OBS:  53766.31567     f    NULL     4269.726        334.960    18.424     0.082
OBS:  53766.31931     f    NULL     4353.114        332.862    18.403     0.080
OBS:  53800.22213     f    NULL     2644.844       1016.159    18.944     0.353
OBS:  53800.22577     f    NULL     2657.052       1034.424    18.939     0.357
OBS:  53736.44818     g    NULL    22019.122        285.763    16.643     0.014
OBS:  53739.48113     g    NULL    29241.524        324.982    16.335     0.012
OBS:  53743.49064     g    NULL    30507.035        509.980    16.289     0.018
OBS:  53755.43226     g    NULL    18197.009        355.387    16.850     0.021
OBS:  53764.34590     g    NULL     7571.815        140.771    17.802     0.020
OBS:  53766.31262     g    NULL     6075.751        175.975    18.041     0.031
OBS:  53779.29876     g    NULL     2943.066        569.302    18.828     0.192
OBS:  53788.27780     g    NULL     1734.603        162.103    19.402     0.097
OBS:  53797.23697     g    NULL     1564.588        141.494    19.514     0.094
OBS:  53803.25800     g    NULL     1690.441        383.517    19.430     0.222
OBS:  53817.22016     g    NULL     1351.450        207.384    19.673     0.155
OBS:  53818.20601     g    NULL     1271.745        236.250    19.739     0.185
OBS:  53827.22906     g    NULL      949.730        188.946    20.056     0.197
OBS:  53837.12818     g    NULL      980.844        215.896    20.021     0.216
OBS:  53736.44252     h    NULL    21028.098        272.902    16.693     0.014
OBS:  53737.39218     h    NULL    23593.914        284.198    16.568     0.013
OBS:  53743.48500     h    NULL    31593.664        469.029    16.251     0.016
OBS:  53745.36387     h    NULL    30846.081        544.546    16.277     0.019
OBS:  53755.42659     h    NULL    23680.998        351.560    16.564     0.016
OBS:  53764.34024     h    NULL    14615.040        203.315    17.088     0.015
OBS:  53766.30694     h    NULL    12823.306        202.362    17.230     0.017
OBS:  53777.26965     h    NULL     7177.943        728.843    17.860     0.105
OBS:  53781.38281     h    NULL     5415.019        244.767    18.166     0.048
OBS:  53786.28341     h    NULL     4768.700        115.574    18.304     0.026
OBS:  53787.25078     h    NULL     4421.809        178.637    18.386     0.043
OBS:  53797.22722     h    NULL     3432.417        105.927    18.661     0.033
OBS:  53807.23516     h    NULL     2587.021        281.116    18.968     0.112
OBS:  53808.22454     h    NULL     2644.844        137.431    18.944     0.055
OBS:  53818.20034     h    NULL     1982.440        209.356    19.257     0.109
OBS:  53827.22605     h    NULL     1741.005         85.412    19.398     0.052
OBS:  53828.20119     h    NULL     1788.134        434.153    19.369     0.236
OBS:  53736.44492     i    NULL    20361.042        245.257    16.728     0.013
OBS:  53737.39456     i    NULL    23099.363        299.783    16.591     0.014
OBS:  53739.47786     i    NULL    26375.457        317.703    16.447     0.013
OBS:  53743.48737     i    NULL    29895.099        415.882    16.311     0.015
OBS:  53744.44662     i    NULL    30394.850        422.834    16.293     0.015
OBS:  53745.36626     i    NULL    29950.219        472.638    16.309     0.017
OBS:  53755.42897     i    NULL    20304.860        301.439    16.731     0.016
OBS:  53755.48348     i    NULL    20063.191        297.851    16.744     0.016
OBS:  53779.28569     i    NULL     9061.498        331.408    17.607     0.039
OBS:  53781.38518     i    NULL     7834.296        234.337    17.765     0.032
OBS:  53788.27454     i    NULL     5823.713        119.208    18.087     0.022
OBS:  53797.22388     i    NULL     4401.493         98.377    18.391     0.024
OBS:  53800.21649     i    NULL     4591.980        220.844    18.345     0.051
OBS:  53807.23044     i    NULL     3637.475        196.065    18.598     0.057
OBS:  53808.21980     i    NULL     3650.901        200.334    18.594     0.058
OBS:  53817.21240     i    NULL     2387.811        110.232    19.055     0.049
OBS:  53818.20272     i    NULL     2403.256        256.244    19.048     0.110
OBS:  53827.22131     i    NULL     1728.224         88.128    19.406     0.054
OBS:  53837.12043     i    NULL     1310.992        129.132    19.706     0.102
OBS:  53736.44650     j    NULL    16398.344        258.779    16.963     0.017
OBS:  53739.47944     j    NULL    19284.128        250.269    16.787     0.014
OBS:  53743.48897     j    NULL    17684.794        279.080    16.881     0.017
OBS:  53744.44823     j    NULL    17171.174        319.236    16.913     0.020
OBS:  53745.36787     j    NULL    16734.009        264.076    16.941     0.017
OBS:  53755.43057     j    NULL     9826.526        238.155    17.519     0.026
OBS:  53755.48508     j    NULL     8904.304        317.162    17.626     0.038
OBS:  53764.34424     j    NULL     9488.553        212.078    17.557     0.024
OBS:  53765.30813     j    NULL     9576.350        205.027    17.547     0.023
OBS:  53766.31094     j    NULL    10046.158        196.201    17.495     0.021
OBS:  53779.28729     j    NULL     8287.051        334.790    17.704     0.043
OBS:  53781.38678     j    NULL     6735.968        227.090    17.929     0.036
OBS:  53788.27612     j    NULL     4924.929        105.442    18.269     0.023
OBS:  53797.22551     j    NULL     3473.762        107.203    18.648     0.033
OBS:  53800.21810     j    NULL     2973.035        117.261    18.817     0.042
OBS:  53803.25632     j    NULL     2299.323        529.462    19.096     0.225
OBS:  53807.23273     j    NULL     2568.029        171.021    18.976     0.070
OBS:  53808.22211     j    NULL     2110.571        184.520    19.189     0.091
OBS:  53817.21471     j    NULL     1664.179        123.955    19.447     0.078
OBS:  53818.20433     j    NULL     1741.005        270.865    19.398     0.157
OBS:  53827.22362     j    NULL     1294.196         74.793    19.720     0.061
OBS:  53829.20697     j    NULL     1269.404        190.754    19.741     0.152
END:
