SURVEY:  PS1_LOWZ_COMBINED(CFA3K)
SNID: 2005na 
IAUC: 2005na
RA:   105.402580 deg
DECL:    14.133250 deg 
RA_HOST:   105.403170
DEC_HOST:    14.135250
MWEBV: 0.077 (SFD98)
REDSHIFT_HELIO: 0.026322 +- 8.3e-05 
REDSHIFT_CMB: 0.0268488 +- 8.3e-05 
VPEC: -25.6707 +- 250.0
HOSTGAL_LOGMASS: 11.5500000 +- 3.0
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 53741.465
FILTERS:  abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVri -> fghij       
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:   92
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  53745.28500     f    NULL    32900.311        828.420    16.207     0.027
OBS:  53745.28800     f    NULL    32210.688        871.940    16.230     0.029
OBS:  53746.45900     f    NULL    25258.061        996.213    16.494     0.042
OBS:  53746.46200     f    NULL    28707.806        967.828    16.355     0.036
OBS:  53757.37100     f    NULL     7138.386        454.380    17.866     0.067
OBS:  53757.37500     f    NULL     7557.880        458.900    17.804     0.064
OBS:  53764.33000     f    NULL     1953.440        312.248    19.273     0.161
OBS:  53764.33300     f    NULL     2468.312        223.223    19.019     0.094
OBS:  53765.25600     f    NULL     2169.702        305.440    19.159     0.143
OBS:  53765.25900     f    NULL     1717.117        318.987    19.413     0.185
OBS:  53766.29300     f    NULL     1776.642        322.298    19.376     0.181
OBS:  53766.29700     f    NULL     1428.236        271.572    19.613     0.189
OBS:  53768.28400     f    NULL     1362.699        323.077    19.664     0.231
OBS:  53745.28200     g    NULL    26037.543        410.893    16.461     0.017
OBS:  53752.40400     g    NULL    15191.477        642.864    17.046     0.045
OBS:  53757.36800     g    NULL     9341.143        173.665    17.574     0.020
OBS:  53764.32700     g    NULL     4361.140        118.056    18.401     0.029
OBS:  53765.25300     g    NULL     3977.407        149.266    18.501     0.040
OBS:  53766.29000     g    NULL     3637.475        105.354    18.598     0.031
OBS:  53768.28100     g    NULL     3003.309        124.210    18.806     0.044
OBS:  53786.26400     g    NULL     1272.917        134.426    19.738     0.109
OBS:  53788.25700     g    NULL     1395.725        113.659    19.638     0.085
OBS:  53794.20200     g    NULL     1248.533        111.658    19.759     0.093
OBS:  53797.21900     g    NULL     1353.942        122.444    19.671     0.094
OBS:  53817.19600     g    NULL     1106.624        103.417    19.890     0.097
OBS:  53827.16700     g    NULL      967.386        123.049    20.036     0.130
OBS:  53745.27600     h    NULL    29430.660        381.950    16.328     0.014
OBS:  53746.45000     h    NULL    27491.599        588.588    16.402     0.023
OBS:  53752.37700     h    NULL    21242.225        394.922    16.682     0.020
OBS:  53757.36200     h    NULL    15689.171        203.614    17.011     0.014
OBS:  53764.32100     h    NULL    10814.340        180.781    17.415     0.018
OBS:  53765.24700     h    NULL    10289.636        143.143    17.469     0.015
OBS:  53766.28500     h    NULL     9514.807        185.824    17.554     0.021
OBS:  53768.27500     h    NULL     8309.980        162.294    17.701     0.021
OBS:  53777.25300     h    NULL     5119.175        300.834    18.227     0.062
OBS:  53779.26000     h    NULL     4685.975        216.326    18.323     0.049
OBS:  53781.32600     h    NULL     4483.323        250.369    18.371     0.059
OBS:  53786.25500     h    NULL     3959.132        122.182    18.506     0.033
OBS:  53787.22900     h    NULL     3767.038        144.972    18.560     0.041
OBS:  53788.25100     h    NULL     3604.126        138.703    18.608     0.041
OBS:  53794.19600     h    NULL     3493.011        121.087    18.642     0.037
OBS:  53797.20900     h    NULL     3229.981        149.111    18.727     0.049
OBS:  53800.20100     h    NULL     3098.846        185.130    18.772     0.063
OBS:  53807.18200     h    NULL     2889.349        232.415    18.848     0.084
OBS:  53817.18500     h    NULL     1687.330        132.371    19.432     0.082
OBS:  53818.18100     h    NULL     2049.274        216.414    19.221     0.109
OBS:  53827.16400     h    NULL     1345.241        139.327    19.678     0.107
OBS:  53745.27800     i    NULL    28681.377        345.479    16.356     0.013
OBS:  53746.45200     i    NULL    25822.602        723.454    16.470     0.030
OBS:  53752.38000     i    NULL    18793.168        402.357    16.815     0.023
OBS:  53757.36500     i    NULL    15402.811        228.665    17.031     0.016
OBS:  53764.32400     i    NULL    14138.391        209.894    17.124     0.016
OBS:  53765.24900     i    NULL    13829.294        205.305    17.148     0.016
OBS:  53766.28700     i    NULL    13231.223        196.426    17.196     0.016
OBS:  53768.27800     i    NULL    12167.462        169.266    17.287     0.015
OBS:  53779.25700     i    NULL     6963.058        175.328    17.893     0.027
OBS:  53781.32800     i    NULL     6171.632        208.065    18.024     0.036
OBS:  53786.25100     i    NULL     5081.594        147.181    18.235     0.031
OBS:  53787.23200     i    NULL     5607.897        248.089    18.128     0.047
OBS:  53788.25300     i    NULL     4879.777        145.963    18.279     0.032
OBS:  53794.19800     i    NULL     4149.540        120.186    18.455     0.031
OBS:  53797.20400     i    NULL     4036.454        128.402    18.485     0.034
OBS:  53800.19600     i    NULL     3627.438        291.785    18.601     0.084
OBS:  53807.17600     i    NULL     3141.955        138.998    18.757     0.047
OBS:  53808.16800     i    NULL     3028.308        166.171    18.797     0.058
OBS:  53817.17000     i    NULL     2118.361        136.916    19.185     0.068
OBS:  53817.18000     i    NULL     2139.932        111.195    19.174     0.055
OBS:  53818.18400     i    NULL     2098.940        260.452    19.195     0.127
OBS:  53827.15900     i    NULL     1661.116        125.371    19.449     0.079
OBS:  53834.15100     i    NULL     1499.685        239.717    19.560     0.161
OBS:  53745.28000     j    NULL    15863.536        280.050    16.999     0.019
OBS:  53746.45400     j    NULL    15878.154        550.425    16.998     0.037
OBS:  53752.38100     j    NULL    10394.414        390.086    17.458     0.040
OBS:  53757.36600     j    NULL     9003.264        201.231    17.614     0.024
OBS:  53764.32500     j    NULL    11107.083        290.165    17.386     0.028
OBS:  53765.25100     j    NULL    11209.855        218.928    17.376     0.021
OBS:  53766.28900     j    NULL    10874.267        232.815    17.409     0.023
OBS:  53768.27900     j    NULL    11148.078        270.184    17.382     0.026
OBS:  53779.25900     j    NULL     5680.676        267.722    18.114     0.050
OBS:  53781.33000     j    NULL     5420.009        187.888    18.165     0.037
OBS:  53786.25300     j    NULL     4345.102        171.377    18.405     0.042
OBS:  53787.23300     j    NULL     3640.827        527.867    18.597     0.147
OBS:  53788.25500     j    NULL     3883.292        228.206    18.527     0.062
OBS:  53794.20000     j    NULL     2797.693        189.065    18.883     0.071
OBS:  53797.20700     j    NULL     2644.844        152.849    18.944     0.061
OBS:  53800.19900     j    NULL     3014.394        224.524    18.802     0.078
OBS:  53807.17900     j    NULL     1928.413        209.549    19.287     0.112
OBS:  53808.17100     j    NULL     1893.215        225.146    19.307     0.122
OBS:  53817.17300     j    NULL     1201.158        204.890    19.801     0.171
OBS:  53817.18300     j    NULL     1239.367        180.998    19.767     0.148
OBS:  53818.18600     j    NULL     1026.124        337.831    19.972     0.309
OBS:  53827.16100     j    NULL      767.715        162.107    20.287     0.208
END:
