SURVEY:  PS1_LOWZ_COMBINED(CFA3K)
SNID: 2006X 
IAUC: 2006X
RA:   185.724960 deg
DECL:    15.809190 deg 
RA_HOST:   185.728460
DEC_HOST:    15.821810
MWEBV: 0.026 (SFD98)
REDSHIFT_HELIO: 0.00525 +- 5e-06 
REDSHIFT_CMB: 0.0063363 +- 5e-06 
VPEC: -90.7283 +- 250.0
HOSTGAL_LOGMASS: 10.7910 +- 0.091
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 53786.547
FILTERS:  abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVri -> fghij       
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:  224
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  53776.43556     f    NULL     9479.818        483.408    17.558     0.054
OBS:  53786.40667     f    NULL    25421.431       1002.656    16.487     0.042
OBS:  53786.41031     f    NULL    26717.757        875.311    16.433     0.035
OBS:  53786.43829     f    NULL    26472.807        867.286    16.443     0.035
OBS:  53786.44192     f    NULL    26841.081        904.895    16.428     0.036
OBS:  53787.41344     f    NULL    25585.859        789.599    16.480     0.033
OBS:  53788.41740     f    NULL    24099.054        789.519    16.545     0.035
OBS:  53788.42103     f    NULL    24210.290        793.163    16.540     0.035
OBS:  53788.43253     f    NULL    25258.061        827.490    16.494     0.035
OBS:  53788.43617     f    NULL    24547.089        827.557    16.525     0.036
OBS:  53794.36134     f    NULL    16307.974        580.873    16.969     0.038
OBS:  53794.36497     f    NULL    17108.030        576.764    16.917     0.036
OBS:  53796.40752     f    NULL    12823.306        554.966    17.230     0.046
OBS:  53796.44181     f    NULL    13280.059        549.235    17.192     0.044
OBS:  53796.44544     f    NULL    13564.382        560.994    17.169     0.044
OBS:  53797.41572     f    NULL    11814.083        568.180    17.319     0.051
OBS:  53798.37551     f    NULL    11397.248        460.439    17.358     0.043
OBS:  53798.37916     f    NULL    11035.703        445.833    17.393     0.043
OBS:  53799.39568     f    NULL     9479.818        428.501    17.558     0.048
OBS:  53799.39932     f    NULL     9935.735        420.455    17.507     0.045
OBS:  53799.43053     f    NULL     8970.156        422.750    17.618     0.050
