SURVEY:  PS1_LOWZ_COMBINED(CFA3K)
SNID: 2006ar 
IAUC: 2006ar
RA:   159.378120 deg
DECL:    65.016140 deg 
RA_HOST:   159.383290
DEC_HOST:    65.018280
MWEBV: 0.014 (SFD98)
REDSHIFT_HELIO: 0.022491 +- 1.3e-05 
REDSHIFT_CMB: 0.022875 +- 1.3e-05 
VPEC: -136.7995 +- 250.0
HOSTGAL_LOGMASS: 9.847 +- 0.151500
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 53813.684
FILTERS:  abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVri -> fghij       
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:   28
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  53803.33519     g    NULL     8394.600        211.374    17.690     0.027
OBS:  53807.29184     g    NULL    16904.409        298.425    16.930     0.019
OBS:  53810.24993     g    NULL    22908.677        447.406    16.600     0.021
OBS:  53811.27144     g    NULL    25398.028        353.322    16.488     0.015
OBS:  53815.29126     g    NULL    22615.177        399.241    16.614     0.019
OBS:  53817.29347     g    NULL    22573.557        335.119    16.616     0.016
OBS:  53803.32948     h    NULL     9664.959        225.126    17.537     0.025
OBS:  53805.21534     h    NULL    14242.952        630.097    17.116     0.047
OBS:  53807.28139     h    NULL    18655.204        294.394    16.823     0.017
OBS:  53810.24213     h    NULL    25234.808        327.497    16.495     0.014
OBS:  53811.26365     h    NULL    26644.035        345.785    16.436     0.014
OBS:  53812.37093     h    NULL    27314.924        636.246    16.409     0.025
OBS:  53815.28082     h    NULL    28628.593        371.541    16.358     0.014
OBS:  53817.28301     h    NULL    27874.045        335.754    16.387     0.013
OBS:  53803.33188     i    NULL    10804.384        190.737    17.416     0.019
OBS:  53808.26507     i    NULL    22972.063        341.036    16.597     0.016
OBS:  53810.24522     i    NULL    25656.653        356.920    16.477     0.015
OBS:  53811.26674     i    NULL    27289.778        328.717    16.410     0.013
OBS:  53812.36551     i    NULL    28470.822        502.614    16.364     0.019
OBS:  53815.27538     i    NULL    29484.923        355.158    16.326     0.013
OBS:  53817.27757     i    NULL    25421.431        424.965    16.487     0.018
OBS:  53805.21291     j    NULL    12223.624        826.060    17.282     0.071
OBS:  53807.27896     j    NULL    15776.113        367.473    17.005     0.025
OBS:  53808.26808     j    NULL    16458.869        336.904    16.959     0.022
OBS:  53810.24755     j    NULL    18080.066        353.103    16.857     0.021
OBS:  53811.26906     j    NULL    17864.876        315.380    16.870     0.019
OBS:  53812.36852     j    NULL    17298.164       1443.149    16.905     0.087
OBS:  53817.28058     j    NULL    14615.040        326.660    17.088     0.024
END:
