SURVEY:  PS1_LOWZ_COMBINED(CFA3K)
SNID: 2006bb 
IAUC: 2006bb
RA:   128.379540 deg
DECL:    41.517810 deg 
RA_HOST:   128.378210
DEC_HOST:    41.525440
MWEBV: 0.034 (SFD98)
REDSHIFT_HELIO: 0.024714 +- 8e-06 
REDSHIFT_CMB: 0.0253377 +- 8e-06 
VPEC: -207.6759 +- 250.0
HOSTGAL_LOGMASS: 10.9450 +- 0.250
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 53813.914
FILTERS:  abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVri -> fghij       
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:   42
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  53829.16800     f    NULL     2427.728        372.543    19.037     0.155
OBS:  53834.18300     f    NULL     2686.581        884.502    18.927     0.309
OBS:  53837.15300     f    NULL     3076.097        413.699    18.780     0.137
OBS:  53837.15600     f    NULL     2530.463        374.897    18.992     0.150
OBS:  53840.17200     f    NULL     2447.936        622.500    19.028     0.246
OBS:  53843.14300     f    NULL     1761.976        302.453    19.385     0.172
OBS:  53827.18800     g    NULL     8024.168        141.656    17.739     0.019
OBS:  53828.16700     g    NULL     6748.387        125.462    17.927     0.020
OBS:  53834.19100     g    NULL     3182.731        168.466    18.743     0.056
OBS:  53840.17900     g    NULL     1798.043        295.106    19.363     0.165
OBS:  53843.15000     g    NULL     1481.836        100.141    19.573     0.071
OBS:  53827.17800     h    NULL    15024.499        223.049    17.058     0.016
OBS:  53828.15700     h    NULL    14112.371        235.914    17.126     0.018
OBS:  53834.18000     h    NULL     8637.737        233.823    17.659     0.029
OBS:  53837.15000     h    NULL     7224.370        154.672    17.853     0.023
OBS:  53839.15500     h    NULL     6092.563        193.808    18.038     0.034
OBS:  53840.16900     h    NULL     5706.897        219.627    18.109     0.041
OBS:  53843.14000     h    NULL     4724.980         96.718    18.314     0.022
OBS:  53862.14400     h    NULL     2589.405        109.577    18.967     0.045
OBS:  53865.21000     h    NULL     2463.769        125.636    19.021     0.054
OBS:  53867.14300     h    NULL     1949.845        105.099    19.275     0.057
OBS:  53827.17300     i    NULL    14736.692        232.557    17.079     0.017
OBS:  53828.15200     i    NULL    14521.116        242.747    17.095     0.018
OBS:  53834.17600     i    NULL    12000.518        313.506    17.302     0.028
OBS:  53837.14500     i    NULL    10844.262        191.441    17.412     0.019
OBS:  53839.15800     i    NULL     7641.876        272.196    17.792     0.038
OBS:  53840.16400     i    NULL     8264.184        239.360    17.707     0.031
OBS:  53843.13500     i    NULL     6582.638        153.329    17.954     0.025
OBS:  53862.13900     i    NULL     3028.308        131.059    18.797     0.046
OBS:  53865.21200     i    NULL     2854.960        195.744    18.861     0.072
OBS:  53867.13800     i    NULL     2934.945         79.449    18.831     0.029
OBS:  53827.17500     j    NULL     8248.975        184.372    17.709     0.024
OBS:  53828.15400     j    NULL     8038.962        202.419    17.737     0.027
OBS:  53829.15900     j    NULL     7345.139        768.207    17.835     0.108
OBS:  53834.17800     j    NULL     9745.407        365.730    17.528     0.040
OBS:  53837.14700     j    NULL     9754.387        190.503    17.527     0.021
OBS:  53839.15900     j    NULL     7454.182        336.940    17.819     0.048
OBS:  53840.16600     j    NULL     7297.935        204.461    17.842     0.030
OBS:  53843.13700     j    NULL     5566.728        134.915    18.136     0.026
OBS:  53862.14100     j    NULL     2342.071        137.634    19.076     0.062
OBS:  53865.21400     j    NULL     1957.041        128.410    19.271     0.069
OBS:  53867.14000     j    NULL     1923.092        116.767    19.290     0.064
END:
