SURVEY:  PS1_LOWZ_COMBINED(CFA3K)
SNID: 2006bu 
IAUC: 2006bu
RA:   208.199210 deg
DECL:     5.313720 deg 
RA_HOST:   208.196000
DEC_HOST:     5.313830
MWEBV: 0.026 (SFD98)
REDSHIFT_HELIO: 0.084 +- 0.006 
REDSHIFT_CMB: 0.0849921 +- 0.006 
VPEC: 59.202326 +- 250.0
HOSTGAL_LOGMASS: 11.0400 +- 0.045
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 53850.527
FILTERS:  abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVri -> fghij       
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:   19
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  53858.36000     g    NULL     4297.343        128.541    18.417     0.032
OBS:  53859.25100     g    NULL     4130.475        135.320    18.460     0.035
OBS:  53861.35500     g    NULL     3739.383        122.507    18.568     0.035
OBS:  53863.20100     g    NULL     3141.955        280.990    18.757     0.093
OBS:  53858.35700     h    NULL     4638.740        121.184    18.334     0.028
OBS:  53859.24800     h    NULL     4625.940        133.984    18.337     0.031
OBS:  53861.34700     h    NULL     4103.931        165.795    18.467     0.043
OBS:  53863.19800     h    NULL     3657.632        243.584    18.592     0.070
OBS:  53882.36600     h    NULL     1862.087        144.232    19.325     0.081
OBS:  53858.35200     i    NULL     4337.106        166.911    18.407     0.041
OBS:  53859.24300     i    NULL     4434.044        128.426    18.383     0.031
OBS:  53861.35000     i    NULL     4153.364        151.902    18.454     0.039
OBS:  53863.19300     i    NULL     3760.105        173.584    18.562     0.049
OBS:  53882.36300     i    NULL     2161.723        116.520    19.163     0.057
OBS:  53858.35400     j    NULL     2493.446        198.089    19.008     0.083
OBS:  53859.24600     j    NULL     2721.448        123.013    18.913     0.048
OBS:  53861.35300     j    NULL     2684.108        126.498    18.928     0.050
OBS:  53863.19600     j    NULL     2486.566        172.934    19.011     0.073
OBS:  53882.36000     j    NULL     2085.451        128.663    19.202     0.065
END:
