SURVEY:  PS1_LOWZ_COMBINED(CFA3K)
SNID: 2006ef 
IAUC: 2006ef
RA:    31.081290 deg
DECL:    -8.728390 deg 
RA_HOST:    31.079040
DEC_HOST:    -8.735310
MWEBV: 0.023 (SFD98)
REDSHIFT_HELIO: 0.017812 +- 5e-06 
REDSHIFT_CMB: 0.0169386 +- 5e-06 
VPEC: -118.1097 +- 250.0
HOSTGAL_LOGMASS: 10.5640 +- 0.102
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 53969.297
FILTERS:  abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVri -> fghij       
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:   65
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  53977.45737     g    NULL    38547.836       1853.898    16.035     0.051
OBS:  53978.48308     g    NULL    34514.374       1493.709    16.155     0.046
OBS:  53980.45644     g    NULL    28973.436       1281.762    16.345     0.047
OBS:  53990.45784     g    NULL     9453.660        400.055    17.561     0.045
OBS:  53992.39491     g    NULL     7906.786        643.881    17.755     0.085
OBS:  53995.43380     g    NULL     5915.616        758.596    18.070     0.131
OBS:  54007.35308     g    NULL     3116.018        664.924    18.766     0.210
OBS:  54008.39630     g    NULL     3441.914        891.199    18.658     0.250
OBS:  54009.36462     g    NULL     3590.873        892.450    18.612     0.241
OBS:  54011.30437     g    NULL     2820.980        779.828    18.874     0.265
OBS:  54012.34691     g    NULL     2502.649        593.344    19.004     0.231
OBS:  54018.39278     g    NULL     1917.785        514.419    19.293     0.258
OBS:  54018.40524     g    NULL     2102.810        571.428    19.193     0.261
OBS:  54020.38266     g    NULL     2232.544        664.800    19.128     0.283
OBS:  54041.30994     g    NULL     1710.803        616.216    19.417     0.334
OBS:  53977.45435     h    NULL    48172.590       1395.250    15.793     0.031
OBS:  53978.48007     h    NULL    45498.806       1447.346    15.855     0.034
OBS:  53980.45343     h    NULL    40850.747       1494.045    15.972     0.039
OBS:  53990.45481     h    NULL    23507.151        972.206    16.572     0.044
OBS:  53992.39189     h    NULL    20137.242        755.719    16.740     0.040
OBS:  53995.43079     h    NULL    15747.079        833.512    17.007     0.056
OBS:  54007.35007     h    NULL     7870.458        688.088    17.760     0.091
OBS:  54008.39330     h    NULL     8542.795        789.748    17.671     0.096
OBS:  54009.36161     h    NULL     8279.422        773.734    17.705     0.097
OBS:  54011.30135     h    NULL     7495.489        883.661    17.813     0.121
OBS:  54012.34389     h    NULL     6823.387        797.403    17.915     0.120
OBS:  54018.38978     h    NULL     5910.170        838.217    18.071     0.144
OBS:  54020.37964     h    NULL     6251.727       1181.887    18.010     0.188
OBS:  54021.35433     h    NULL     6081.350        856.102    18.040     0.143
OBS:  54041.30693     h    NULL     3435.579       1072.588    18.660     0.295
OBS:  54046.26243     h    NULL     4596.211       1695.952    18.344     0.341
OBS:  53977.45204     i    NULL    42657.952       1316.456    15.925     0.033
OBS:  53978.47774     i    NULL    39156.151       1320.073    16.018     0.036
OBS:  53980.45111     i    NULL    35026.763       1080.952    16.139     0.033
OBS:  53990.45250     i    NULL    28654.973       1185.108    16.357     0.044
OBS:  53992.38957     i    NULL    25870.213       1344.265    16.468     0.055
OBS:  53995.42846     i    NULL    20777.821       1322.572    16.706     0.067
OBS:  54007.34776     i    NULL    10529.312       1615.757    17.444     0.155
OBS:  54008.39097     i    NULL    10148.457       1503.531    17.484     0.150
OBS:  54009.35928     i    NULL     9772.372       1489.225    17.525     0.154
OBS:  54011.29904     i    NULL     9401.562       1293.911    17.567     0.140
OBS:  54012.34159     i    NULL     9061.498       1294.692    17.607     0.145
OBS:  54018.38746     i    NULL     7543.971       1101.726    17.806     0.148
OBS:  54018.39993     i    NULL     7935.970       1158.974    17.751     0.148
OBS:  54020.37734     i    NULL     6723.571       1074.730    17.931     0.161
OBS:  54021.35200     i    NULL     7516.229       1034.438    17.810     0.140
OBS:  54041.30463     i    NULL     3528.580        925.930    18.631     0.253
OBS:  54046.25941     i    NULL     3194.479       1067.389    18.739     0.313
OBS:  53977.44972     j    NULL    21008.740        949.625    16.694     0.048
OBS:  53978.47543     j    NULL    19266.375        852.329    16.788     0.047
OBS:  53980.44880     j    NULL    17766.423        768.893    16.876     0.046
OBS:  53990.45021     j    NULL    22929.786       1014.396    16.599     0.047
OBS:  53992.38726     j    NULL    21577.444        996.113    16.665     0.049
OBS:  53995.42615     j    NULL    19195.525        923.179    16.792     0.051
OBS:  54007.34544     j    NULL     8317.638        980.586    17.700     0.121
OBS:  54008.38866     j    NULL     8226.214        961.342    17.712     0.120
OBS:  54009.35697     j    NULL     7406.278       1319.417    17.826     0.178
OBS:  54011.29674     j    NULL     6873.849       1232.028    17.907     0.179
OBS:  54012.33927     j    NULL     6661.929       1179.586    17.941     0.177
OBS:  54018.38515     j    NULL     5233.594        938.038    18.203     0.179
OBS:  54018.39762     j    NULL     5380.220        958.478    18.173     0.178
OBS:  54020.37502     j    NULL     5257.751       1005.503    18.198     0.190
OBS:  54021.34970     j    NULL     5607.897        878.448    18.128     0.158
OBS:  54041.30233     j    NULL     2421.029        720.926    19.040     0.283
OBS:  54046.25639     j    NULL     2841.842        900.987    18.866     0.299
END:
