SURVEY:  PS1_LOWZ_COMBINED(CFA3K)
SNID: 2006em 
IAUC: 2006em
RA:    36.434580 deg
DECL:    41.942170 deg 
RA_HOST:    36.426670
DEC_HOST:    41.956280
MWEBV: 0.059 (SFD98)
REDSHIFT_HELIO: 0.019227 +- 0.000147 
REDSHIFT_CMB: 0.0185114 +- 0.000147 
VPEC: -411.4148 +- 250.0
HOSTGAL_LOGMASS: 11.2680 +- 2.918
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 53967.312
FILTERS:  abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVri -> fghij       
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:   60
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  53984.48300     g    NULL     1148.154         95.788    19.850     0.087
OBS:  53992.45800     g    NULL      826.418        133.866    20.207     0.163
OBS:  53992.47800     g    NULL      784.874        133.036    20.263     0.170
OBS:  54000.48400     g    NULL      403.274         87.860    20.986     0.214
OBS:  53984.48000     h    NULL     5855.986        152.984    18.081     0.028
OBS:  53988.45100     h    NULL     3661.002        151.411    18.591     0.044
OBS:  53988.48200     h    NULL     3962.780        137.372    18.505     0.037
OBS:  53988.51100     h    NULL     3966.432        221.504    18.504     0.059
OBS:  53990.47500     h    NULL     3323.533        313.942    18.696     0.098
OBS:  53992.45500     h    NULL     2691.535        145.078    18.925     0.057
OBS:  53992.47500     h    NULL     2696.497        121.886    18.923     0.048
OBS:  53995.46700     h    NULL     2130.100         69.785    19.179     0.035
OBS:  53995.49500     h    NULL     2124.222         93.974    19.182     0.047
OBS:  54000.48100     h    NULL     1742.609         92.238    19.397     0.056
OBS:  54002.51000     h    NULL     1659.587        151.753    19.450     0.095
OBS:  54007.34000     h    NULL     1186.861        142.368    19.814     0.123
OBS:  54008.41800     h    NULL     1348.963         88.511    19.675     0.069
OBS:  54009.37700     h    NULL     1026.124         62.304    19.972     0.064
OBS:  54011.26800     h    NULL     1256.609        225.227    19.752     0.179
OBS:  54012.35800     h    NULL     1148.154        130.639    19.850     0.117
OBS:  54021.36900     h    NULL      781.988        105.986    20.267     0.138
OBS:  53984.47800     i    NULL     9003.264        150.506    17.614     0.018
OBS:  53987.44700     i    NULL     6468.447        367.521    17.973     0.060
OBS:  53988.44900     i    NULL     6297.961        182.411    18.002     0.031
OBS:  53988.48000     i    NULL     6309.573        236.788    18.000     0.040
OBS:  53988.50900     i    NULL     6637.431        293.635    17.945     0.047
OBS:  53990.47300     i    NULL     4906.819        331.598    18.273     0.071
OBS:  53992.45300     i    NULL     4429.962        111.545    18.384     0.027
OBS:  53992.47300     i    NULL     4566.674        153.957    18.351     0.036
OBS:  53995.46400     i    NULL     3467.369         93.861    18.650     0.029
OBS:  53995.49200     i    NULL     3422.946        102.386    18.664     0.032
OBS:  54000.47800     i    NULL     2625.427         88.511    18.952     0.036
OBS:  54002.50700     i    NULL     2352.881         99.568    19.071     0.045
OBS:  54002.51800     i    NULL     2726.465        271.316    18.911     0.103
OBS:  54007.33700     i    NULL     1695.118        126.259    19.427     0.078
OBS:  54008.41500     i    NULL     1788.134         73.953    19.369     0.044
OBS:  54009.37400     i    NULL     1590.743         62.741    19.496     0.042
OBS:  54011.26500     i    NULL     1690.441        187.146    19.430     0.114
OBS:  54012.35500     i    NULL     1507.995        130.329    19.554     0.090
OBS:  54021.36600     i    NULL     1008.324         84.122    19.991     0.087
OBS:  53984.47600     j    NULL     9691.701        207.497    17.534     0.023
OBS:  53987.44500     j    NULL     8009.400        385.200    17.741     0.051
OBS:  53988.44700     j    NULL     7481.695        202.529    17.815     0.029
OBS:  53988.47700     j    NULL     7516.229        253.395    17.810     0.036
OBS:  53988.50700     j    NULL     7372.249        171.722    17.831     0.025
OBS:  53990.47100     j    NULL     5405.054        280.857    18.168     0.055
OBS:  53992.45100     j    NULL     5067.573        146.775    18.238     0.031
OBS:  53992.47100     j    NULL     5030.371        136.172    18.246     0.029
OBS:  53995.46100     j    NULL     3879.717        123.416    18.528     0.034
OBS:  53995.48900     j    NULL     3861.891        130.196    18.533     0.036
OBS:  54000.47600     j    NULL     2671.776        118.197    18.933     0.047
OBS:  54002.50400     j    NULL     2195.837        135.473    19.146     0.065
OBS:  54002.51500     j    NULL     2584.640        161.989    18.969     0.066
OBS:  54007.33400     j    NULL     1823.056        123.200    19.348     0.071
OBS:  54008.41200     j    NULL     1488.675        103.533    19.568     0.073
OBS:  54009.37100     j    NULL     1469.603         87.796    19.582     0.063
OBS:  54011.26200     j    NULL     1399.587        213.285    19.635     0.154
OBS:  54012.35200     j    NULL     1251.988        115.741    19.756     0.096
OBS:  54021.36300     j    NULL      644.466         85.328    20.477     0.135
OBS:  54041.34800     j    NULL      354.160         82.758    21.127     0.228
END:
