SURVEY:  PS1_LOWZ_COMBINED(CFA3K)
SNID: 2006gr 
IAUC: 2006gr
RA:   338.094460 deg
DECL:    30.828690 deg 
RA_HOST:   338.102080
DEC_HOST:    30.835560
MWEBV: 0.085 (SFD98)
REDSHIFT_HELIO: 0.03467 +- 9e-06 
REDSHIFT_CMB: 0.0335188 +- 9e-06 
VPEC: -220.6368 +- 250.0
HOSTGAL_LOGMASS: 11.0050 +- 0.432
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 54013.363
FILTERS:  abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVri -> fghij       
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:  129
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  54002.33626     f    NULL     6036.706        313.679    18.048     0.055
OBS:  54002.33990     f    NULL     5796.956        284.394    18.092     0.052
OBS:  54006.38589     f    NULL    11313.579        533.193    17.366     0.050
OBS:  54006.38951     f    NULL    11545.161        544.107    17.344     0.050
OBS:  54007.14943     f    NULL    12416.523        645.186    17.265     0.055
OBS:  54009.24498     f    NULL    13514.501        494.269    17.173     0.039
OBS:  54009.24861     f    NULL    13158.307        531.585    17.202     0.043
OBS:  54011.15633     f    NULL    12906.248        884.887    17.223     0.072
OBS:  54012.15852     f    NULL    12882.496        934.067    17.225     0.076
OBS:  54012.16215     f    NULL    12167.462        822.264    17.287     0.071
OBS:  54016.22608     f    NULL     9935.735       1110.137    17.507     0.115
OBS:  54016.24747     f    NULL     9532.350       1341.917    17.552     0.143
OBS:  54018.30608     f    NULL     6668.068        724.580    17.940     0.112
OBS:  54020.29102     f    NULL     5855.986        690.376    18.081     0.121
OBS:  54020.29465     f    NULL     6131.970        729.229    18.031     0.122
OBS:  54021.15140     f    NULL     6516.284        344.915    17.965     0.056
OBS:  54021.17626     f    NULL     6594.775        272.746    17.952     0.044
OBS:  54002.33251     g    NULL     5701.643        138.185    18.110     0.026
OBS:  54006.38210     g    NULL     9799.412        163.815    17.522     0.018
OBS:  54007.14569     g    NULL    10607.181        247.073    17.436     0.025
OBS:  54009.24122     g    NULL    11748.976        207.412    17.325     0.019
OBS:  54011.14896     g    NULL    11967.405        211.269    17.305     0.019
OBS:  54018.29869     g    NULL    10529.312        294.992    17.444     0.030
OBS:  54019.19905     g    NULL     9871.883        192.798    17.514     0.021
OBS:  54019.24219     g    NULL     9926.588        165.941    17.508     0.018
OBS:  54020.28728     g    NULL     9401.562        218.991    17.567     0.025
OBS:  54021.14765     g    NULL     8822.669        155.752    17.636     0.019
OBS:  54021.17252     g    NULL     8733.735        146.000    17.647     0.018
OBS:  54040.22601     g    NULL     2054.944        136.851    19.218     0.070
OBS:  54042.13075     g    NULL     1715.537        352.699    19.414     0.203
OBS:  54054.10743     g    NULL     1053.901         66.052    19.943     0.066
OBS:  54055.22461     g    NULL      918.756         89.568    20.092     0.101
OBS:  54056.22433     g    NULL     1071.519         60.881    19.925     0.060
OBS:  54063.19259     g    NULL      814.329         85.997    20.223     0.109
OBS:  54066.16435     g    NULL      815.831         86.156    20.221     0.109
OBS:  54002.32949     h    NULL     5942.922        116.065    18.065     0.021
OBS:  54006.37909     h    NULL    10519.619        166.008    17.445     0.017
OBS:  54007.14268     h    NULL    11178.924        176.412    17.379     0.017
OBS:  54009.23821     h    NULL    13097.850        169.983    17.207     0.014
OBS:  54011.14594     h    NULL    13753.081        255.689    17.154     0.020
OBS:  54012.15176     h    NULL    13931.568        298.271    17.140     0.023
OBS:  54016.21569     h    NULL    14086.399        288.341    17.128     0.022
OBS:  54016.23709     h    NULL    13614.447        240.345    17.165     0.019
OBS:  54018.29568     h    NULL    13464.803        275.617    17.177     0.022
OBS:  54019.19535     h    NULL    13231.223        184.065    17.196     0.015
OBS:  54019.23847     h    NULL    13170.431        183.219    17.201     0.015
OBS:  54020.28356     h    NULL    12624.088        211.034    17.247     0.018
OBS:  54021.14394     h    NULL    12212.371        147.103    17.283     0.013
OBS:  54021.16881     h    NULL    12302.688        171.147    17.275     0.015
