SURVEY:  PS1_LOWZ_COMBINED(CFA3K)
SNID: 2006mq 
IAUC: 2006mq
RA:   121.551620 deg
DECL:   -27.562610 deg 
RA_HOST:   121.546210
DEC_HOST:   -27.528420
MWEBV: 0.421 (SFD98)
REDSHIFT_HELIO: 0.003199 +- 7e-06 
REDSHIFT_CMB: 0.0040219 +- 7e-06 
VPEC: 150.2546 +- 250.0
HOSTGAL_LOGMASS: 9.88000 +- 2.52
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 54000.867
FILTERS:  abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVri -> fghij       
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:   75
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  54050.49920     f    NULL    54450.265       1628.701    15.660     0.032
OBS:  54051.50500     f    NULL    54651.237       1531.125    15.656     0.030
OBS:  54051.50860     f    NULL    56130.641       1572.573    15.627     0.030
OBS:  54053.48790     f    NULL    51999.600       1358.457    15.710     0.028
OBS:  54053.49150     f    NULL    51003.502       1380.660    15.731     0.029
OBS:  54070.43040     f    NULL    36745.148        994.687    16.087     0.029
OBS:  54070.43400     f    NULL    36008.083        940.688    16.109     0.028
OBS:  54089.38400     f    NULL    32389.183        999.554    16.224     0.033
OBS:  54045.50970     g    NULL    91201.084       1183.605    15.100     0.014
OBS:  54050.49610     g    NULL    79213.645        880.358    15.253     0.012
OBS:  54051.50190     g    NULL    77839.493        865.086    15.272     0.012
OBS:  54053.48480     g    NULL    73383.767        815.566    15.336     0.012
OBS:  54070.42730     g    NULL    56493.697        627.855    15.620     0.012
OBS:  54072.42240     g    NULL    53703.180        696.958    15.675     0.014
OBS:  54089.37730     g    NULL    47687.000        618.880    15.804     0.014
OBS:  54100.32680     g    NULL    39300.674        656.982    16.014     0.018
OBS:  54101.36120     g    NULL    35416.040        658.433    16.127     0.020
