SURVEY:  PS1_LOWZ_COMBINED(CFA3K)
SNID: 2006oa 
IAUC: 2006oa
RA:   320.928932 deg
DECL:    -0.843469 deg 
RA_HOST:   320.929000
DEC_HOST:    -0.843028
MWEBV: 0.040 (SFD98)
REDSHIFT_HELIO: 0.062573 +- 1.1e-05 
REDSHIFT_CMB: 0.0614157 +- 1.1e-05 
VPEC: -33.0806 +- 250.0
HOSTGAL_LOGMASS: 9.15600 +- 0.115
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 54067.141
FILTERS:  abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVri -> fghij       
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:   68
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  54058.11847     f    NULL     4690.293        284.786    18.322     0.064
OBS:  54058.12212     f    NULL     4321.157        364.819    18.411     0.088
OBS:  54059.08163     f    NULL     4979.664        346.322    18.257     0.073
OBS:  54059.08529     f    NULL     5147.543        368.149    18.221     0.075
OBS:  54060.09451     f    NULL     5770.321        686.221    18.097     0.122
OBS:  54062.10490     f    NULL     7726.806        491.835    17.780     0.067
OBS:  54063.09936     f    NULL     6558.432        494.992    17.958     0.079
OBS:  54064.09354     f    NULL     7509.309        382.925    17.811     0.054
OBS:  54064.09720     f    NULL     7021.017        378.443    17.884     0.057
OBS:  54066.10233     f    NULL     6680.362       1074.963    17.938     0.162
OBS:  54069.08473     f    NULL     5128.614        947.138    18.225     0.184
OBS:  54070.10444     f    NULL     4707.605        550.146    18.318     0.120
OBS:  54071.09559     f    NULL     4817.259       1597.790    18.293     0.311
OBS:  54058.11472     g    NULL     4207.266        101.967    18.440     0.026
OBS:  54059.07788     g    NULL     5090.964        132.998    18.233     0.028
OBS:  54060.08712     g    NULL     5133.340        124.411    18.224     0.026
OBS:  54061.10439     g    NULL     5597.576        104.067    18.130     0.020
OBS:  54062.10115     g    NULL     5893.863        137.286    18.074     0.025
OBS:  54064.08980     g    NULL     5743.809        193.641    18.102     0.036
OBS:  54070.09705     g    NULL     5546.257        288.194    18.140     0.055
OBS:  54071.09185     g    NULL     5649.370        244.493    18.120     0.046
OBS:  54072.10932     g    NULL     5325.986        333.800    18.184     0.066
OBS:  54076.06988     g    NULL     4545.692        161.913    18.356     0.038
OBS:  54082.07870     g    NULL     2314.195        316.073    19.089     0.139
OBS:  54083.06147     g    NULL     2456.971        292.189    19.024     0.122
OBS:  54058.11170     h    NULL     4470.952        108.358    18.374     0.026
OBS:  54059.07486     h    NULL     4470.952        146.475    18.374     0.035
OBS:  54060.08412     h    NULL     5311.290        128.724    18.187     0.026
OBS:  54061.10134     h    NULL     5749.102        144.761    18.101     0.027
OBS:  54062.09811     h    NULL     5975.854        144.830    18.059     0.026
OBS:  54064.08679     h    NULL     6516.284        133.385    17.965     0.022
OBS:  54066.09192     h    NULL     7033.962        217.073    17.882     0.033
OBS:  54070.09404     h    NULL     6251.727        240.594    18.010     0.041
OBS:  54071.08883     h    NULL     6245.972        222.475    18.011     0.038
OBS:  54072.10629     h    NULL     6963.058        248.017    17.893     0.038
OBS:  54074.05929     h    NULL     5981.361        178.913    18.058     0.032
OBS:  54076.06689     h    NULL     5685.910        148.541    18.113     0.028
OBS:  54083.05845     h    NULL     3897.625        168.681    18.523     0.046
OBS:  54084.08199     h    NULL     3397.817        376.166    18.672     0.114
OBS:  54058.10938     i    NULL     4051.352        117.342    18.481     0.031
OBS:  54059.07256     i    NULL     4984.252        125.502    18.256     0.027
OBS:  54060.08181     i    NULL     5180.838        115.797    18.214     0.024
OBS:  54061.09904     i    NULL     5541.151        113.424    18.141     0.022
OBS:  54062.09580     i    NULL     5680.676        148.404    18.114     0.028
OBS:  54064.08448     i    NULL     6217.274        144.819    18.016     0.025
OBS:  54066.08962     i    NULL     6705.019        194.201    17.934     0.031
OBS:  54070.09174     i    NULL     6931.065        187.623    17.898     0.029
OBS:  54071.08650     i    NULL     6053.409        244.553    18.045     0.043
OBS:  54072.10397     i    NULL     6468.447        181.222    17.973     0.030
OBS:  54074.05699     i    NULL     5670.221        164.230    18.116     0.031
OBS:  54076.06457     i    NULL     5807.644        135.277    18.090     0.025
OBS:  54082.07337     i    NULL     3984.740        372.385    18.499     0.097
OBS:  54083.05615     i    NULL     3999.447        184.633    18.495     0.049
OBS:  54084.07969     i    NULL     3995.766        341.340    18.496     0.089
OBS:  54058.10705     j    NULL     3019.952        145.240    18.800     0.051
OBS:  54059.07025     j    NULL     3265.878        172.867    18.715     0.056
OBS:  54060.07950     j    NULL     3869.011        134.122    18.531     0.037
OBS:  54061.09673     j    NULL     3840.608        136.799    18.539     0.038
OBS:  54062.09348     j    NULL     3773.984        174.224    18.558     0.049
OBS:  54064.08215     j    NULL     3732.502        193.948    18.570     0.055
OBS:  54066.08730     j    NULL     4040.173        233.487    18.484     0.061
OBS:  54070.08943     j    NULL     3732.502        193.948    18.570     0.055
OBS:  54071.08419     j    NULL     3770.509        184.978    18.559     0.052
OBS:  54072.10165     j    NULL     3637.475        185.487    18.598     0.054
OBS:  54074.05469     j    NULL     3090.295        361.142    18.775     0.120
OBS:  54076.06226     j    NULL     3087.450        169.416    18.776     0.058
OBS:  54082.07105     j    NULL     2201.912        207.993    19.143     0.098
OBS:  54083.05383     j    NULL     1997.101        291.658    19.249     0.148
END:
