SURVEY:  PS1_LOWZ_COMBINED(CFA3K)
SNID: 2006qo 
IAUC: 2006qo
RA:   120.034880 deg
DECL:    56.368810 deg 
RA_HOST:   120.035620
DEC_HOST:    56.365610
MWEBV: 0.040 (SFD98)
REDSHIFT_HELIO: 0.029704 +- 8.3e-05 
REDSHIFT_CMB: 0.0300446 +- 8.3e-05 
VPEC: -197.6491 +- 250.0
HOSTGAL_LOGMASS: 9.48100 +- 0.029
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 54083.031
FILTERS:  abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVri -> fghij       
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:  104
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  54071.46490     g    NULL     5571.857        166.664    18.135     0.032
OBS:  54080.38760     g    NULL    15617.086        290.343    17.016     0.020
OBS:  54086.30170     g    NULL    14832.010        261.839    17.072     0.019
OBS:  54089.42964     g    NULL    12965.820        228.894    17.218     0.019
OBS:  54092.29994     g    NULL    10804.384        200.868    17.416     0.020
OBS:  54094.44361     g    NULL     8717.661        178.446    17.649     0.022
OBS:  54095.40062     g    NULL     8165.824        159.478    17.720     0.021
OBS:  54101.22950     g    NULL     4475.072        236.871    18.373     0.056
OBS:  54108.39197     g    NULL     2394.418        119.783    19.052     0.053
OBS:  54110.41986     g    NULL     1855.240        127.200    19.329     0.072
OBS:  54114.35301     g    NULL     1216.746         95.454    19.787     0.082
OBS:  54117.34823     g    NULL     1307.374         71.739    19.709     0.058
OBS:  54126.36497     g    NULL     1023.293         82.312    19.975     0.084
OBS:  54138.16833     g    NULL      809.096        108.814    20.230     0.137
OBS:  54140.25799     g    NULL      696.306         79.227    20.393     0.117
OBS:  54148.15991     g    NULL      727.110         84.225    20.346     0.119
OBS:  54071.46117     h    NULL     6924.685        154.773    17.899     0.024
OBS:  54072.32687     h    NULL     8685.604        235.118    17.653     0.029
OBS:  54080.38388     h    NULL    18879.913        280.285    16.810     0.016
OBS:  54086.29797     h    NULL    18949.598        281.319    16.806     0.016
OBS:  54089.42591     h    NULL    17474.309        259.418    16.894     0.016
OBS:  54092.29624     h    NULL    15660.297        232.487    17.013     0.016
OBS:  54094.43988     h    NULL    14008.770        234.182    17.134     0.018
OBS:  54095.39691     h    NULL    13219.043        208.607    17.197     0.017
OBS:  54100.21883     h    NULL     9647.172        334.425    17.539     0.037
OBS:  54101.22579     h    NULL     9558.726        358.724    17.549     0.040
OBS:  54101.29354     h    NULL     9567.534        258.992    17.548     0.029
OBS:  54102.25861     h    NULL     9862.795        474.336    17.515     0.051
OBS:  54108.38824     h    NULL     6450.598        168.518    17.976     0.028
OBS:  54110.41615     h    NULL     6031.148        129.125    18.049     0.023
OBS:  54114.34929     h    NULL     4875.285        118.157    18.280     0.026
OBS:  54117.34450     h    NULL     4172.535        109.005    18.449     0.028
OBS:  54126.36124     h    NULL     2553.877         98.285    18.982     0.041
OBS:  54128.16654     h    NULL     2470.586        203.652    19.018     0.086
OBS:  54137.17412     h    NULL     2230.489         96.531    19.129     0.046
OBS:  54138.16461     h    NULL     1964.265         96.365    19.267     0.052
OBS:  54139.20233     h    NULL     1997.101        127.122    19.249     0.067
OBS:  54140.25427     h    NULL     1877.587         92.113    19.316     0.052
OBS:  54140.38418     h    NULL     2060.630        161.656    19.215     0.082
OBS:  54141.18523     h    NULL     2120.313        101.973    19.184     0.051
OBS:  54144.17782     h    NULL     1726.633        106.526    19.407     0.065
OBS:  54148.15618     h    NULL     1665.712         96.264    19.446     0.061
OBS:  54149.15819     h    NULL     1579.065        197.577    19.504     0.128
OBS:  54153.15696     h    NULL     1191.242         95.822    19.810     0.084
OBS:  54071.45817     i    NULL     7481.695        160.181    17.815     0.023
OBS:  54072.32385     i    NULL     8487.895        237.799    17.678     0.030
OBS:  54080.38087     i    NULL    19787.913        330.791    16.759     0.018
OBS:  54086.29494     i    NULL    20492.739        361.772    16.721     0.019
OBS:  54089.42291     i    NULL    19142.559        320.002    16.795     0.018
OBS:  54092.29322     i    NULL    16595.869        292.978    16.950     0.019
OBS:  54094.43686     i    NULL    14494.392        255.879    17.097     0.019
OBS:  54095.39389     i    NULL    13551.894        239.241    17.170     0.019
OBS:  54100.21582     i    NULL    11846.771        343.125    17.316     0.031
OBS:  54100.23645     i    NULL    11324.004        285.135    17.365     0.027
OBS:  54101.22274     i    NULL    11748.976        318.044    17.325     0.029
OBS:  54101.29053     i    NULL    10914.403        295.452    17.405     0.029
OBS:  54108.38522     i    NULL     9790.390        200.404    17.523     0.022
OBS:  54110.41315     i    NULL     9506.048        185.653    17.555     0.021
OBS:  54114.34627     i    NULL     8203.515        160.214    17.715     0.021
OBS:  54117.34148     i    NULL     6924.685        141.744    17.899     0.022
