SURVEY:  PS1_LOWZ_COMBINED(CFA3K)
SNID: 2006sr 
IAUC: 2006sr
RA:     0.895920 deg
DECL:    23.196170 deg 
RA_HOST:     0.895920
DEC_HOST:    23.200780
MWEBV: 0.093 (SFD98)
REDSHIFT_HELIO: 0.02425 +- 8e-06 
REDSHIFT_CMB: 0.0230673 +- 8e-06 
VPEC: -237.7133 +- 250.0
HOSTGAL_LOGMASS: 10.7570 +- 0.05
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 54092.836
FILTERS:  abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVri -> fghij       
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:   59
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  54094.07395     f    NULL    23463.889       1196.504    16.574     0.054
OBS:  54094.07760     f    NULL    22387.211       1141.601    16.625     0.054
OBS:  54095.12351     f    NULL    21359.939       1089.216    16.676     0.054
OBS:  54095.12714     f    NULL    20701.413       1055.636    16.710     0.054
OBS:  54090.08782     g    NULL    23812.226        465.052    16.558     0.021
OBS:  54090.10524     g    NULL    23988.329        468.492    16.550     0.021
OBS:  54094.07021     g    NULL    24299.649        474.572    16.536     0.021
OBS:  54095.11978     g    NULL    24547.089        502.465    16.525     0.022
OBS:  54099.14169     g    NULL    17186.997        628.584    16.912     0.039
OBS:  54100.10635     g    NULL    17864.876        483.600    16.870     0.029
OBS:  54101.08498     g    NULL    16113.875        375.340    16.982     0.025
OBS:  54102.09723     g    NULL    13905.929        389.593    17.142     0.030
OBS:  54103.08397     g    NULL    13551.894        443.979    17.170     0.035
OBS:  54104.06826     g    NULL    12485.329        349.793    17.259     0.030
OBS:  54117.11963     g    NULL     2708.944        117.237    18.918     0.046
OBS:  54117.12331     g    NULL     2535.129        134.187    18.990     0.056
OBS:  54128.10034     g    NULL     1488.675        263.591    19.568     0.177
OBS:  54135.12043     g    NULL      879.023        388.046    20.140     0.397
OBS:  54139.09726     g    NULL      855.067        297.325    20.170     0.324
OBS:  54149.08927     g    NULL     1050.026        395.414    19.947     0.347
OBS:  54090.08480     h    NULL    25609.435        404.137    16.479     0.017
OBS:  54090.10222     h    NULL    25633.033        380.539    16.478     0.016
OBS:  54094.06720     h    NULL    27694.913        411.149    16.394     0.016
OBS:  54095.11677     h    NULL    27089.438        452.849    16.418     0.018
OBS:  54099.13867     h    NULL    22740.500        615.583    16.608     0.029
OBS:  54100.10335     h    NULL    22407.840        437.625    16.624     0.021
OBS:  54101.08197     h    NULL    21817.250        405.613    16.653     0.020
OBS:  54102.09423     h    NULL    20568.376        382.395    16.717     0.020
OBS:  54103.08095     h    NULL    19248.638        375.925    16.789     0.021
OBS:  54104.06526     h    NULL    17815.581        331.216    16.873     0.020
OBS:  54117.11663     h    NULL     8090.959        165.617    17.730     0.022
OBS:  54128.09734     h    NULL     4301.303        278.007    18.416     0.068
OBS:  54135.11700     h    NULL     3515.604        254.905    18.635     0.076
OBS:  54139.09425     h    NULL     2736.529        126.331    18.907     0.049
OBS:  54149.08625     h    NULL     1907.217        394.225    19.299     0.204
OBS:  54094.06487     i    NULL    28840.315        509.137    16.350     0.019
OBS:  54095.11444     i    NULL    28366.124        553.990    16.368     0.021
OBS:  54099.13635     i    NULL    24911.507        674.352    16.509     0.029
OBS:  54100.10104     i    NULL    23184.621        474.576    16.587     0.022
OBS:  54101.07965     i    NULL    20720.489        443.621    16.709     0.023
OBS:  54102.09191     i    NULL    18897.311        386.817    16.809     0.022
OBS:  54103.07865     i    NULL    17996.995        385.311    16.862     0.023
OBS:  54104.06293     i    NULL    16826.741        376.093    16.935     0.024
OBS:  54117.11429     i    NULL    11759.802        251.774    17.324     0.023
OBS:  54128.09502     i    NULL     5425.003        203.592    18.164     0.040
OBS:  54135.12452     i    NULL     3763.570        474.811    18.561     0.129
OBS:  54139.09192     i    NULL     3624.099        139.471    18.602     0.041
OBS:  54149.08392     i    NULL     3460.987        390.248    18.652     0.116
OBS:  54094.06256     j    NULL    17123.794        350.514    16.916     0.022
OBS:  54099.13405     j    NULL    13097.850        667.904    17.207     0.054
OBS:  54100.09873     j    NULL    12133.889        294.076    17.290     0.026
OBS:  54101.07732     j    NULL    10954.688        286.184    17.401     0.028
OBS:  54102.08959     j    NULL     9727.472        263.322    17.530     0.029
OBS:  54103.07633     j    NULL     9358.365        271.052    17.572     0.031
OBS:  54104.06062     j    NULL     8920.722        317.747    17.624     0.038
OBS:  54117.11199     j    NULL    10894.317        253.761    17.407     0.025
OBS:  54128.09272     j    NULL     5267.445        217.850    18.196     0.044
OBS:  54139.08962     j    NULL     3338.874        179.970    18.691     0.057
OBS:  54149.08161     j    NULL     2058.733        952.886    19.216     0.413
END:
