SURVEY:  PS1_LOWZ_COMBINED(CFA3K)
SNID: 2007au 
IAUC: 2007au
RA:   107.942120 deg
DECL:    49.853720 deg 
RA_HOST:   107.924250
DEC_HOST:    49.866670
MWEBV: 0.068 (SFD98)
REDSHIFT_HELIO: 0.020158 +- 4.4e-05 
REDSHIFT_CMB: 0.0204448 +- 4.4e-05 
VPEC: -317.9514 +- 250.0
HOSTGAL_LOGMASS: -1.00000 +- 0.0
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 54184.195
FILTERS:  abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVri -> fghij       
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:   73
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  54178.23200     g    NULL    11901.453        198.954    17.311     0.018
OBS:  54179.14600     g    NULL    14151.419        170.460    17.123     0.013
OBS:  54185.13800     g    NULL    19337.485        305.161    16.784     0.017
OBS:  54186.13000     g    NULL    19002.030       1890.931    16.803     0.103
OBS:  54187.14100     g    NULL    17394.021        437.976    16.899     0.027
OBS:  54189.14500     g    NULL    13639.549        395.050    17.163     0.031
OBS:  54191.12300     g    NULL    10854.254        324.669    17.411     0.032
OBS:  54193.12700     g    NULL     7481.695        245.111    17.815     0.035
OBS:  54194.14100     g    NULL     6680.362        174.520    17.938     0.028
OBS:  54195.16200     g    NULL     6315.387        218.927    17.999     0.037
OBS:  54196.12300     g    NULL     5058.247        170.529    18.240     0.036
OBS:  54198.13400     g    NULL     3777.461        102.255    18.557     0.029
OBS:  54201.14800     g    NULL     2530.463         90.133    18.992     0.038
OBS:  54209.13400     g    NULL     1480.471        216.209    19.574     0.148
OBS:  54210.14000     g    NULL     1360.191        105.357    19.666     0.081
OBS:  54178.22900     h    NULL    13502.059        187.832    17.174     0.015
OBS:  54179.14300     h    NULL    15995.580        192.673    16.990     0.013
