SURVEY:  PS1_LOWZ_COMBINED(CFA3K)
SNID: 2007qe 
IAUC: 2007qe
RA:   358.554080 deg
DECL:    27.409280 deg 
RA_HOST:   358.550380
DEC_HOST:    27.408970
MWEBV: 0.038 (SFD98)
REDSHIFT_HELIO: 0.02396 +- 5e-05 
REDSHIFT_CMB: 0.0227964 +- 5e-05 
VPEC: -227.1405 +- 250.0
HOSTGAL_LOGMASS: 9.13200 +- 0.375
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 54429.719
FILTERS:  abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVri -> fghij       
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:  118
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  54419.30000     g    NULL    15445.430        258.198    17.028     0.018
OBS:  54419.30400     g    NULL    15374.465        257.012    17.033     0.018
OBS:  54420.12300     g    NULL    18382.306        307.293    16.839     0.018
OBS:  54420.12600     g    NULL    18030.177        301.407    16.860     0.018
OBS:  54421.13700     g    NULL    21677.041        342.081    16.660     0.017
OBS:  54421.14100     g    NULL    21817.250        344.294    16.653     0.017
OBS:  54422.08200     g    NULL    24683.117        412.623    16.519     0.018
OBS:  54422.08500     g    NULL    24637.691        388.802    16.521     0.017
OBS:  54425.08900     g    NULL    31506.488        793.324    16.254     0.027
OBS:  54425.09200     g    NULL    31593.664        855.237    16.251     0.029
OBS:  54427.13100     g    NULL    34072.186        761.545    16.169     0.024
OBS:  54427.13400     g    NULL    34197.944        667.885    16.165     0.021
OBS:  54429.10100     g    NULL    34103.582        762.247    16.168     0.024
OBS:  54429.10500     g    NULL    35026.763        749.914    16.139     0.023
OBS:  54432.11700     g    NULL    32508.730        849.270    16.220     0.028
OBS:  54432.12100     g    NULL    31885.997       1074.974    16.241     0.036
OBS:  54433.11800     g    NULL    30338.912        450.401    16.295     0.016
OBS:  54433.12200     g    NULL    30338.912        478.772    16.295     0.017
OBS:  54439.11200     g    NULL    21066.869        332.452    16.691     0.017
OBS:  54439.11500     g    NULL    21105.712        333.065    16.689     0.017
OBS:  54440.26900     g    NULL    19373.139        323.857    16.782     0.018
OBS:  54440.27300     g    NULL    19301.897        304.599    16.786     0.017
OBS:  54448.13900     g    NULL     9044.821        159.674    17.609     0.019
OBS:  54448.14300     g    NULL     9128.512        169.712    17.599     0.020
OBS:  54450.12000     g    NULL     7819.878        196.902    17.767     0.027
OBS:  54450.12400     g    NULL     7705.485        179.484    17.783     0.025
OBS:  54452.15500     g    NULL     6742.175        304.756    17.928     0.048
OBS:  54452.15900     g    NULL     6735.968        272.128    17.929     0.043
OBS:  54455.16500     g    NULL     4988.845        396.332    18.255     0.083
OBS:  54457.14300     g    NULL     4269.726        250.915    18.424     0.062
OBS:  54458.20700     g    NULL     4195.657        577.437    18.443     0.140
OBS:  54462.10600     g    NULL     3090.295        104.183    18.775     0.036
OBS:  54463.12000     g    NULL     3104.560        119.477    18.770     0.041
OBS:  54465.14400     g    NULL     2731.492         86.891    18.909     0.034
OBS:  54465.14700     g    NULL     2674.238         90.157    18.932     0.036
OBS:  54468.13000     g    NULL     2365.920        162.214    19.065     0.072
OBS:  54476.08900     g    NULL     2132.063        108.721    19.178     0.054
OBS:  54476.09200     g    NULL     2145.853         94.931    19.171     0.047
OBS:  54477.16700     g    NULL     2021.157        106.982    19.236     0.056
OBS:  54477.17000     g    NULL     2041.738        108.072    19.225     0.056
OBS:  54483.15300     g    NULL     1776.642        367.235    19.376     0.204
OBS:  54486.14800     g    NULL     1789.781        480.083    19.368     0.258
OBS:  54486.15200     g    NULL     1843.317        395.404    19.336     0.211
OBS:  54419.29700     h    NULL    15617.086        231.846    17.016     0.016
OBS:  54420.12000     h    NULL    18399.245        255.959    16.838     0.015
OBS:  54421.13400     h    NULL    21478.305        338.945    16.670     0.017
OBS:  54422.07900     h    NULL    23680.998        373.705    16.564     0.017
OBS:  54425.08600     h    NULL    30450.891        766.744    16.291     0.027
OBS:  54427.12800     h    NULL    35514.033        626.953    16.124     0.019
OBS:  54429.09800     h    NULL    36207.622        571.385    16.103     0.017
OBS:  54432.11400     h    NULL    36041.263        975.633    16.108     0.029
OBS:  54433.11500     h    NULL    36509.005        473.813    16.094     0.014
OBS:  54439.10900     h    NULL    29241.524        379.496    16.335     0.014
OBS:  54440.26600     h    NULL    27164.393        327.206    16.415     0.013
OBS:  54448.13600     h    NULL    18063.421        268.163    16.858     0.016
OBS:  54450.11700     h    NULL    17013.748        252.580    16.923     0.016
OBS:  54452.15200     h    NULL    15776.113        308.107    17.005     0.021
OBS:  54455.15800     h    NULL    13001.696        364.259    17.215     0.030
OBS:  54457.13600     h    NULL    12280.046        378.971    17.277     0.033
OBS:  54458.20400     h    NULL    12044.811        544.443    17.298     0.048
OBS:  54462.10300     h    NULL     9700.631        180.348    17.533     0.020
OBS:  54463.11700     h    NULL     9187.556        196.703    17.592     0.023
OBS:  54465.14000     h    NULL     8158.306        151.674    17.721     0.020
OBS:  54468.12700     h    NULL     7379.042        178.838    17.830     0.026
OBS:  54476.08600     h    NULL     5138.070        124.526    18.223     0.026
OBS:  54477.16400     h    NULL     4786.301        147.709    18.300     0.033
OBS:  54487.08300     h    NULL     3749.730        335.345    18.565     0.093
OBS:  54419.29500     i    NULL    16368.165        242.996    16.965     0.016
OBS:  54420.11700     i    NULL    18758.582        278.484    16.817     0.016
OBS:  54421.13200     i    NULL    21419.040        418.313    16.673     0.021
OBS:  54422.07600     i    NULL    24143.487        494.203    16.543     0.022
OBS:  54425.08300     i    NULL    30959.932        662.844    16.273     0.023
OBS:  54427.12500     i    NULL    34103.582        602.053    16.168     0.019
OBS:  54429.09600     i    NULL    35809.644        531.618    16.115     0.016
OBS:  54432.11200     i    NULL    35645.113        998.644    16.120     0.030
OBS:  54433.11300     i    NULL    35416.040       2567.899    16.127     0.076
OBS:  54439.10600     i    NULL    26865.814        423.964    16.427     0.017
OBS:  54440.26400     i    NULL    24980.435        347.512    16.506     0.015
OBS:  54448.13400     i    NULL    18433.169        290.890    16.836     0.017
OBS:  54450.11500     i    NULL    18230.560        270.645    16.848     0.016
OBS:  54452.15000     i    NULL    18281.002        305.600    16.845     0.018
OBS:  54455.15600     i    NULL    17506.527        440.809    16.892     0.027
OBS:  54457.13400     i    NULL    17186.997        384.146    16.912     0.024
OBS:  54458.20200     i    NULL    16504.410        353.355    16.956     0.023
OBS:  54462.10100     i    NULL    13791.135        282.297    17.151     0.022
OBS:  54463.11500     i    NULL    13551.894        239.241    17.170     0.019
OBS:  54465.13800     i    NULL    11513.305        203.252    17.347     0.019
OBS:  54468.12500     i    NULL     9944.890        184.889    17.506     0.020
OBS:  54476.08300     i    NULL     7244.360        155.100    17.850     0.023
OBS:  54477.16100     i    NULL     6924.685        154.773    17.899     0.024
OBS:  54483.14800     i    NULL     5877.600        299.719    18.077     0.054
OBS:  54486.14300     i    NULL     5166.542        218.635    18.217     0.045
OBS:  54487.08100     i    NULL     5030.371        261.387    18.246     0.055
OBS:  54419.29200     j    NULL    10656.142        218.125    17.431     0.022
OBS:  54420.11500     j    NULL    12670.682        259.362    17.243     0.022
OBS:  54421.13000     j    NULL    14282.361        346.146    17.113     0.026
OBS:  54422.07400     j    NULL    16580.591        401.846    16.951     0.026
OBS:  54425.08100     j    NULL    19301.897       1959.901    16.786     0.105
OBS:  54427.12300     j    NULL    19897.568        426.002    16.753     0.023
OBS:  54429.09400     j    NULL    19516.413        436.210    16.774     0.024
OBS:  54432.11000     j    NULL    18914.724        873.190    16.808     0.049
OBS:  54439.10400     j    NULL    12519.875        232.762    17.256     0.020
OBS:  54440.26100     j    NULL    11148.078        238.678    17.382     0.023
OBS:  54448.13200     j    NULL     9401.562        192.445    17.567     0.022
OBS:  54450.11300     j    NULL    10055.415        224.748    17.494     0.024
OBS:  54452.14800     j    NULL    10924.461        223.618    17.404     0.022
OBS:  54455.15300     j    NULL    10974.886        432.865    17.399     0.042
OBS:  54457.13100     j    NULL    12100.408        316.115    17.293     0.028
OBS:  54458.20000     j    NULL    11967.405        290.041    17.305     0.026
OBS:  54462.09900     j    NULL    11978.433        233.939    17.304     0.021
OBS:  54463.11200     j    NULL    11470.966        213.261    17.351     0.020
OBS:  54465.13600     j    NULL     9817.479        182.521    17.520     0.020
OBS:  54468.12200     j    NULL     7928.664        222.132    17.752     0.030
OBS:  54476.08100     j    NULL     5765.009        145.161    18.098     0.027
OBS:  54477.15900     j    NULL     5044.289        136.548    18.243     0.029
OBS:  54483.14600     j    NULL     4470.952        302.142    18.374     0.071
OBS:  54486.14000     j    NULL     3489.796        218.719    18.643     0.066
OBS:  54487.07800     j    NULL     3729.065        226.422    18.571     0.064
END:
