SURVEY:              DES 
SNID: 1277971 
IAUC: UNKNOWN
FILTERS:             griz 
FAKE:                0 
RA:    52.211922
DECL:   -28.250765
TYPE:                 1    #  OVERRIDE 
PEAKMJD:              57256.394531    #  OVERRIDE 
PSF_UNIT:            SIGMA-PIXELS 
REDSHIFT_HELIO: 0.2 +- 0.005 
REDSHIFT_CMB: 0.199526 +- 0.005 
VPEC: 7.1873 +- 250.0
PIXSIZE:             0.270 # arcsec 
MWEBV:       0.00750 
MWEBV_ERR:   0.00060 

HOSTGAL_OBJID:       4287 
HOSTGAL_PHOTOZ:      0.3149 +- 0.0787 
HOSTGAL_SPECZ:       -9.9900 +- -9.0000 
HOSTGAL_SNSEP:       0.46 
HOSTGAL_LOGMASS:      8.144 +- 0.02    #  OVERRIDE 
HOSTGAL_MAG:         24.70 24.22 23.94 23.80 
HOSTGAL_SB_FLUXCAL:  2.45 4.07 5.56 5.88 


# Appended from HEADER-override file. 
PRIVATE(DES_mjd_latest_ml):      57404.045000 
PRIVATE(DES_mjd_trigger):        57250.290000 

# ---------------------- 
NOBS: 96
NVAR: 12
VARLIST:  MJD BAND FIELD FLUXCAL FLUXCALERR SIM_MAGOBS ZPFLUX PSF SKYSIG GAIN PHOTFLAG PHOTPROB
OBS: 57249.401 g C3   77.431    2.668   99.000 30.8309 2.3229 5.3139 3.9104 65536 1.04 
OBS: 57249.412 r C3   63.606    1.955   99.000 31.7976 2.1133 12.2894 3.9879     0 0.99 
OBS: 57250.291 r C3   86.249    3.269   99.000 31.2336 2.4451 10.9613 4.0236     0 1.02 
OBS: 57250.305 i C3   78.210    5.319   99.000 30.7081 2.3967 12.2578 4.1129     0 1.01 
OBS: 57253.284 z C3  103.813    2.893   99.000 31.2221 2.3801 10.2648 3.9117     0 1.02 
OBS: 57255.334 g C3  181.663    3.630   99.000 30.4206 2.3969 4.4848 3.9741     0 1.05 
OBS: 57255.370 r C3  169.176    3.123   99.000 31.1884 2.1987 10.8673 3.9932     0 0.99 
OBS: 57257.281 i C3  189.849    2.686   99.000 31.5205 2.6212 10.4146 4.0001     0 0.98 
OBS: 57265.301 z C3  214.027    2.847   99.000 31.2238 1.9798 12.0754 3.9275     0 1.01 
OBS: 57265.348 r C3  237.174    5.025   99.000 31.8043 2.3334 25.4913 4.1100     0 0.95 
OBS: 57266.246 i C3  263.031    3.817   99.000 31.6007 2.2640 18.0680 4.1137     0 0.98 
OBS: 57268.254 g C3  107.869    9.336   99.000 30.7299 2.6036 16.2658 4.1772     0 1.00 
OBS: 57276.324 r C3  169.102    2.059   99.000 31.8157 3.0150 8.8315 3.9198     0 1.04 
OBS: 57277.322 z C3  217.235    2.135   99.000 31.2246 1.6477 10.7210 3.9164 32768 1.04 
OBS: 57277.369 i C3  210.005    1.988   99.000 31.6314 1.9258 10.9499 3.9977     0 0.97 
OBS: 57278.247 g C3   27.247    2.006   99.000 30.8012 2.1947 4.2858 3.8969     0 0.98 
OBS: 57283.275 r C3  111.441    1.887   99.000 31.8035 2.0390 11.4120 3.9597     0 1.03 
OBS: 57284.354 i C3  155.781    2.356   99.000 31.5605 2.0824 11.3352 4.0246 32768 0.95 
OBS: 57287.191 z C3  145.557    3.793   99.000 31.1718 3.1989 9.4849 3.9172     0 0.95 
OBS: 57287.254 g C3   13.781    2.892   99.000 30.8273 3.3937 4.4445 3.9225     0 0.96 
OBS: 57287.352 r C3   86.283    2.124   99.000 31.8159 3.2340 9.0779 3.9342     0 1.05 
OBS: 57288.296 r C3   82.069    2.584   99.000 31.8210 3.8188 9.0158 3.9373     0 0.98 
OBS: 57288.317 i C3  130.037    2.974   99.000 31.6201 3.1885 11.2275 3.9861     0 0.97 
OBS: 57291.205 r C3  110.654    7.344   99.000 31.6554 2.6041 29.2726 4.1100     0 0.99 
OBS: 57292.181 z C3  115.380    5.116   99.000 31.2073 3.2660 13.9881 3.8889     0 0.98 
OBS: 57292.227 i C3  104.830    5.228   99.000 31.6189 2.9518 20.2228 4.1137     0 0.98 
OBS: 57297.248 g C3  -21.351    8.686   99.000 30.8254 3.1451 13.1582 4.1445     0 1.05 
OBS: 57297.345 r C3   58.298    4.158   99.000 31.8022 2.8784 19.9528 4.0658     0 0.98 
OBS: 57297.364 i C3   94.126    3.422   99.000 31.6264 2.6148 16.1449 4.0812     0 1.01 
OBS: 57299.158 z C3   80.558    7.176   99.000 30.3100 2.3202 12.6450 3.9521     0 1.02 
OBS: 57302.241 g C3    8.912    1.804   99.000 30.8425 2.2288 3.9586 3.9131     0 1.00 
OBS: 57302.251 r C3   56.192    1.716   99.000 31.7948 2.4822 9.1759 3.9500     0 1.00 
OBS: 57302.267 i C3   78.959    2.332   99.000 31.6276 2.6245 10.3901 4.0010     0 1.02 
OBS: 57304.306 z C3   87.951    4.291   99.000 30.7715 2.5335 9.3364 3.9486     0 0.98 
OBS: 57311.208 g C3    9.148    1.833   99.000 30.8175 2.1327 4.0761 3.8934     0 0.97 
OBS: 57311.216 r C3   47.665    1.278   99.000 31.7930 1.9505 8.5388 3.9363     0 0.95 
OBS: 57311.233 i C3   66.922    1.425   99.000 31.6157 1.7835 8.6675 3.9537     0 0.98 
OBS: 57311.305 z C3   79.197    2.322   99.000 31.0770 1.6697 10.2125 3.9330 65536 1.00 
OBS: 57317.161 g C3    6.436    4.137   99.000 30.8022 2.2062 9.6762 4.1214     0 1.03 
OBS: 57317.190 r C3   41.633    2.091   99.000 31.7826 2.0166 14.3023 4.0140     0 1.02 
OBS: 57318.107 i C3   53.756    4.041   99.000 31.5872 2.8431 16.5644 4.0819     0 0.98 
OBS: 57318.129 z C3   77.131    3.509   99.000 31.1807 2.5609 12.7544 3.9201     0 1.01 
OBS: 57325.182 r C3   39.533    3.638   99.000 31.7824 1.7345 23.6097 4.1100     0 0.97 
OBS: 57327.086 g C3    6.665    2.447   99.000 30.7575 2.7161 4.3436 3.9644     0 1.01 
OBS: 57327.096 i C3   44.869    2.283   99.000 31.5966 2.1376 12.9660 4.0393     0 1.02 
OBS: 57327.134 z C3   59.610    2.362   99.000 31.1892 1.8607 11.0683 3.9224     0 1.02 
OBS: 57329.195 r C3   34.964    1.791   99.000 31.7925 2.6698 9.5856 3.9770     0 0.95 
OBS: 57331.191 g C3    7.452    1.871   99.000 30.8453 2.2360 4.0395 3.9066     0 0.94 
OBS: 57331.216 i C3   47.959    2.265   99.000 31.6279 2.5519 11.0659 3.9839     0 1.00 
OBS: 57331.242 z C3   51.080    2.580   99.000 31.2377 2.0850 10.8865 3.9150     0 1.00 
OBS: 57339.132 r C3   30.361    1.874   99.000 31.7801 2.7108 9.7012 3.9531     0 1.07 
OBS: 57339.202 g C3    8.256    2.067   99.000 30.8347 2.4497 4.1453 3.8934     0 0.99 
OBS: 57339.210 i C3   35.259    1.977   99.000 31.6077 2.0815 11.2017 3.9818     0 0.95 
OBS: 57339.234 z C3   49.342    3.369   99.000 31.2263 2.6711 11.5376 3.9122     0 1.03 
OBS: 57345.255 g C3    8.721    2.142   99.000 30.8292 2.5888 4.1800 3.8800     0 1.00 
