SURVEY:              DES 
SNID: 1283878 
IAUC: UNKNOWN
FILTERS:             griz 
FAKE:                0 
RA:    37.133164
DECL:    -4.041299
TYPE:                 1    #  OVERRIDE 
PEAKMJD:              57262.832031    #  OVERRIDE 
PSF_UNIT:            SIGMA-PIXELS 
REDSHIFT_HELIO: 0.3139 +- 0.0005 
REDSHIFT_CMB: 0.3128682 +- 0.0005 
VPEC: -20.314722 +- 250.0
PIXSIZE:             0.270 # arcsec 
MWEBV:       0.02690 
MWEBV_ERR:   0.00140 

HOSTGAL_OBJID:       18625 
HOSTGAL_PHOTOZ:      0.2923 +- 0.0465 
HOSTGAL_SPECZ:       0.3145 +- -9.0000 
HOSTGAL_SNSEP:       0.07 
HOSTGAL_LOGMASS:      11.409 +- 0.1955    #  OVERRIDE 
HOSTGAL_MAG:         21.15 19.78 19.21 18.90 
HOSTGAL_SB_FLUXCAL:  69.67 265.73 438.04 615.88 


# Appended from HEADER-override file. 
PRIVATE(DES_mjd_latest_ml):      57278.258000 
PRIVATE(DES_mjd_trigger):        57257.323000 

# ---------------------- 
NOBS: 84
NVAR: 12
VARLIST:  MJD BAND FIELD FLUXCAL FLUXCALERR SIM_MAGOBS ZPFLUX PSF SKYSIG GAIN PHOTFLAG PHOTPROB
OBS: 57249.293 g X3   13.956    3.529   99.000 30.7725 2.9182 5.0152 3.6469     0 1.08 
OBS: 57249.305 r X3   30.678    6.848   99.000 31.7840 2.9500 19.2600 3.6200 32768 1.07 
OBS: 57249.322 i X3   27.486    4.781   99.000 31.6216 2.4612 16.4687 3.7832 32768 1.05 
OBS: 57249.341 z X3   17.166    3.923   99.000 31.2049 2.2781 11.3956 3.9480     0 1.00 
OBS: 57253.343 g X3   66.432    3.136   99.000 30.8827 2.6726 4.9342 3.6034     0 1.06 
OBS: 57253.352 r X3   78.602    3.504   99.000 31.8148 2.5484 11.2505 3.6100     0 1.05 
OBS: 57253.374 i X3   85.569    4.145   99.000 31.6410 2.3867 14.7217 3.7771 32768 1.07 
OBS: 57255.288 z X3   80.922    5.428   99.000 30.8138 2.3899 10.4301 3.9507     0 0.99 
OBS: 57257.323 g X3  110.116    3.260   99.000 30.8559 2.6698 4.8535 3.6428     0 1.12 
OBS: 57257.331 r X3  135.990    4.329   99.000 31.8064 2.4449 13.1788 3.6154 32768 1.15 
OBS: 57257.353 i X3  139.413    3.634   99.000 31.6259 2.0168 13.6834 3.7169 32768 1.12 
OBS: 57265.238 z X3  112.492    5.775   99.000 31.2097 2.6919 14.8211 3.9064 32768 1.04 
OBS: 57265.391 i X3  184.995    5.342   99.000 31.6390 2.1617 22.7409 3.8684     0 0.94 
OBS: 57273.341 i X3  174.693    4.169   99.000 31.6506 2.7525 12.0710 3.7060 32768 1.11 
OBS: 57273.365 z X3   98.500    3.820   99.000 31.2287 2.5487 9.5244 3.9125     0 1.04 
OBS: 57278.219 r X3  129.353    4.408   99.000 31.8010 2.5547 13.5871 3.6050 32768 1.16 
OBS: 57278.258 g X3   59.298    2.962   99.000 30.8533 2.4480 4.8132 3.6435     0 1.01 
OBS: 57283.189 i X3  107.867    3.671   99.000 31.6389 2.4728 11.9500 3.6877     0 1.12 
OBS: 57283.215 z X3   55.929    3.578   99.000 31.2656 2.0324 10.7683 3.9255 32768 1.05 
OBS: 57287.180 g X3   20.318    8.221   99.000 30.7631 4.2565 10.0394 3.7929     0 1.04 
OBS: 57287.238 r X3   79.948    4.073   99.000 31.8028 3.1057 11.9958 3.6584     0 1.09 
OBS: 57287.263 i X3  112.705    4.881   99.000 31.6357 3.3805 12.0733 3.6964 32768 1.07 
OBS: 57287.291 z X3   76.923    4.902   99.000 31.2069 2.9803 10.3343 3.9245 98304 1.04 
OBS: 57291.236 r X3   67.663    6.036   99.000 31.7856 2.5458 29.2131 3.8031     0 0.99 
OBS: 57291.251 z X3   73.399    3.856   99.000 31.2220 2.0327 12.6347 3.9165     0 1.00 
