SURVEY:              DES 
SNID: 1287626 
IAUC: UNKNOWN
FILTERS:             griz 
FAKE:                0 
RA:    35.931824
DECL:    -5.961218
TYPE:                 1    #  OVERRIDE 
PEAKMJD:              56678.187500    #  OVERRIDE 
PSF_UNIT:            SIGMA-PIXELS 
REDSHIFT_HELIO: 0.305 +- 0.005 
REDSHIFT_CMB: 0.3039597 +- 0.005 
VPEC: -19.385471 +- 250.0
PIXSIZE:             0.270 # arcsec 
MWEBV:       0.02640 
MWEBV_ERR:   0.00070 

HOSTGAL_OBJID:       16391 
HOSTGAL_PHOTOZ:      0.6285 +- 0.0823 
HOSTGAL_SPECZ:       -9.9900 +- -9.0000 
HOSTGAL_SNSEP:       1.26 
HOSTGAL_LOGMASS:      8.203 +- 0.226    #  OVERRIDE 
HOSTGAL_MAG:         25.20 24.47 24.05 24.22 
HOSTGAL_SB_FLUXCAL:  0.95 3.10 2.14 1.51 


# Appended from HEADER-override file. 
PRIVATE(DES_mjd_latest_ml):      56697.073000 
PRIVATE(DES_mjd_trigger):        56675.116000 

# ---------------------- 
NOBS: 91
NVAR: 12
VARLIST:  MJD BAND FIELD FLUXCAL FLUXCALERR SIM_MAGOBS ZPFLUX PSF SKYSIG GAIN PHOTFLAG PHOTPROB
OBS: 56628.090 g X2    1.430    4.032   99.000 30.7970 2.8600 8.1600 3.6000     0 1.01 
OBS: 56628.092 r X2    2.533    6.063   99.000 30.8180 2.5900 11.3600 3.7200     0 0.98 
OBS: 56628.095 i X2    2.629    7.921   99.000 31.0370 2.4400 22.2900 3.9600     0 0.97 
OBS: 56628.097 z X2    4.560   10.124   99.000 30.7183 2.3977 23.5950 3.9095     0 1.01 
OBS: 56635.068 g X2    2.649    5.943   99.000 30.8450 2.5400 14.4200 3.7200     0 0.98 
OBS: 56635.070 r X2   -3.502    7.114   99.000 30.8740 2.7300 15.3800 3.7500     0 1.07 
OBS: 56635.072 i X2   -7.297    7.805   99.000 31.0780 2.3000 23.9000 3.9300     0 0.99 
OBS: 56635.075 z X2    0.537    9.067   99.000 30.7355 2.2745 23.3556 3.9301     0 0.93 
OBS: 56645.092 g X2   11.658   11.982   99.000 30.7780 2.0600 27.3500 3.7500     0 1.03 
OBS: 56645.095 r X2   -1.218    7.444   99.000 30.8180 1.8800 24.8100 3.8100     0 0.98 
OBS: 56645.097 i X2    8.686    7.642   99.000 31.0450 1.8700 28.9400 3.9900     0 1.00 
OBS: 56645.100 z X2    4.710    7.999   99.000 30.6688 1.8785 22.0577 3.9300     0 1.03 
OBS: 56653.047 g X2   -9.963   13.501   99.000 30.0650 3.5700 10.1200 3.6900     0 1.01 
OBS: 56653.052 i X2   -8.275   17.480   99.000 30.6510 3.4800 22.3000 3.9700     0 1.05 
OBS: 56653.054 z X2    3.803   16.169   99.000 30.6239 3.7515 20.1595 3.9442     0 0.97 
OBS: 56660.103 g X2    1.474    3.247   99.000 30.7860 2.1700 8.3800 3.6000     0 0.90 
OBS: 56660.105 r X2   -1.132    5.736   99.000 30.8070 2.4700 12.0300 3.7300     0 1.01 
OBS: 56660.105 i X2   13.505    8.136   99.000 31.0140 2.3200 23.7500 3.9200 65536 0.96 
OBS: 56660.110 z X2    7.251    9.869   99.000 30.6225 2.3212 22.8961 3.9298     0 0.95 
OBS: 56667.075 g X2   76.778   12.925   99.000 30.7570 2.1300 28.7500 3.7900     0 1.11 
OBS: 56667.077 r X2   33.554   15.804   99.000 30.7820 2.0800 31.4800 3.7600     0 1.19 
OBS: 56667.079 i X2   70.698   13.255   99.000 31.0020 1.9400 42.4700 3.7600     0 1.04 
OBS: 56667.081 z X2   55.024   13.039   99.000 30.6664 1.9000 34.8217 3.7149     0 1.10 
OBS: 56675.118 i X2  211.758   14.054   99.000 30.8870 1.9800 40.9400 4.0100     0 1.00 
OBS: 56682.095 g X2  205.432    5.130   99.000 30.6470 2.1500 9.5700 3.6800     0 1.04 
OBS: 56682.098 r X2  267.418    6.434   99.000 30.7120 2.0200 13.9500 3.7500     0 1.04 
OBS: 56682.100 i X2  264.833    8.088   99.000 30.9450 1.9500 26.4300 3.9800     0 0.96 
OBS: 56682.103 z X2  156.364   11.722   99.000 30.5405 2.0823 25.8808 3.9554     0 1.09 
OBS: 56690.035 g X2  153.586    6.832   99.000 30.7090 2.1700 13.6200 3.7500     0 1.04 
OBS: 56690.038 r X2  245.725    7.103   99.000 30.7330 2.1500 15.2300 3.7700     0 1.02 
OBS: 56690.040 i X2  241.832    7.938   99.000 30.9700 1.9800 25.1500 3.9300     0 0.91 
OBS: 56690.043 z X2  146.647    8.808   99.000 30.5888 1.8588 23.3677 3.9412     0 0.94 
OBS: 56697.068 r X2  182.441   11.249   99.000 30.7070 2.0500 26.4300 3.8000     0 0.93 
OBS: 56697.070 i X2  168.397   10.675   99.000 30.9590 2.0400 34.5500 3.9900     0 1.04 
OBS: 56697.072 z X2   89.568   11.293   99.000 30.6168 2.0311 29.0115 3.9344     0 1.01 
OBS: 56887.268 g X2   -3.554    6.042   99.000 30.6780 2.4600 12.5300 3.7000     0 0.94 
OBS: 56887.270 r X2    4.894    8.297   99.000 30.7440 2.2700 15.9400 3.7500     0 1.13 
OBS: 56887.272 i X2    4.447    9.114   99.000 31.0130 2.3300 24.6800 3.9000     0 1.01 
OBS: 56887.274 z X2   17.275    9.624   99.000 30.7099 2.2703 23.6702 3.8999     0 0.98 
OBS: 56891.406 g X2   -0.041    3.199   99.000 30.7280 2.2200 8.2000 3.5600     0 1.05 
OBS: 56891.409 r X2    6.187    5.170   99.000 30.7780 2.0700 12.7000 3.7200     0 0.94 
OBS: 56891.411 i X2   10.410    6.713   99.000 31.0120 2.0100 24.3000 3.9200     0 0.95 
OBS: 56891.414 z X2    3.440    9.546   99.000 30.6761 2.1468 24.5967 3.9244     0 1.03 
OBS: 56904.221 g X2    4.279   13.953   99.000 30.7100 3.1600 19.6700 3.7500     0 0.99 
OBS: 56904.223 r X2  -14.068    9.140   99.000 30.7670 2.6100 18.4300 3.7800     0 1.00 
OBS: 56904.225 i X2   -0.194    8.898   99.000 31.0160 2.4500 24.7200 3.9500     0 1.09 
OBS: 56904.227 z X2  -10.189    9.609   99.000 30.6688 2.3502 22.3821 3.9402     0 1.07 
OBS: 56915.292 g X2   -1.463    7.960   99.000 30.7230 2.5300 16.1000 3.7100     0 0.87 
OBS: 56915.294 r X2    2.053    8.353   99.000 30.7630 2.5100 17.6700 3.7800     0 1.06 
OBS: 56915.296 i X2   -5.083    7.803   99.000 30.9940 2.1600 24.0700 3.9100     0 0.92 
OBS: 56915.299 z X2    5.782    8.534   99.000 30.6875 2.2401 20.6291 3.9300     0 0.99 
OBS: 56923.302 g X2   -1.643    5.452   99.000 30.7450 3.7800 7.7100 3.6000     0 0.83 
OBS: 56923.304 r X2    3.116    7.908   99.000 30.7430 3.4300 12.5600 3.7500     0 0.92 
OBS: 56923.306 i X2   10.567    9.272   99.000 31.0040 3.2400 19.5800 3.9100     0 1.00 
OBS: 56923.309 z X2    3.370   10.776   99.000 30.6572 3.0506 18.9397 3.9500     0 0.96 
OBS: 56924.180 g X2   -1.369    3.437   99.000 30.7110 2.3800 12.0700 3.5700     0 1.13 
OBS: 56924.182 r X2   10.055    5.687   99.000 30.7660 2.5900 11.0500 3.7100     0 1.02 
OBS: 56924.184 i X2    3.023    5.429   99.000 31.0020 2.0700 18.3200 3.9000     0 0.97 
OBS: 56924.187 z X2    0.377    6.622   99.000 30.6766 1.9766 17.6131 3.9100     0 0.99 
OBS: 56931.161 g X2   12.656    6.826   99.000 30.6970 2.9100 12.3500 3.7000     0 1.04 
