SURVEY:              DES 
SNID: 1289664 
IAUC: UNKNOWN
FILTERS:             griz 
FAKE:                0 
RA:    40.896774
DECL:    -1.129924
TYPE:                 1    #  OVERRIDE 
PEAKMJD:              57276.519531    #  OVERRIDE 
PSF_UNIT:            SIGMA-PIXELS 
REDSHIFT_HELIO: 0.26 +- 0.005 
REDSHIFT_CMB: 0.2590775 +- 0.005 
VPEC: -25.740922 +- 250.0
PIXSIZE:             0.270 # arcsec 
MWEBV:       0.03210 
MWEBV_ERR:   0.00080 

HOSTGAL_OBJID:       -888 
HOSTGAL_PHOTOZ:      -9.0000 +- -9.0000 
HOSTGAL_SPECZ:       -9.0000 +- -9.0000 
HOSTGAL_SNSEP:       -9.00 
HOSTGAL_LOGMASS:      2.0 +- 2.0    #  OVERRIDE 
HOSTGAL_MAG:         888.00 888.00 888.00 888.00 
HOSTGAL_SB_FLUXCAL:  1.09 1.66 2.65 2.51 


# Appended from HEADER-override file. 
PRIVATE(DES_mjd_latest_ml):      57385.067000 
PRIVATE(DES_mjd_trigger):        57276.310000 

# ---------------------- 
NOBS: 97
NVAR: 12
VARLIST:  MJD BAND FIELD FLUXCAL FLUXCALERR SIM_MAGOBS ZPFLUX PSF SKYSIG GAIN PHOTFLAG PHOTPROB
OBS: 57248.388 g S2    6.841    7.566   99.000 30.6600 4.1600 7.6400 3.9300     0 0.94 
OBS: 57248.391 r S2   19.242    9.295   99.000 30.6860 4.0100 11.0900 3.9600     0 1.04 
OBS: 57248.393 i S2   -6.368   12.530   99.000 30.9780 3.8100 20.3500 4.0300     0 0.97 
OBS: 57248.395 z S2  -14.323   16.040   99.000 30.6545 3.7998 20.5540 3.9350     0 0.96 
OBS: 57252.303 g S2   -3.095    5.324   99.000 30.6380 2.8000 7.8700 3.9300     0 0.92 
OBS: 57252.305 r S2    6.858    6.566   99.000 30.7290 2.8200 12.3800 4.0000     0 0.94 
OBS: 57252.307 i S2   -8.021    7.739   99.000 30.9750 2.5500 23.1800 4.0200     0 0.89 
OBS: 57252.310 z S2   -1.679   11.205   99.000 30.6815 2.6306 23.8886 3.9200     0 0.99 
OBS: 57256.295 r S2   -5.077    9.311   99.000 30.7730 3.9900 11.7200 3.9300     0 0.91 
OBS: 57256.297 i S2    1.599    9.883   99.000 30.9860 3.1700 20.8200 4.0500     0 0.95 
OBS: 57256.300 z S2   -8.521   15.115   99.000 30.6889 3.5867 20.6391 3.9258     0 0.97 
OBS: 57265.288 r S2   68.737   20.176   99.000 30.7390 2.5900 35.1700 4.0900     0 1.13 
OBS: 57265.291 i S2   76.495   14.470   99.000 30.9740 2.3600 35.5500 4.0900     0 1.06 
OBS: 57265.293 z S2   61.729    9.757   99.000 30.6713 2.2777 22.8724 3.9100     0 1.01 
OBS: 57276.312 r S2  336.429   12.015   99.000 30.0850 2.8200 11.0400 4.0000     0 1.08 
OBS: 57276.314 i S2  325.693    8.489   99.000 30.9660 2.8800 17.5300 3.9900     0 0.97 
OBS: 57276.317 z S2  222.724   11.609   99.000 30.6356 3.4470 16.7442 3.9172     0 1.00 
OBS: 57277.307 g S2  316.482    6.660   99.000 30.7010 2.8700 7.8600 3.9300     0 1.13 
OBS: 57277.310 r S2  352.471    6.882   99.000 30.7430 2.5200 11.3800 3.9300     0 1.04 
OBS: 57277.312 i S2  326.301    6.928   99.000 30.9890 2.4100 18.5900 4.0000     0 1.02 
OBS: 57277.315 z S2  257.628    9.457   99.000 30.6766 2.5290 18.6672 3.9111     0 0.95 
OBS: 57284.324 g S2  241.901    6.768   99.000 30.6800 3.6600 7.6100 3.9400     0 1.00 
OBS: 57284.326 r S2  312.719    9.432   99.000 30.7330 3.3800 12.4600 3.9800     0 1.06 
OBS: 57284.328 i S2  318.918    9.269   99.000 30.9990 3.3100 18.4000 3.9600     0 1.04 
OBS: 57284.331 z S2  204.816   12.155   99.000 30.5833 3.1397 17.8403 3.9100     0 1.02 
OBS: 57288.199 r S2  296.011   16.696   99.000 30.7400 4.1500 17.8200 4.0000     0 0.96 
OBS: 57288.201 i S2  281.644   13.571   99.000 30.9730 3.9700 21.7100 4.0100     0 0.89 
OBS: 57288.204 z S2  194.790   13.323   99.000 30.6572 3.6581 17.9648 3.9053     0 1.00 
OBS: 57291.222 g S2  123.130   24.504   99.000 30.6750 2.8700 32.7900 4.1800     0 1.07 
OBS: 57291.224 r S2  256.096   16.476   99.000 30.7050 2.7400 30.4200 4.0900     0 1.09 
OBS: 57291.226 i S2  215.835   14.504   99.000 30.9820 2.7100 32.9500 4.0800     0 1.00 
OBS: 57291.229 z S2  162.649   11.651   99.000 30.6682 2.6327 22.4117 3.9000     0 0.94 
OBS: 57299.218 g S2   47.083   14.257   99.000 30.0260 2.5200 13.1900 4.1200     0 1.03 
OBS: 57299.220 r S2  158.374   16.278   99.000 29.9870 2.1800 18.7600 4.0500     0 1.08 
OBS: 57299.222 i S2  168.783   17.067   99.000 30.1810 2.2600 30.6400 4.1000     0 0.85 
OBS: 57299.227 z S2  140.074   33.252   99.000 29.8980 2.2600 36.9300 3.9800 65536 1.06 
OBS: 57303.166 g S2   44.507    8.875   99.000 30.4730 4.3300 7.4600 3.8800     0 1.06 
OBS: 57303.169 r S2  115.087   10.551   99.000 30.6850 4.1100 11.4200 3.9200     0 0.97 
OBS: 57303.171 i S2  158.383   10.472   99.000 30.9530 3.6400 20.3000 4.0500     0 1.02 
OBS: 57303.173 z S2  145.944   16.620   99.000 30.6781 3.7528 20.5069 3.9414     0 0.94 
OBS: 57304.205 g S2   36.707    5.962   99.000 30.6810 3.4100 7.3600 3.8900     0 0.89 
OBS: 57304.208 r S2  119.566    6.556   99.000 30.7290 3.0000 10.9300 3.9200     0 1.05 
OBS: 57304.210 i S2  149.150    8.363   99.000 30.9900 2.9500 18.8300 3.9800     0 0.96 
OBS: 57304.212 z S2  151.565   14.006   99.000 30.6970 2.9600 25.7500 3.9100     0 1.07 
OBS: 57311.294 g S2   20.025    5.062   99.000 30.6680 2.3000 7.9300 3.9900     0 0.83 
OBS: 57311.296 r S2   77.721    5.473   99.000 30.7120 2.1800 11.9400 3.9700     0 0.96 
OBS: 57311.298 i S2  120.132    5.389   99.000 30.9700 1.9200 17.4600 4.0000     0 1.14 
OBS: 57311.300 z S2  139.598    6.817   99.000 30.6698 1.9830 17.3396 3.9162     0 1.02 
OBS: 57315.206 g S2   17.844    6.753   99.000 30.4770 3.1400 7.8800 3.9400     0 1.11 
OBS: 57315.208 r S2   65.828    9.056   99.000 30.4530 2.9600 12.0800 3.9500     0 0.84 
OBS: 57315.210 i S2  110.107   10.130   99.000 30.8220 2.7000 20.7000 4.0600     0 0.99 
OBS: 57315.213 z S2  107.680   14.321   99.000 30.6185 3.0434 20.4986 3.9346     0 1.01 
OBS: 57319.134 r S2   54.051   13.325   99.000 30.7130 2.4900 26.1200 4.0500     0 0.93 
OBS: 57319.137 i S2   93.774   11.617   99.000 30.9700 2.7500 31.7800 4.1000     0 0.98 
OBS: 57319.139 z S2   98.545   13.033   99.000 30.6485 2.6057 25.9192 3.9253     0 1.06 
OBS: 57325.115 z S2   96.939   30.602   99.000 30.6670 1.9100 50.8600 3.7700 65536 0.92 
OBS: 57329.169 g S2   11.547    4.459   99.000 30.6750 2.1700 7.5300 3.8800     0 0.89 
OBS: 57329.171 r S2   58.818    5.656   99.000 30.7140 2.4200 11.7600 3.9600     0 0.93 
OBS: 57329.173 i S2   72.841    7.100   99.000 30.9570 2.2400 21.4400 4.0300     0 0.84 
OBS: 57329.176 z S2   67.723    9.677   99.000 30.6331 2.3434 21.5408 3.9147     0 1.01 
OBS: 57339.117 g S2    5.041    5.634   99.000 30.6750 3.0300 7.6100 3.9400     0 0.97 
OBS: 57339.120 r S2   44.949    7.059   99.000 30.7070 3.3000 11.5400 3.9500     0 0.88 
OBS: 57339.122 i S2   42.333    9.525   99.000 30.9740 2.9500 20.5800 4.0500     0 1.01 
OBS: 57339.124 z S2   67.548   10.455   99.000 30.6953 2.6974 20.6946 3.9409     0 0.96 
OBS: 57345.227 g S2   24.310    5.484   99.000 30.6690 2.7800 7.7900 3.9400     0 1.08 
OBS: 57345.229 r S2   42.212    5.775   99.000 30.7230 2.8800 11.1600 3.9700     0 0.87 
OBS: 57345.231 i S2   26.262    9.462   99.000 30.9780 3.0200 20.5700 4.0700     0 0.90 
OBS: 57345.234 z S2   44.400   13.346   99.000 30.6819 3.1823 21.7530 3.9349     0 1.03 
OBS: 57355.210 g S2    4.862   11.775   99.000 30.6060 1.9900 23.7200 4.1200     0 1.00 
OBS: 57355.212 r S2   22.845    7.795   99.000 30.6750 1.8800 22.3000 4.0900     0 1.20 
OBS: 57355.214 i S2   44.743    7.995   99.000 30.9420 1.7700 29.5300 4.0700     0 0.90 
