SURVEY:              DES 
SNID: 1298281 
IAUC: UNKNOWN
FILTERS:             griz 
FAKE:                0 
RA:    40.267929
DECL:    -0.955257
TYPE:                 1    #  OVERRIDE 
PEAKMJD:              56929.175781    #  OVERRIDE 
PSF_UNIT:            SIGMA-PIXELS 
REDSHIFT_HELIO: 0.236 +- 0.005 
REDSHIFT_CMB: 0.2350813 +- 0.005 
VPEC: -28.272752 +- 250.0
PIXSIZE:             0.270 # arcsec 
MWEBV:       0.03410 
MWEBV_ERR:   0.00070 

HOSTGAL_OBJID:       32910 
HOSTGAL_PHOTOZ:      0.5574 +- 0.0369 
HOSTGAL_SPECZ:       -9.9900 +- -9.0000 
HOSTGAL_SNSEP:       1.02 
HOSTGAL_LOGMASS:      9.297 +- 0.0785    #  OVERRIDE 
HOSTGAL_MAG:         23.89 22.76 22.33 22.09 
HOSTGAL_SB_FLUXCAL:  4.83 13.95 23.54 25.68 


# Appended from HEADER-override file. 
PRIVATE(DES_mjd_latest_ml):      57003.045000 
PRIVATE(DES_mjd_trigger):        56927.280000 

# ---------------------- 
NOBS: 95
NVAR: 12
VARLIST:  MJD BAND FIELD FLUXCAL FLUXCALERR SIM_MAGOBS ZPFLUX PSF SKYSIG GAIN PHOTFLAG PHOTPROB
OBS: 56890.328 g S2    2.561    4.412   99.000 30.7290 2.3300 8.1700 3.8200     0 0.94 
OBS: 56890.331 r S2   -2.545    5.199   99.000 30.7690 2.0500 13.8000 3.7900     0 0.99 
OBS: 56890.333 i S2    6.001    8.789   99.000 31.0140 2.2900 25.5600 3.8200     0 0.93 
OBS: 56890.335 z S2  -11.733   10.479   99.000 30.7030 2.2452 24.6709 4.0100     0 0.92 
OBS: 56903.383 g S2   -2.301    6.239   99.000 30.4340 2.8000 8.1800 3.7800     0 0.96 
OBS: 56903.386 r S2    5.039    8.102   99.000 30.3790 2.4200 13.3800 3.8000     0 0.94 
OBS: 56903.388 i S2   24.941   13.344   99.000 30.3760 2.1600 26.9200 3.8400     0 0.94 
OBS: 56903.391 z S2    9.928   12.243   99.000 30.4532 2.2026 24.4212 4.0112     0 0.98 
OBS: 56915.265 g S2   36.542   16.589   99.000 30.7260 2.6500 18.9000 3.9800     0 0.93 
OBS: 56915.267 r S2   48.022   20.590   99.000 30.7590 2.5300 23.3800 3.8400     0 0.99 
OBS: 56915.269 i S2   -7.637   18.530   99.000 31.0010 2.5800 32.9000 3.8400     0 0.97 
OBS: 56915.272 z S2   17.070   12.327   99.000 30.6944 2.3793 24.9302 3.9816     0 1.03 
OBS: 56923.315 g S2  164.733    6.602   99.000 30.7210 3.6100 7.6700 3.7600     0 1.05 
OBS: 56923.318 r S2  200.868    8.267   99.000 30.7640 3.4000 11.9100 3.7500     0 0.87 
OBS: 56923.320 i S2  204.028    8.727   99.000 31.0080 3.1600 19.7300 3.7800     0 1.04 
OBS: 56923.323 z S2  158.418   11.756   99.000 30.6735 3.2056 18.1900 3.9901     0 0.96 
OBS: 56927.280 g S2  217.911    6.472   99.000 30.7440 3.0300 8.5400 3.8200     0 0.93 
OBS: 56927.283 r S2  260.845    7.749   99.000 30.7800 2.7200 12.6400 3.7700     0 0.94 
OBS: 56927.285 i S2  268.590    7.899   99.000 31.0150 2.3700 21.3400 3.9000     0 0.93 
OBS: 56927.287 z S2  172.465    8.980   99.000 30.6945 2.1002 20.7323 4.0399     0 0.93 
OBS: 56932.217 g S2  209.735    7.456   99.000 30.7250 2.7600 11.6500 3.9100     0 0.92 
OBS: 56932.220 r S2  287.942    7.141   99.000 30.7670 2.4500 13.6200 3.8100     0 0.84 
OBS: 56932.222 i S2  274.885    7.156   99.000 31.0210 2.2800 19.7300 3.8100     0 0.88 
OBS: 56932.224 z S2  177.454    7.630   99.000 30.7046 2.1577 16.8086 4.0243     0 0.90 
OBS: 56943.204 r S2  192.930   12.526   99.000 30.7750 2.3000 20.2400 3.8600     0 0.93 
OBS: 56943.206 i S2  174.649    9.084   99.000 31.0250 2.0000 27.1700 3.7900     0 0.89 
OBS: 56943.209 z S2   92.566    7.971   99.000 30.7160 1.8950 20.1740 4.0250     0 0.98 
OBS: 56952.118 g S2   27.645    4.903   99.000 30.6770 2.3900 8.5600 3.8400     0 1.03 
OBS: 56952.120 r S2  113.389    5.873   99.000 30.7370 2.1100 13.2800 3.7700     0 1.05 
OBS: 56952.122 i S2  139.129    7.891   99.000 30.9870 1.9800 25.7100 3.8700     0 0.82 
OBS: 56952.125 z S2  102.282   10.113   99.000 30.6589 2.0602 24.6284 4.0202     0 0.87 
OBS: 56957.104 g S2   27.140    8.881   99.000 30.6710 4.3900 8.8200 3.8800     0 0.96 
OBS: 56957.106 r S2  102.946   10.514   99.000 30.7350 3.9300 13.4800 3.8100     0 0.87 
OBS: 56957.108 i S2  132.518   11.388   99.000 31.0080 3.2900 23.7000 3.8700     0 0.90 
OBS: 56957.111 z S2  112.090   13.685   99.000 30.6581 3.0562 22.3885 4.0304     0 0.95 
OBS: 56959.100 g S2   18.502    5.856   99.000 30.6780 2.2800 11.0800 3.9000     0 1.03 
OBS: 56959.102 r S2   76.565    5.910   99.000 30.7370 2.0300 14.7200 3.8400     0 1.02 
OBS: 56959.105 i S2  135.417    8.045   99.000 30.9920 2.0100 25.6100 3.8500     0 0.93 
OBS: 56959.107 z S2  105.225    8.365   99.000 30.6689 1.7088 23.4020 4.0404     0 0.93 
OBS: 56964.215 g S2   -7.039   13.986   99.000 30.7080 2.2400 26.5100 4.0200     0 0.97 
OBS: 56964.218 r S2   61.280    9.139   99.000 30.7840 1.9000 25.7200 3.8700     0 0.98 
OBS: 56964.220 i S2   85.119    8.647   99.000 31.0050 2.0500 33.3400 3.8900     0 1.02 
OBS: 56964.223 z S2   79.019    9.923   99.000 30.6681 1.9500 26.8663 4.0255     0 0.98 
OBS: 56973.183 g S2    8.892    6.731   99.000 30.7180 2.0700 14.9600 3.9600     0 0.97 
OBS: 56973.185 r S2   44.011    5.485   99.000 30.7660 1.8100 15.9900 3.8500     0 0.99 
OBS: 56973.188 i S2   58.562    5.912   99.000 31.0080 1.6400 22.7500 3.8500     0 0.88 
OBS: 56973.190 z S2   56.518    6.391   99.000 30.6923 1.5900 20.2068 4.0446     0 0.92 
OBS: 56980.179 g S2    5.803    3.905   99.000 30.7160 1.7900 8.1500 3.8300     0 0.95 
OBS: 56980.181 r S2   29.336    4.170   99.000 30.7610 1.6500 12.7500 3.7800     0 1.00 
OBS: 56980.183 i S2   39.425    6.069   99.000 30.9940 1.4800 26.0000 3.8600     0 1.08 
OBS: 56980.185 z S2   33.593    7.656   99.000 30.6361 1.4596 24.4439 4.0400     0 0.88 
OBS: 56987.180 g S2   11.522    4.379   99.000 30.7410 2.1700 8.5000 3.8300     0 1.03 
OBS: 56987.182 r S2   22.244    4.288   99.000 30.7840 1.8700 12.5300 3.7800     0 0.82 
OBS: 56987.187 z S2   36.999    8.152   99.000 30.7154 1.7637 24.0239 4.0205     0 0.98 
OBS: 56990.181 g S2    1.170    7.532   99.000 30.4730 2.2000 12.3400 3.9700     0 0.92 
OBS: 56990.183 r S2   32.940    8.041   99.000 30.5110 2.1600 15.6700 3.8100     0 0.98 
OBS: 56990.185 i S2   52.300   16.291   99.000 30.0920 1.9800 27.6800 3.9600     0 1.04 
OBS: 56990.188 z S2   42.848   13.953   99.000 30.2292 2.0863 24.7282 4.0387     0 0.96 
OBS: 57001.147 g S2    0.533   16.903   99.000 30.7210 3.7100 19.8700 4.0000     0 1.04 
OBS: 57001.149 r S2    4.945   12.664   99.000 30.7740 3.4800 18.9900 3.8100     0 0.90 
OBS: 57001.151 i S2   17.735   13.980   99.000 31.0000 3.8000 26.9600 3.8200     0 0.98 
OBS: 57001.154 z S2   17.867   12.030   99.000 30.6770 2.7452 22.9314 4.0152     0 0.91 
OBS: 57003.043 g S2    7.373    4.420   99.000 30.7390 2.0700 9.1200 3.8400     0 1.00 
OBS: 57003.045 r S2   25.677    4.596   99.000 30.7750 1.9600 12.1400 3.7700     0 0.96 
OBS: 57003.047 i S2   17.034    5.920   99.000 31.0150 1.7400 23.4600 3.8800     0 0.89 
OBS: 57003.049 z S2    7.283    8.436   99.000 30.6905 1.8043 22.7927 4.0401     0 0.90 
OBS: 57011.071 g S2    7.459    3.662   99.000 30.7590 1.7800 8.0200 3.7900     0 0.93 
OBS: 57011.073 r S2   17.636    3.498   99.000 30.7970 1.5600 11.3400 3.7500     0 0.80 
OBS: 57011.075 i S2   14.098    5.230   99.000 31.0240 1.5600 22.4400 3.8500     0 0.87 
OBS: 57011.078 z S2    9.039    6.799   99.000 30.7099 1.5942 22.1776 4.0295     0 0.98 
OBS: 57018.043 g S2   11.462   10.290   99.000 30.7430 3.5900 13.8000 3.9400     0 0.97 
OBS: 57018.045 r S2   16.206   10.728   99.000 30.7520 3.9800 14.4200 3.7900     0 1.01 
OBS: 57018.047 i S2   17.725    9.927   99.000 31.0000 2.8400 24.7000 3.8100     0 0.93 
OBS: 57018.050 z S2   30.783   12.815   99.000 30.6420 3.0074 22.2486 4.0200     0 0.96 
OBS: 57019.045 r S2    3.419   10.527   99.000 30.7690 3.6500 16.3900 3.8400     0 0.90 
OBS: 57019.047 i S2    6.502   10.825   99.000 31.0010 3.1800 23.0200 3.8500     0 0.94 
OBS: 57019.050 z S2   12.863   12.015   99.000 30.6684 3.1997 18.8087 4.0649     0 0.99 
OBS: 57021.043 g S2   38.926   24.408   99.000 30.7310 2.3500 25.8500 3.9400     0 0.99 
OBS: 57021.047 i S2   10.448   16.952   99.000 31.0050 2.1000 32.2000 3.7600     0 0.89 
OBS: 57021.050 z S2   -2.278   11.150   99.000 30.6618 1.9400 24.5906 3.9632     0 0.95 
OBS: 57029.066 g S2    7.607   10.092   99.000 30.7340 2.3500 22.3900 4.0100     0 1.04 
OBS: 57029.068 r S2    7.057    8.478   99.000 30.7540 2.4400 21.1100 3.9300     0 1.04 
OBS: 57029.070 i S2    7.914    9.671   99.000 30.9840 2.4500 30.6300 3.8800     0 0.93 
OBS: 57029.072 z S2    1.748   11.525   99.000 30.6235 2.1646 26.4293 4.0401     0 1.01 
OBS: 57036.051 g S2    1.371    4.939   99.000 30.7130 2.6100 8.5000 3.8400     0 0.96 
OBS: 57036.053 r S2   10.280    4.490   99.000 30.7660 2.1000 11.8900 3.7700     0 0.88 
OBS: 57036.055 i S2    6.667    6.330   99.000 31.0050 2.1000 22.1200 3.8400     0 0.88 
OBS: 57036.058 z S2    8.485    9.084   99.000 30.6925 2.0467 22.2492 4.0295     0 0.97 
OBS: 57042.074 g S2   -4.722    6.461   99.000 30.6830 3.6200 8.0200 3.8200     0 0.97 
OBS: 57042.076 r S2   -1.784    6.484   99.000 30.7460 3.0600 11.4500 3.7400     0 0.94 
OBS: 57042.078 i S2   11.366    8.482   99.000 30.9830 2.6600 20.3300 3.8000     0 0.90 
OBS: 57042.081 z S2    2.665    9.501   99.000 30.6805 2.4717 19.8944 4.0347     0 0.95 
OBS: 57049.068 r S2  -39.066   23.004   99.000 30.6720 2.6700 31.4200 3.9100     0 1.00 
OBS: 57049.070 i S2  -10.736   15.495   99.000 30.9040 2.4900 41.6700 3.9500     0 1.06 
OBS: 57049.073 z S2   10.635   14.371   99.000 30.5102 2.1366 30.7234 4.0244     0 0.95 
