SURVEY:              DES 
SNID: 1308751 
IAUC: UNKNOWN
FILTERS:             griz 
FAKE:                0 
RA:    10.360195
DECL:   -44.080563
TYPE:                 101    #  OVERRIDE 
PEAKMJD:              57284.332031    #  OVERRIDE 
PSF_UNIT:            SIGMA-PIXELS 
REDSHIFT_HELIO: 0.3 +- 0.005 
REDSHIFT_CMB: 0.29908 +- 0.005 
VPEC: 14.523166 +- 250.0
PIXSIZE:             0.270 # arcsec 
MWEBV:       0.00710 
MWEBV_ERR:   0.00030 

HOSTGAL_OBJID:       -888 
HOSTGAL_PHOTOZ:      -9.0000 +- -9.0000 
HOSTGAL_SPECZ:       -9.0000 +- -9.0000 
HOSTGAL_SNSEP:       -9.00 
HOSTGAL_LOGMASS:      2.0 +- 2.0    #  OVERRIDE 
HOSTGAL_MAG:         888.00 888.00 888.00 888.00 
HOSTGAL_SB_FLUXCAL:  0.31 -0.33 -0.16 -0.57 


# Appended from HEADER-override file. 
PRIVATE(DES_mjd_latest_ml):      57329.033000 
PRIVATE(DES_mjd_trigger):        57283.129000 

# ---------------------- 
NOBS: 114
NVAR: 12
VARLIST:  MJD BAND FIELD FLUXCAL FLUXCALERR SIM_MAGOBS ZPFLUX PSF SKYSIG GAIN PHOTFLAG PHOTPROB
OBS: 57248.373 g E2    8.967    6.928   99.000 30.6740 4.2900 7.1400 3.3800     0 1.04 
OBS: 57248.375 r E2   -0.095    8.942   99.000 30.7280 4.2100 10.4500 3.6000     0 1.03 
OBS: 57248.378 i E2    9.453   14.208   99.000 31.0110 4.3000 19.4700 3.8400     0 0.98 
OBS: 57248.380 z E2  -21.327   15.634   99.000 30.6500 4.1101 18.9186 4.0401     0 0.96 
OBS: 57252.215 g E2    2.390    3.182   99.000 30.6620 2.3400 7.1600 3.3800     0 1.05 
OBS: 57252.218 r E2    6.043    4.522   99.000 30.7250 2.0600 10.4300 3.6200     0 1.10 
OBS: 57252.220 i E2   10.179    6.684   99.000 30.9710 2.2000 19.7900 3.8900     0 1.00 
OBS: 57252.223 z E2    6.790    8.310   99.000 30.6670 2.2205 19.8528 4.0400     0 0.90 
OBS: 57256.222 g E2    6.909    5.936   99.000 30.7080 4.1100 7.3900 3.4200     0 0.92 
OBS: 57256.225 r E2    3.260   11.126   99.000 30.7800 4.5100 10.8000 3.6000     0 0.87 
OBS: 57256.227 i E2   -2.441   13.136   99.000 31.0310 4.1900 19.2900 3.8400     0 1.02 
OBS: 57256.230 z E2   -0.243   13.905   99.000 30.6696 3.6856 20.0060 4.0100     0 1.01 
OBS: 57257.225 g E2   -6.190    6.124   99.000 30.4680 3.1600 8.4300 3.5700     0 1.04 
OBS: 57257.227 r E2  -10.106    9.906   99.000 30.2690 3.1600 11.2300 3.6600     0 0.98 
OBS: 57257.229 i E2    3.147   11.235   99.000 30.5530 2.8500 17.8200 3.8800     0 0.95 
OBS: 57257.232 z E2   10.948   10.580   99.000 30.3391 2.5630 16.0167 4.0400     0 0.98 
OBS: 57265.223 g E2  -44.281   32.400   99.000 30.6910 2.5500 36.3500 4.0000     0 0.97 
OBS: 57265.225 r E2   12.901   14.544   99.000 30.7190 2.2000 32.1500 3.8500     0 1.00 
OBS: 57265.227 i E2   -8.055   11.300   99.000 30.9800 2.2500 33.4000 3.9600     0 1.09 
OBS: 57265.230 z E2    3.838    8.258   99.000 30.6580 2.1450 20.6440 4.0050     0 0.96 
OBS: 57273.314 g E2   -1.744    3.212   99.000 30.6850 2.1900 7.5300 3.4500     0 1.03 
OBS: 57273.316 r E2    0.156    4.168   99.000 30.7370 2.1000 10.3400 3.6000     0 0.94 
OBS: 57273.320 z E2    8.736    5.452   99.000 30.6575 1.7880 15.4003 4.0452     0 0.92 
