SURVEY:              DES 
SNID: 1308884 
IAUC: UNKNOWN
FILTERS:             griz 
FAKE:                0 
RA:    52.746605
DECL:   -28.167975
TYPE:                 1    #  OVERRIDE 
PEAKMJD:              57291.207031    #  OVERRIDE 
PSF_UNIT:            SIGMA-PIXELS 
REDSHIFT_HELIO: 0.077 +- 0.0005 
REDSHIFT_CMB: 0.0765838 +- 0.0005 
VPEC: 15.382295 +- 250.0
PIXSIZE:             0.270 # arcsec 
MWEBV:       0.00890 
MWEBV_ERR:   0.00040 

HOSTGAL_OBJID:       6442 
HOSTGAL_PHOTOZ:      0.0532 +- 0.0228 
HOSTGAL_SPECZ:       0.0776 +- -9.0000 
HOSTGAL_SNSEP:       5.85 
HOSTGAL_LOGMASS:      10.228 +- 0.128    #  OVERRIDE 
HOSTGAL_MAG:         19.23 18.59 18.28 18.10 
HOSTGAL_SB_FLUXCAL:  47.18 69.19 84.14 95.55 


# Appended from HEADER-override file. 
PRIVATE(DES_mjd_latest_ml):      57408.092000 
PRIVATE(DES_mjd_trigger):        57278.247000 

# ---------------------- 
NOBS: 96
NVAR: 12
VARLIST:  MJD BAND FIELD FLUXCAL FLUXCALERR SIM_MAGOBS ZPFLUX PSF SKYSIG GAIN PHOTFLAG PHOTPROB
OBS: 57249.403 g C3    4.623    3.556   99.000 30.8509 2.3104 4.5091 3.6268     0 0.65 
OBS: 57249.411 r C3    1.786    4.179   99.000 31.7966 2.1157 12.4091 3.9100     0 0.40 
OBS: 57250.291 r C3    3.143    5.568   99.000 31.2057 2.4663 11.0571 3.9624     0 0.68 
OBS: 57250.305 i C3    4.152    7.424   99.000 30.7155 2.4528 12.2467 4.1390     0 0.76 
OBS: 57253.285 z C3   11.786    3.915   99.000 31.2198 2.3705 10.1026 4.0473     0 0.64 
OBS: 57255.334 g C3   -0.207    4.788   99.000 30.4486 2.3942 4.7159 3.6674     0 0.78 
OBS: 57255.370 r C3    0.093    4.968   99.000 31.1981 2.2181 10.9751 3.9368     0 0.68 
OBS: 57257.283 i C3   10.368    4.879   99.000 31.5184 2.5954 11.6035 4.0196 65536 0.54 
OBS: 57265.302 z C3   -5.924    3.613   99.000 31.2218 1.9788 12.4212 4.0682 32768 0.71 
OBS: 57265.347 r C3   -9.798    5.927   99.000 31.8140 2.3459 25.6184 4.0600     0 0.69 
OBS: 57266.247 i C3    9.645    4.859   99.000 31.5995 2.2948 17.9845 4.1570     0 0.63 
OBS: 57268.254 g C3  -29.412   12.217   99.000 30.7373 2.5163 16.5063 4.1274     0 0.90 
OBS: 57276.324 r C3   24.651    4.714   99.000 31.8097 3.0118 8.9123 3.8437     0 0.49 
OBS: 57277.321 z C3   56.173    2.672   99.000 31.2230 1.6441 10.0503 4.0443     0 0.69 
OBS: 57277.368 i C3   42.519    2.914   99.000 31.6323 1.9213 10.9141 4.0166     0 0.50 
OBS: 57278.247 g C3   94.991    3.563   99.000 30.8167 2.1795 4.4725 3.6100     0 0.68 
OBS: 57283.275 r C3  757.508    4.795   99.000 31.8000 2.0391 11.5254 3.8800     0 0.58 
OBS: 57284.354 i C3  807.100    4.202   99.000 31.5564 2.0866 11.3052 4.0389 32768 0.54 
OBS: 57287.190 z C3 1171.464    6.342   99.000 31.1690 3.1736 9.7834 4.0540 32768 0.71 
OBS: 57287.252 g C3 1485.553    8.617   99.000 30.8335 3.1948 5.7421 3.6601 32768 0.96 
OBS: 57287.352 r C3 1573.342    6.262   99.000 31.8129 3.2657 9.1490 3.8668     0 0.63 
OBS: 57288.300 r C3 1752.867   11.614   99.000 31.8050 3.5600 15.9100 3.8600 32768 1.10 
OBS: 57288.317 i C3 1511.727    5.918   99.000 31.6190 3.2005 11.1866 4.0138     0 0.76 
OBS: 57291.206 r C3 2050.851    9.840   99.000 31.6806 2.5816 29.5634 4.0500     0 0.83 
OBS: 57292.181 z C3 1382.030    7.944   99.000 31.2033 3.2330 15.1028 4.0276 32768 0.79 
OBS: 57292.227 i C3 1561.938    7.395   99.000 31.6192 2.9365 20.1207 4.1561     0 0.76 
OBS: 57297.247 g C3 1819.891   11.072   99.000 30.8735 3.1637 13.3866 4.0769     0 0.99 
OBS: 57297.346 r C3 2094.768    7.905   99.000 31.8013 2.8740 20.1262 4.0035     0 0.66 
OBS: 57297.364 i C3 1351.603    5.531   99.000 31.6259 2.6300 16.0306 4.1424     0 0.63 
OBS: 57299.156 z C3 1056.863    8.215   99.000 30.2761 2.3174 12.3954 4.1004     0 0.88 
OBS: 57302.241 g C3 1263.279    5.295   99.000 30.8594 2.2389 4.1915 3.5200     0 0.78 
OBS: 57302.251 r C3 1656.860    5.203   99.000 31.7930 2.4857 9.2914 3.8500     0 0.58 
OBS: 57302.267 i C3  931.160    4.586   99.000 31.6340 2.6429 10.3784 4.0057     0 0.51 
OBS: 57304.307 z C3  890.237    6.409   99.000 30.6980 2.5526 9.1748 4.0747     0 0.75 
OBS: 57311.207 g C3  502.473    4.072   99.000 30.8368 2.1142 4.2936 3.5532     0 0.77 
OBS: 57311.216 r C3 1162.234    4.074   99.000 31.7916 1.9394 8.6446 3.8501     0 0.49 
OBS: 57311.233 i C3  841.911    3.119   99.000 31.6154 1.7762 8.6415 3.9784     0 0.43 
OBS: 57311.306 z C3  892.354    3.354   99.000 31.0719 1.6751 9.5340 4.0588     0 0.71 
OBS: 57317.161 g C3  303.109    5.651   99.000 30.8146 2.2215 9.8473 4.0666     0 0.84 
OBS: 57317.190 r C3  937.616    4.466   99.000 31.7846 2.0216 14.4719 3.9363     0 0.56 
OBS: 57318.107 i C3  898.573    5.916   99.000 31.5894 2.8338 16.5319 4.1195     0 0.73 
OBS: 57318.130 z C3  840.114    5.165   99.000 31.1816 2.5424 12.5211 4.0596     0 0.70 
OBS: 57325.182 r C3  565.124    5.153   99.000 31.7786 1.7352 23.8464 4.0500     0 0.74 
OBS: 57327.086 g C3  165.033    4.676   99.000 30.7718 2.7130 4.5726 3.6334     0 0.75 
OBS: 57327.095 i C3  506.182    4.472   99.000 31.5962 2.1974 14.4343 4.0666 32768 0.59 
OBS: 57327.134 z C3  482.166    3.454   99.000 31.1875 1.8729 10.8663 4.0640     0 0.70 
OBS: 57329.195 r C3  457.765    4.710   99.000 31.7931 2.6698 9.7282 3.8652     0 0.47 
OBS: 57331.191 g C3  139.961    3.588   99.000 30.8591 2.2250 4.2608 3.5464     0 0.71 
OBS: 57331.216 i C3  412.583    4.321   99.000 31.6292 2.5541 11.0592 3.9915     0 0.50 
OBS: 57331.242 z C3  371.281    3.770   99.000 31.2388 2.0982 10.6756 4.0531     0 0.64 
