SURVEY:              DES 
SNID: 1310338 
IAUC: UNKNOWN
FILTERS:             griz 
FAKE:                0 
RA:    35.041988
DECL:    -6.376677
TYPE:                 1    #  OVERRIDE 
PEAKMJD:              56976.230469    #  OVERRIDE 
PSF_UNIT:            SIGMA-PIXELS 
REDSHIFT_HELIO: 0.44 +- 0.005 
REDSHIFT_CMB: 0.4388345 +- 0.005 
VPEC: -14.143832 +- 250.0
PIXSIZE:             0.270 # arcsec 
MWEBV:       0.02730 
MWEBV_ERR:   0.00030 

HOSTGAL_OBJID:       -888 
HOSTGAL_PHOTOZ:      -9.0000 +- -9.0000 
HOSTGAL_SPECZ:       -9.0000 +- -9.0000 
HOSTGAL_SNSEP:       -9.00 
HOSTGAL_LOGMASS:      2.0 +- 2.0    #  OVERRIDE 
HOSTGAL_MAG:         888.00 888.00 888.00 888.00 
HOSTGAL_SB_FLUXCAL:  0.81 0.18 -0.02 0.19 


# Appended from HEADER-override file. 
PRIVATE(DES_mjd_latest_ml):      57019.089000 
PRIVATE(DES_mjd_trigger):        56973.073000 

# ---------------------- 
NOBS: 98
NVAR: 12
VARLIST:  MJD BAND FIELD FLUXCAL FLUXCALERR SIM_MAGOBS ZPFLUX PSF SKYSIG GAIN PHOTFLAG PHOTPROB
OBS: 56923.302 g X2   -2.714    4.871   99.000 30.7280 3.7200 7.2000 4.1100     0 1.12 
OBS: 56923.304 r X2   -0.423    8.127   99.000 30.7250 3.3600 12.1900 3.9700     0 0.91 
OBS: 56923.309 z X2   -5.373   11.157   99.000 30.6674 2.9879 18.6816 4.0655     0 0.91 
OBS: 56924.180 g X2    3.050    3.450   99.000 30.7250 2.4400 7.0100 4.0700     0 0.97 
OBS: 56924.182 r X2    5.632    5.235   99.000 30.7540 2.6700 10.6400 3.9400     0 0.89 
OBS: 56924.187 z X2   -0.563    6.504   99.000 30.6797 2.0142 17.1321 4.0494     0 0.94 
OBS: 56931.161 g X2    7.779    7.073   99.000 30.7020 3.0200 11.4300 4.2900     0 0.88 
OBS: 56931.163 r X2   -2.465    7.423   99.000 30.7490 2.8700 14.1900 4.0400     0 0.98 
OBS: 56931.168 z X2    2.683    9.269   99.000 30.6614 2.0940 24.1137 4.0344     0 0.89 
OBS: 56934.371 i X2  -19.472   14.428   99.000 30.9920 4.3900 24.2600 4.0100     0 0.85 
OBS: 56934.372 z X2  -32.821   30.421   99.000 30.6730 4.4400 34.3800 4.0100 65536 1.02 
OBS: 56936.361 g X2   -4.950    9.190   99.000 30.6930 2.6900 16.0000 4.3600     0 0.92 
OBS: 56936.363 r X2    4.188    9.174   99.000 30.7210 2.3600 19.0500 4.0600     0 0.88 
OBS: 56936.368 z X2   -1.435    9.129   99.000 30.7097 2.0857 23.7442 4.0395     0 0.91 
OBS: 56943.245 g X2   13.751    8.879   99.000 30.7410 2.3400 17.6100 4.3400     0 1.01 
OBS: 56943.247 r X2   -9.935    6.375   99.000 30.7710 1.8900 17.1000 4.0700     0 0.82 
OBS: 56943.249 i X2   10.005    5.765   99.000 31.0230 1.9000 20.6500 4.1000     0 0.87 
OBS: 56943.251 z X2   11.161    5.595   99.000 30.7137 1.9287 16.7265 4.0513     0 0.95 
OBS: 56949.112 g X2    6.398    7.539   99.000 30.1470 2.8700 8.5800 3.8900     0 1.01 
OBS: 56949.115 r X2   -5.909   12.274   99.000 29.8350 2.4900 13.9900 4.0300     0 1.04 
OBS: 56949.119 z X2    3.164   16.576   99.000 29.9148 2.1870 21.3551 4.0938     0 0.96 
OBS: 56956.203 g X2   -2.113    4.009   99.000 30.5770 2.0900 8.7500 4.1600     0 1.01 
OBS: 56956.206 r X2   10.126    4.738   99.000 30.6270 1.8400 12.8200 3.9900     0 0.90 
OBS: 56956.208 i X2   18.077    6.827   99.000 30.8090 1.7900 22.6900 4.0600     0 0.93 
OBS: 56956.211 z X2    5.840    8.020   99.000 30.5610 1.7061 21.7678 4.0661     0 0.96 
OBS: 56960.226 g X2   11.612    4.450   99.000 30.7370 3.0900 7.9000 4.1300     0 0.90 
OBS: 56960.233 z X2   27.692   10.940   99.000 30.6662 2.8614 20.8539 4.0852     0 0.99 
OBS: 56973.073 g X2   50.623    3.467   99.000 30.7020 2.0400 7.7900 4.1100     0 1.08 
OBS: 56973.075 r X2  135.907    5.078   99.000 30.7470 2.0100 11.4900 3.9800     0 0.93 
OBS: 56973.077 i X2  134.376    6.510   99.000 30.9900 1.8800 20.8700 4.1300     0 0.95 
OBS: 56973.078 z X2  112.661   10.752   99.000 30.6670 1.9600 29.9100 4.0600 65536 0.98 
OBS: 56980.066 g X2   45.927    3.243   99.000 30.7060 1.8400 7.8300 4.1200     0 0.94 
OBS: 56980.068 r X2  132.853    4.697   99.000 30.7430 1.7900 12.5400 3.9700     0 1.00 
OBS: 56980.070 i X2  145.888    7.837   99.000 30.9820 1.9200 25.9800 4.0600     0 0.90 
OBS: 56980.072 z X2  110.467    8.901   99.000 30.6411 1.7315 25.5933 4.0563     0 0.93 
OBS: 56987.071 g X2   26.082    3.518   99.000 30.7520 2.2300 8.1400 4.1500     0 0.97 
OBS: 56987.073 r X2  115.862    5.352   99.000 30.7770 2.1000 11.8000 3.9500     0 0.97 
OBS: 56987.075 i X2  127.076    6.328   99.000 31.0120 1.8600 22.0200 4.0700     0 0.95 
OBS: 56987.077 z X2   95.923    7.595   99.000 30.6998 1.8936 21.9026 4.0547     0 0.95 
OBS: 56990.071 g X2   24.674   26.052   99.000 29.7610 2.5300 20.6600 4.2900     0 0.97 
OBS: 56990.074 r X2   83.603   30.965   99.000 29.6640 2.2700 28.4800 4.1100     0 0.92 
OBS: 56990.080 z X2   94.029   19.763   99.000 30.1960 1.8500 35.1500 4.0700 32768 0.82 
OBS: 56991.125 r X2   73.130   13.725   99.000 30.7640 4.5500 17.1800 4.0600     0 1.08 
OBS: 56991.127 i X2  102.684   18.218   99.000 31.0210 4.3500 26.5200 4.0100     0 0.98 
OBS: 56991.130 z X2   71.967   19.296   99.000 30.6972 4.2142 24.2978 4.0381     0 0.93 
OBS: 56992.061 g X2   12.922   10.376   99.000 30.7290 2.4500 20.9300 4.4000     0 0.95 
OBS: 56992.064 r X2   72.598    8.161   99.000 30.7550 2.2100 20.7600 4.1100     0 0.98 
OBS: 56992.066 i X2   96.524    9.114   99.000 31.0210 2.0900 28.4200 4.0900     0 0.88 
OBS: 56992.068 z X2   88.013    8.708   99.000 30.7514 2.0084 25.1022 4.0454     0 1.01 
OBS: 57001.226 g X2   22.015   17.012   99.000 30.6300 2.7500 24.9300 4.4400     0 0.94 
OBS: 57001.228 r X2   34.588   11.845   99.000 30.7020 2.4000 23.3700 4.0900     0 0.96 
OBS: 57001.230 i X2   58.903   10.222   99.000 30.9470 2.2000 29.3600 4.0900     0 0.85 
OBS: 57001.232 z X2   69.402   11.122   99.000 30.6140 2.4133 23.8089 4.0460     0 0.97 
OBS: 57005.072 g X2    2.082    4.960   99.000 30.7700 3.3100 7.7600 4.1400     0 0.98 
OBS: 57005.079 z X2   48.248   12.236   99.000 30.7009 2.6864 23.4670 4.0391     0 0.88 
OBS: 57012.054 g X2    2.101    7.359   99.000 30.5980 4.2900 7.6600 4.1800     0 0.92 
OBS: 57012.056 r X2   19.448    9.132   99.000 30.6320 4.0400 10.6500 3.9500     0 0.97 
OBS: 57012.060 z X2   26.314   12.339   99.000 30.6916 3.5551 18.0700 4.0200     0 1.00 
OBS: 57014.056 g X2    3.481    3.866   99.000 30.7400 2.5500 8.0500 4.1500     0 0.92 
OBS: 57014.058 r X2   25.022    4.907   99.000 30.7560 2.3200 10.9000 3.9700     0 0.94 
OBS: 57014.060 i X2   50.729    6.423   99.000 30.9830 2.1900 19.5000 4.0000     0 1.03 
OBS: 57014.063 z X2   52.484    8.209   99.000 30.6873 2.1107 19.7456 4.0833     0 0.90 
OBS: 57019.084 g X2   -7.609    8.932   99.000 30.7350 3.2100 13.6800 4.3700     0 0.90 
OBS: 57019.087 r X2   13.778    9.081   99.000 30.7260 3.0800 15.0600 4.0200     0 0.99 
OBS: 57019.091 z X2   44.398    8.913   99.000 30.6412 2.4961 18.7451 4.0894     0 0.97 
OBS: 57026.091 g X2   11.288   18.199   99.000 30.6290 2.3900 33.7800 4.4300     0 1.03 
OBS: 57026.094 r X2   -2.213   12.682   99.000 30.6990 2.1700 30.6400 4.1200     0 1.06 
OBS: 57026.098 z X2   26.602    9.305   99.000 30.6130 1.8748 25.9296 4.0748     0 0.97 
OBS: 57033.040 g X2    7.173    6.576   99.000 30.7030 2.5300 14.4400 4.3800     0 0.89 
OBS: 57033.042 r X2   11.633    6.073   99.000 30.7350 2.2100 15.0400 4.0300     0 0.95 
OBS: 57033.046 z X2   27.632    9.093   99.000 30.6855 1.8450 26.3322 4.0751     0 0.93 
OBS: 57040.043 g X2   -3.324    6.547   99.000 30.7170 3.2900 10.7000 4.2600     0 0.93 
OBS: 57040.049 r X2    9.969    5.725   99.000 30.7430 2.4700 11.3800 3.9400     0 0.91 
OBS: 57040.054 z X2   21.294    8.858   99.000 30.6768 2.2648 20.1980 4.0600     0 0.94 
OBS: 57045.046 g X2   -3.718    6.045   99.000 30.7280 3.3800 8.9500 4.2400     0 1.00 
OBS: 57045.048 r X2   22.627    7.135   99.000 30.7280 3.0100 12.6800 4.0100     0 1.00 
