SURVEY:              DES 
SNID: 1330031 
IAUC: UNKNOWN
FILTERS:             griz 
FAKE:                0 
RA:     9.140839
DECL:   -43.487255
TYPE:                 1    #  OVERRIDE 
PEAKMJD:              57311.640625    #  OVERRIDE 
PSF_UNIT:            SIGMA-PIXELS 
REDSHIFT_HELIO: 0.10643 +- 0.0005 
REDSHIFT_CMB: 0.105629 +- 0.0005 
VPEC: 32.667717 +- 250.0
PIXSIZE:             0.270 # arcsec 
MWEBV:       0.00710 
MWEBV_ERR:   0.00050 

HOSTGAL_OBJID:       21946 
HOSTGAL_PHOTOZ:      0.1644 +- 0.0416 
HOSTGAL_SPECZ:       0.1063 +- -9.0000 
HOSTGAL_SNSEP:       1.78 
HOSTGAL_LOGMASS:      8.941 +- 0.139    #  OVERRIDE 
HOSTGAL_MAG:         21.39 20.83 20.56 20.43 
HOSTGAL_SB_FLUXCAL:  30.95 49.21 81.27 76.25 


# Appended from HEADER-override file. 
PRIVATE(DES_mjd_latest_ml):      57407.044000 
PRIVATE(DES_mjd_trigger):        57301.033000 

# ---------------------- 
NOBS: 142
NVAR: 12
VARLIST:  MJD BAND FIELD FLUXCAL FLUXCALERR SIM_MAGOBS ZPFLUX PSF SKYSIG GAIN PHOTFLAG PHOTPROB
OBS: 57256.209 g E1    4.999    7.949   99.000 30.7870 4.4300 6.9800 3.9600     0 0.72 
OBS: 57256.211 r E1  -20.139    9.298   99.000 30.7560 3.9000 10.6100 3.7800     0 0.83 
OBS: 57256.213 i E1  -29.344   16.536   99.000 30.9670 4.2600 19.9900 3.8500     0 0.69 
OBS: 57256.216 z E1   21.124   20.272   99.000 30.6570 4.0045 19.5407 4.1905     0 0.83 
OBS: 57256.222 g E2   -5.008    6.379   99.000 30.7090 4.1300 6.8600 3.9900     0 0.94 
OBS: 57256.225 r E2   26.796   12.478   99.000 30.7090 4.5300 10.7200 3.6000     0 0.79 
OBS: 57256.227 i E2   -5.934   14.758   99.000 30.9640 4.2200 19.4200 3.8200     0 0.78 
OBS: 57256.229 z E2   37.968   16.456   99.000 30.6796 3.6485 19.8327 4.0193     0 0.81 
OBS: 57257.214 r E1  -18.132    7.793   99.000 30.5990 2.5600 12.1100 3.8200     0 0.77 
OBS: 57257.216 i E1  -24.471    9.367   99.000 30.7800 2.3800 19.7000 3.8900     0 0.77 
OBS: 57257.219 z E1  -33.390   10.442   99.000 30.5142 2.4043 16.0542 4.2000     0 0.89 
OBS: 57257.225 g E2    7.871    5.958   99.000 30.4510 3.1700 7.9300 4.0500     0 0.87 
OBS: 57257.227 r E2    4.174   10.519   99.000 30.2920 3.1600 11.1600 3.6900     0 0.80 
OBS: 57257.229 i E2    3.748   11.611   99.000 30.5650 2.8500 17.9200 3.8600     0 0.88 
OBS: 57257.232 z E2   26.226   11.144   99.000 30.3479 2.5737 16.0530 4.0320     0 0.88 
OBS: 57265.209 g E1 -131.910   24.085   99.000 30.8210 2.5500 35.7600 4.3000     0 0.98 
OBS: 57265.212 r E1  -28.204   17.933   99.000 30.7740 2.4600 32.0500 3.9400     0 0.82 
OBS: 57265.214 i E1  -33.506   13.055   99.000 30.9960 2.2500 33.7200 3.9500     0 0.93 
OBS: 57265.217 z E1  -24.306   10.947   99.000 30.6739 2.2210 20.6298 4.2100     0 0.80 
OBS: 57265.223 g E2   -1.084   23.520   99.000 30.7530 2.6000 35.5900 4.2600     0 0.90 
OBS: 57265.225 r E2   11.715   13.748   99.000 30.7280 2.2100 32.4400 3.8200     0 0.88 
OBS: 57265.227 i E2   11.591   13.211   99.000 30.9880 2.2700 33.6900 3.9200     0 0.93 
OBS: 57265.230 z E2   15.628    9.410   99.000 30.6678 2.1344 20.6014 4.0300     0 0.86 
OBS: 57273.096 r E1    5.892    8.938   99.000 30.6900 3.3400 11.5400 3.8100     0 0.87 
OBS: 57273.098 i E1  -40.474   14.636   99.000 30.9200 3.2100 23.8700 3.8900     0 0.73 
OBS: 57273.101 z E1  -49.300   18.348   99.000 30.5960 3.4322 22.0704 4.1963     0 0.76 
OBS: 57273.314 g E2   -2.246    3.393   99.000 30.6740 2.2100 7.1300 3.9400     0 1.13 
OBS: 57273.316 r E2    8.564    4.661   99.000 30.7380 2.1100 10.4300 3.6500     0 1.07 
OBS: 57273.318 i E2    6.847    4.552   99.000 30.9850 1.8700 16.1700 3.8200     0 1.10 
OBS: 57273.320 z E2   12.249    5.909   99.000 30.6725 1.7681 15.5421 4.0300     0 0.99 
OBS: 57277.091 z E1  -64.981   13.401   99.000 30.6265 2.9017 17.8925 4.1987     0 0.65 
OBS: 57278.185 g E2    3.506    3.293   99.000 30.6990 2.4100 6.6600 3.9400     0 0.86 
OBS: 57278.188 r E2   12.669    4.637   99.000 30.7410 2.2400 9.6700 3.6100     0 1.11 
OBS: 57278.190 i E2    7.683    5.819   99.000 30.9870 2.2100 15.9900 3.8200     0 1.07 
OBS: 57278.192 z E2   -0.021    6.945   99.000 30.6824 2.1430 15.4426 4.0307     0 0.93 
OBS: 57283.100 z E1   -8.413   33.683   99.000 29.7440 1.9700 30.4100 4.2600 65536 0.62 
OBS: 57283.129 g E2   10.678    6.964   99.000 29.9350 2.5800 6.9900 4.0200     0 0.95 
OBS: 57283.131 r E2    1.514   10.712   99.000 30.1020 2.7700 10.9400 3.7100     0 0.93 
OBS: 57283.133 i E2   17.808   13.101   99.000 30.4160 2.8600 19.1500 3.8600     0 0.92 
OBS: 57283.136 z E2   67.922   17.448   99.000 30.0441 2.5134 18.6204 4.1001     0 0.90 
OBS: 57287.065 z E1  -36.589   31.889   99.000 30.5960 3.5700 29.6700 4.2100 65536 0.72 
OBS: 57287.069 g E2   33.383   16.076   99.000 30.6450 4.5000 15.7100 4.2100     0 0.77 
OBS: 57287.072 r E2   26.996   16.497   99.000 30.6950 4.2100 16.7000 3.7300     0 0.82 
OBS: 57287.074 i E2   26.971   14.395   99.000 30.9430 3.7900 23.2300 3.8700     0 0.81 
OBS: 57287.076 z E2   36.360   15.578   99.000 30.5833 3.3559 21.0763 4.0245     0 0.80 
OBS: 57288.070 i E2   18.370   20.888   99.000 30.9300 4.4900 26.1400 3.8500     0 0.83 
OBS: 57288.073 z E2   43.442   20.260   99.000 30.6016 4.2308 20.7959 3.9953     0 0.83 
OBS: 57290.065 r E2   42.808   38.114   99.000 30.8800 4.5000 30.2300 3.8000     0 0.88 
OBS: 57290.067 i E2   14.604   38.345   99.000 30.9420 4.4300 35.2400 3.9200     0 0.79 
