SURVEY:              DES 
SNID: 1337649 
IAUC: UNKNOWN
FILTERS:             griz 
FAKE:                0 
RA:    43.404419
DECL:     0.510183
TYPE:                 1    #  OVERRIDE 
PEAKMJD:              57361.125000    #  OVERRIDE 
PSF_UNIT:            SIGMA-PIXELS 
REDSHIFT_HELIO: 0.26238 +- 0.0005 
REDSHIFT_CMB: 0.2615051 +- 0.0005 
VPEC: -26.40559 +- 250.0
PIXSIZE:             0.270 # arcsec 
MWEBV:       0.08850 
MWEBV_ERR:   0.00140 

HOSTGAL_OBJID:       42238 
HOSTGAL_PHOTOZ:      0.4872 +- 0.0531 
HOSTGAL_SPECZ:       -9.9900 +- -9.0000 
HOSTGAL_SNSEP:       0.50 
HOSTGAL_LOGMASS:      8.682 +- 0.0315    #  OVERRIDE 
HOSTGAL_MAG:         23.89 23.11 22.91 22.80 
HOSTGAL_SB_FLUXCAL:  4.19 9.27 12.53 15.49 


# Appended from HEADER-override file. 
PRIVATE(DES_mjd_latest_ml):      57408.055000 
PRIVATE(DES_mjd_trigger):        57355.223000 

# ---------------------- 
NOBS: 67
NVAR: 12
VARLIST:  MJD BAND FIELD FLUXCAL FLUXCALERR SIM_MAGOBS ZPFLUX PSF SKYSIG GAIN PHOTFLAG PHOTPROB
OBS: 57303.182 r S1   -3.017    8.050   99.000 30.6800 3.5300 11.5900 3.6500     0 0.97 
OBS: 57303.184 i S1  -28.135   11.229   99.000 30.9710 3.6100 20.4300 3.7700     0 1.00 
OBS: 57303.187 z S1   -1.961   18.423   99.000 30.6351 4.0388 18.8843 4.0253     0 0.97 
OBS: 57304.254 g S1    9.106   10.427   99.000 30.1000 3.8100 8.0700 3.6900     0 0.88 
OBS: 57304.257 r S1  -19.077   13.469   99.000 30.0450 3.5100 12.5200 3.7300     0 1.06 
OBS: 57304.259 i S1  -12.091   14.423   99.000 30.4470 3.2500 19.8800 3.8000     0 0.83 
OBS: 57304.260 z S1  -50.255   27.176   99.000 30.2180 3.4600 26.7300 4.0600 65536 0.96 
OBS: 57305.265 g S1   -2.972    7.589   99.000 30.1800 3.4700 8.0600 3.6600     0 0.92 
OBS: 57305.267 r S1  -11.324    7.931   99.000 30.6860 3.3500 11.5500 3.6500     0 1.00 
OBS: 57305.269 i S1    2.993    7.592   99.000 30.9600 2.9300 17.9200 3.7500     0 0.95 
OBS: 57305.272 z S1    7.746    8.017   99.000 30.6219 2.4170 16.0244 3.9900     0 1.01 
OBS: 57312.138 g S1   -1.157    5.468   99.000 30.5470 3.1500 8.4600 3.6400     0 1.18 
OBS: 57312.140 r S1    4.096    9.279   99.000 30.6770 2.9000 14.1400 3.7000     0 1.00 
OBS: 57312.142 i S1  -11.232   13.354   99.000 30.9420 3.2000 27.5600 3.8100     0 0.88 
OBS: 57312.145 z S1   -2.627   15.563   99.000 30.6290 2.8824 25.8828 3.9904     0 0.95 
OBS: 57318.178 g S1  -17.677   15.667   99.000 30.6190 3.6200 20.7900 3.8500     0 0.87 
OBS: 57318.180 r S1   -0.047   12.491   99.000 30.6530 3.3600 20.3500 3.7300     0 1.12 
OBS: 57318.182 i S1  -12.033   11.004   99.000 30.9480 3.1200 27.6600 3.8700     0 0.93 
OBS: 57318.185 z S1  -27.153   15.173   99.000 30.6216 3.1768 23.7232 3.9705     0 1.02 
OBS: 57325.212 g S1   19.705   22.634   99.000 30.6260 1.9600 34.4700 3.8400     0 0.93 
OBS: 57325.214 r S1   -6.841   11.415   99.000 30.7050 1.8300 33.7300 3.8000     0 1.05 
OBS: 57325.216 i S1   18.423   10.014   99.000 30.9660 1.6900 39.7300 3.8900     0 0.93 
OBS: 57325.219 z S1    4.416   14.108   99.000 30.6480 1.7700 40.7600 3.9800     0 0.94 
