SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: 2016W 
IAUC: 2016W
RA:    37.665487
DECL:    42.235968 
RA_HOST:    37.660433
DEC_HOST:    42.232266
MWEBV: 0.0594 
FILTERS: griz
REDSHIFT_HELIO: 0.019253 +- 6.7e-05 
REDSHIFT_CMB: 0.0185545 +- 6.7e-05 
VPEC: -411.4148 +- 250.0
SEARCH_PEAKMJD: 57420.27211796 
HOSTGAL_LOGMASS: 11.388 +- 0.002
NOBS: 29
NVAR: 8
VARLIST:    MJD    FLT    FIELD    FLUXCAL    FLUXCALERR    MAG    MAGERR    FWHM    FLAG
OBS: 57410.29056403 g MD  23285.733 322.269 16.5822752164 0.0149469428341 6.26 0
OBS: 57415.25541351 g MD  41770.651 262.318 15.9478218904 0.00678235634872 4.74 0
OBS: 57420.27171116 g MD  40402.139 269.731 15.9839891039 0.00721024894251 5.96 0
OBS: 57427.25693315 g MD  28340.979 226.54 16.3689628793 0.00863284221762 6.10 0
OBS: 57434.23639496 g MD  13181.22 195.306 17.2001109784 0.0160023487962 4.54 0
OBS: 57443.23042958 g MD  6054.215 143.081 18.0448554006 0.0255239498432 3.77 0
OBS: 57451.23296557 g MD  3936.091 116.769 18.5123371738 0.0320395336388 4.24 0
OBS: 57410.29097242 r MD  25857.921 238.575 16.4685159893 0.00996449018465 4.98 0
OBS: 57415.25580999 r MD  41214.465 225.295 15.9623758333 0.00590371851242 4.61 0
OBS: 57420.27211796 r MD  43751.993 255.19 15.8975053978 0.00629926047026 5.05 0
OBS: 57427.25733773 r MD  31990.943 215.712 16.237432395 0.00728234113011 6.10 0
OBS: 57434.23680115 r MD  25557.53 200.612 16.4812028019 0.00847738259527 4.48 0
OBS: 57443.23084487 r MD  16758.223 160.484 16.9394300869 0.0103425476556 3.70 0
OBS: 57451.23338799 r MD  10335.972 129.279 17.4641216896 0.0135082912376 3.76 0
OBS: 57410.29132188 i MD  23084.719 217.925 16.5916885189 0.0101954457405 5.04 0
OBS: 57415.25616924 i MD  32536.773 210.06 16.2190638066 0.00697256608699 3.59 0
OBS: 57420.27247260 i MD  27668.2 222.77 16.3950477342 0.00869560000289 5.00 0
OBS: 57427.25769618 i MD  19325.713 193.404 16.7846611858 0.0108082076972 5.10 0
OBS: 57434.23716090 i MD  17903.471 186.367 16.8676569072 0.0112423093824 4.40 0
OBS: 57443.23119292 i MD  18268.655 164.435 16.8457335642 0.00972101120745 3.21 0
OBS: 57451.23373492 i MD  10485.588 128.182 17.4485180265 0.0132025557365 2.70 0
OBS: 57410.29167791 z MD  19059.944 255.902 16.7996959492 0.0145002608612 4.90 0
OBS: 57415.25653105 z MD  27620.509 261.631 16.3969208059 0.0102301329784 3.25 0
OBS: 57420.27282581 z MD  25478.076 285.198 16.4845834281 0.0120893681297 5.24 0
OBS: 57427.25805034 z MD  19471.715 267.235 16.7764894892 0.0148222074943 5.10 0
OBS: 57434.23751107 z MD  19671.4 251.204 16.7654118264 0.0137916121883 3.77 0
OBS: 57443.23155041 z MD  19365.388 219.387 16.7824344929 0.0122351258854 3.12 0
OBS: 57451.23408885 z MD  11193.743 175.453 17.377561671 0.0169281392292 2.64 0
OBS: 57404.20930944 z MD  3237.259 105.848 18.7245563827 0.0353125406401 3.53 0
END:
