SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: ASASSN-15kx 
IAUC: UNKNOWN
RA:   334.049127
DECL:    37.473806 
RA_HOST:   334.049529
DEC_HOST:    37.474586
MWEBV: 0.1412 
FILTERS: griz
REDSHIFT_HELIO: 0.018019 +- 8.3e-05 
REDSHIFT_CMB: 0.0169658 +- 8.3e-05 
VPEC: -70.1331 +- 250.0
SEARCH_PEAKMJD: 57193.59293820 
HOSTGAL_LOGMASS: 10.187 +- 0.028
NOBS: 28
NVAR: 8
VARLIST:    MJD    FLT    FIELD    FLUXCAL    FLUXCALERR    MAG    MAGERR    FWHM    FLAG
OBS: 57186.57219220 g MD  28580.033 292.739 16.3598431852 0.0110622027623 5.14 0
OBS: 57188.56971747 g MD  34843.199 276.28 16.1447049467 0.00856357649595 7.26 0
OBS: 57193.59253355 g MD  35326.485 239.314 16.1297489322 0.00731629880527 3.96 0
OBS: 57198.59658247 g MD  30951.233 227.413 16.2733051134 0.00793525866966 5.20 0
OBS: 57203.58568103 g MD  19507.543 203.383 16.7744935678 0.0112599336575 5.10 0
OBS: 57212.49679812 g MD  8371.962 165.967 17.6929318789 0.0214100780677 4.39 0
OBS: 57227.57388365 g MD  3174.506 139.716 18.7458096194 0.0475328381802 5.48 0
OBS: 57186.57260835 r MD  30205.091 260.46 16.2997996288 0.00931289364432 5.48 0
OBS: 57188.57013295 r MD  34682.446 247.684 16.1497257031 0.00771279857251 6.02 0
OBS: 57193.59293820 r MD  37112.189 213.191 16.0762085719 0.00620406088145 3.55 0
OBS: 57198.59697600 r MD  31002.99 217.192 16.2714910495 0.00756595928328 5.30 0
OBS: 57203.58607828 r MD  19731.658 182.833 16.7620910514 0.0100072502777 4.47 0
OBS: 57212.49719775 r MD  17748.183 185.675 16.8771152549 0.0112985650418 4.79 0
OBS: 57227.57428236 r MD  6733.824 147.173 17.9293455971 0.0236042462648 5.44 0
OBS: 57186.57299242 i MD  26058.125 300.812 16.4601420924 0.0124673958698 6.20 0
OBS: 57188.57050847 i MD  28089.425 249.026 16.3786428772 0.00957470934346 5.42 0
OBS: 57193.59332375 i MD  22505.525 179.328 16.6192771289 0.00860563083954 3.03 0
OBS: 57198.59734328 i MD  16717.449 184.791 16.9420749826 0.0119380821799 4.82 0
OBS: 57203.58644326 i MD  12067.47 164.952 17.2959594304 0.0147626768494 3.75 0
OBS: 57212.49763554 i MD  15807.283 191.456 17.0028569285 0.0130808362196 3.80 0
OBS: 57227.57458800 i MD  6637.442 155.578 17.9449981522 0.0253146076455 4.35 0
OBS: 57186.57337014 z MD  22089.347 367.248 16.6395428061 0.017955616343 5.09 0
OBS: 57188.57089427 z MD  25436.281 301.299 16.4863659648 0.012792865435 4.56 0
OBS: 57193.59371607 z MD  23619.371 232.661 16.5668291803 0.0106384661979 3.32 0
OBS: 57198.59771767 z MD  18491.725 237.005 16.8325564345 0.0138421591279 4.19 0
OBS: 57203.58681678 z MD  16888.128 224.672 16.9310462201 0.0143678304665 3.58 0
OBS: 57212.49791826 z MD  19077.454 251.492 16.7986989624 0.0142372960249 3.45 0
OBS: 57227.57495418 z MD  6024.655 221.62 18.0501695444 0.0397283495901 4.75 0
END:
