SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: ASASSN-15lu 
IAUC: UNKNOWN
RA:   200.303700
DECL:    40.265739 
RA_HOST:   200.303657
DEC_HOST:    40.265765
MWEBV: 0.0138 
FILTERS: griz
REDSHIFT_HELIO: 0.0350544 +- 8.80811e-06 
REDSHIFT_CMB: 0.0357699 +- 8.80811e-06 
VPEC: -168.2319 +- 250.0
SEARCH_PEAKMJD: 57199.27101509 
HOSTGAL_LOGMASS: 10.227 +- 0.010
NOBS: 42
NVAR: 8
VARLIST:    MJD    FLT    FIELD    FLUXCAL    FLUXCALERR    MAG    MAGERR    FWHM    FLAG
OBS: 57199.27101509 g MD  16324.3 228.533 16.9679135814 0.0151195236549 5.13 0
OBS: 57204.27346165 g MD  14297.118 231.467 17.111878746 0.0174849476657 4.18 0
OBS: 57209.26894388 g MD  10806.02 186.981 17.4158355825 0.0186876833469 5.26 0
OBS: 57215.27117244 g MD  6017.577 165.799 18.0514458596 0.0297566479 4.33 0
OBS: 57221.27645568 g MD  4771.486 201.549 18.3033658652 0.0456195239806 5.87 0
OBS: 57228.26352357 g MD  2734.105 191.062 18.9079620272 0.0754714833556 4.68 0
OBS: 57234.26358976 g MD  1990.483 345.628 19.252603818 0.187531488588 6.22 0
OBS: 57199.27140677 r MD  14593.325 213.89 17.0896143637 0.0158292369971 4.62 0
OBS: 57204.27391071 r MD  14698.065 213.653 17.0818495909 0.0156990216059 4.05 0
OBS: 57209.26929074 r MD  10797.035 190.699 17.416738727 0.0190751368315 4.72 0
OBS: 57215.27205426 r MD  8062.46 173.658 17.7338310675 0.0232622102931 3.96 0
OBS: 57221.27676839 r MD  7652.871 224.277 17.7904390181 0.0316507569512 6.24 0
OBS: 57228.26385169 r MD  4909.82 192.81 18.2723360734 0.0424119010473 4.51 0
OBS: 57234.26396213 r MD  3830.238 312.952 18.5419355984 0.0882420779074 7.37 0
OBS: 57178.28057735 r MD  -301.887 75.426 27.5 -0.269836329488 3.70 0
OBS: 57178.28256885 r MD  339.296 74.179 21.1735531507 0.236116311421 3.43 0
OBS: 57178.29340781 r MD  -229.081 75.628 27.5 -0.356547422091 3.80 0
OBS: 57178.29537605 r MD  -47.964 78.802 27.5 -1.77437578184 3.38 0
OBS: 57178.30653459 r MD  279.236 84.956 21.3850714795 0.328583993468 4.38 0
OBS: 57199.27176489 i MD  8785.352 202.665 17.6406020827 0.0249139932014 4.02 0
OBS: 57204.27427818 i MD  9328.658 196.847 17.575452071 0.0227894258745 3.95 0
OBS: 57209.26965188 i MD  4792.413 254.135 18.2986144061 0.0572708988144 5.94 0
OBS: 57215.27225850 i MD  4707.579 169.869 18.3180059579 0.0389708850345 3.34 0
OBS: 57221.27722263 i MD  4783.403 249.975 18.3006575711 0.0564395264208 7.21 0
OBS: 57228.26428107 i MD  5035.9 201.653 18.2448072561 0.0432465378582 3.84 0
OBS: 57234.26434899 i MD  3344.212 319.266 18.6892654977 0.103105688276 7.69 0
OBS: 57179.32226126 i MD  585.046 85.757 20.582024964 0.158308167221 4.39 0
OBS: 57179.32438248 i MD  14.172 86.571 24.6214221408 6.59728196444 3.11 0
OBS: 57179.33553037 i MD  598.528 91.957 20.5572888197 0.165929680817 4.55 0
OBS: 57179.33761352 i MD  71.734 119.323 22.8606873789 1.79648200296 5.42 0
OBS: 57179.34873860 i MD  348.252 85.029 21.1452659519 0.263692153957 4.14 0
OBS: 57179.35082253 i MD  -49.184 101.908 27.5 -2.23773259597 4.16 0
OBS: 57179.36408484 i MD  419.81 109.196 20.9423680515 0.280916795693 4.80 0
OBS: 57179.36198494 i MD  107.254 109.315 22.423966255 1.10075335186 5.95 0
OBS: 57199.27213104 z MD  8648.598 279.203 17.6576357227 0.0348656788071 3.67 0
OBS: 57204.27454433 z MD  6702.713 231.587 17.9343734401 0.0373153318664 3.25 0
OBS: 57209.27011672 z MD  4477.947 260.313 18.3723026274 0.0627827975633 4.16 0
OBS: 57215.27267046 z MD  3298.281 212.393 18.7042808675 0.0695466638531 3.08 0
OBS: 57221.27757730 z MD  5891.13 311.341 18.0745034839 0.0570770429442 5.25 0
OBS: 57228.26456139 z MD  4092.068 281.972 18.470142895 0.0744195257752 3.83 0
OBS: 57234.26465915 z MD  2376.352 457.177 19.0602230713 0.207776945503 7.56 0
OBS: 57237.25693631 z MD  2309.457 153.584 19.0912252988 0.0718223894188 2.98 0
END:
