SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: ASASSN-15mg 
IAUC: UNKNOWN
RA:   233.094056
DECL:    41.850380 
RA_HOST:   233.094236
DEC_HOST:    41.849941
MWEBV: 0.0274 
FILTERS: griz
REDSHIFT_HELIO: 0.0427777 +- 1.18248e-05 
REDSHIFT_CMB: 0.0430711 +- 1.18248e-05 
VPEC: -289.796 +- 250.0
SEARCH_PEAKMJD: 57221.27272584 
HOSTGAL_LOGMASS: 10.134 +- 0.029
NOBS: 33
NVAR: 8
VARLIST:    MJD    FLT    FIELD    FLUXCAL    FLUXCALERR    MAG    MAGERR    FWHM    FLAG
OBS: 57215.27500858 g MD  9615.449 152.473 17.5425760782 0.0171256526866 5.64 0
OBS: 57221.27232882 g MD  9623.916 193.016 17.5416204407 0.0216603386813 7.56 0
OBS: 57227.27654520 g MD  6916.386 163.174 17.9003019424 0.0254797693477 4.37 0
OBS: 57233.27104965 g MD  3707.125 168.422 18.5774069245 0.0490665299929 4.89 0
OBS: 57242.27707134 g MD  1590.206 94.714 19.4963665306 0.0643257037139 4.90 0
OBS: 57250.32796922 g MD  3476.889 4930.655 18.647022935 1.53157244882 6.00 0
OBS: 57251.25400943 g MD  874.484 95.805 20.1456203305 0.118320518157 5.04 0
OBS: 57215.27540354 r MD  9042.652 130.094 17.6092604559 0.0155376453722 4.58 0
OBS: 57221.27272584 r MD  9618.672 177.325 17.5422122115 0.0199103368947 7.52 0
OBS: 57227.27694649 r MD  6975.065 129.393 17.8911293522 0.0200348584565 3.55 0
OBS: 57233.27148136 r MD  4848.942 143.205 18.2858825265 0.0318959063647 4.43 0
OBS: 57242.27757796 r MD  4400.011 116.599 18.3913655944 0.0286196829962 5.22 0
OBS: 57250.32838890 r MD  6086.455 3074.018 18.0390889614 0.545463564587 5.05 0
OBS: 57251.25441121 r MD  2019.856 102.452 19.2366989782 0.0547802219564 4.81 0
OBS: 57208.35334917 r MD  3533.333 92.738 18.6295385761 0.0283463347497 7.85 0
OBS: 57208.36461175 r MD  3540.343 121.759 18.6273866502 0.0371432146546 11.22 0
OBS: 57208.38727891 r MD  3743.01 115.051 18.5669475315 0.0331965663998 9.52 0
OBS: 57215.27563139 i MD  6766.867 118.499 17.9240308983 0.0189125809625 3.54 0
OBS: 57221.27302151 i MD  5949.897 166.366 18.0637263809 0.0301980488066 6.91 0
OBS: 57227.27726049 i MD  3770.712 111.091 18.5589415923 0.0318184682362 3.41 0
OBS: 57233.27180019 i MD  2710.522 107.472 18.9173676585 0.0428219213864 3.77 0
OBS: 57242.27793170 i MD  3739.602 118.008 18.5679365416 0.0340808032513 4.74 0
OBS: 57251.25476658 i MD  2151.932 104.64 19.1679286407 0.0525161575738 3.81 0
OBS: 57215.27608206 z MD  6385.139 176.668 17.98707411 0.0298821121983 3.69 0
OBS: 57221.27338378 z MD  5331.601 226.876 18.1828558981 0.0459573175112 5.91 0
OBS: 57227.27762142 z MD  3768.785 153.57 18.5594965932 0.0440077107078 2.97 0
OBS: 57233.27220508 z MD  3196.507 153.045 18.7383108504 0.0517091312486 3.55 0
OBS: 57242.27823411 z MD  3194.739 160.038 18.7389115413 0.054101771694 4.67 0
OBS: 57251.25512423 z MD  2313.664 148.087 19.0892492772 0.069125836768 3.44 0
OBS: 57888.49427076 z MD  -160.478 257.419 27.5 -1.73240269694 6.70 0
OBS: 57895.41873380 z MD  233.436 278.745 21.5795804179 1.28962370843 6.10 0
OBS: 57902.45601981 z MD  -149.094 176.071 27.5 -1.27541470482 4.39 0
OBS: 57917.45389111 z MD  -370.397 206.346 27.5 -0.601661676525 5.49 0
END:
