SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: ASASSN-15pn 
IAUC: UNKNOWN
RA:    60.859760
DECL:    -5.492007 
RA_HOST:    60.859320
DEC_HOST:    -5.491806
MWEBV: 0.0809 
FILTERS: griz
REDSHIFT_HELIO: 0.0383575 +- 4.98053e-06 
REDSHIFT_CMB: 0.0380034 +- 4.98053e-06 
VPEC: -314.3968 +- 250.0
SEARCH_PEAKMJD: 57277.57054901 
HOSTGAL_LOGMASS: 9.681 +- 0.096
NOBS: 43
NVAR: 8
VARLIST:    MJD    FLT    FIELD    FLUXCAL    FLUXCALERR    MAG    MAGERR    FWHM    FLAG
OBS: 57277.57054901 g MD  10645.612 168.204 17.4320734165 0.0170643378699 4.10 0
OBS: 57287.56350433 g MD  9197.042 148.404 17.5908795756 0.0174269422712 5.61 0
OBS: 57292.58646215 g MD  7104.513 240.958 17.8711642168 0.0366294832594 5.38 0
OBS: 57303.52233695 g MD  2792.557 95.99 18.8849948839 0.0371233962279 3.45 0
OBS: 57309.52133727 g MD  1845.67 98.97 19.3346148671 0.0579126279346 5.25 0
OBS: 57318.56596986 g MD  1026.134 91.426 19.9719898055 0.0962253272964 5.14 0
OBS: 57328.54390140 g MD  821.914 105.905 20.2129340549 0.139159814774 4.37 0
OBS: 57277.57095223 r MD  10964.63 145.516 17.4000150474 0.0143331129277 3.83 0
OBS: 57287.56390522 r MD  9830.707 137.868 17.5185381192 0.0151461578501 4.93 0
OBS: 57292.58686559 r MD  7759.634 191.196 17.7753969068 0.0266110076841 5.03 0
OBS: 57303.52274256 r MD  5907.406 100.614 18.0715079506 0.0183943883322 3.17 0
OBS: 57309.52173948 r MD  4563.444 103.629 18.3517681863 0.0245251875557 4.74 0
OBS: 57318.56637112 r MD  3038.609 96.78 18.7933129504 0.0343981078184 4.34 0
OBS: 57328.54431038 r MD  1874.43 87.193 19.3178269338 0.0502384404859 3.70 0
OBS: 57277.57131014 i MD  6859.478 125.93 17.9092723311 0.0198272230044 3.40 0
OBS: 57287.56426234 i MD  4633.753 105.688 18.3351677995 0.0246329573458 4.47 0
OBS: 57292.58722824 i MD  3592.152 145.561 18.6116132367 0.0437637048766 4.46 0
OBS: 57303.52309864 i MD  3981.142 105.463 18.4999808291 0.0286098913327 3.21 0
OBS: 57309.52210141 i MD  4322.048 110.926 18.4107760355 0.0277183594444 4.69 0
OBS: 57318.56672351 i MD  2421.416 96.298 19.0398264806 0.042950835379 4.04 0
OBS: 57328.54466420 i MD  1373.185 83.964 19.6556773731 0.0660370743927 3.21 0
OBS: 57264.56713149 i MD  1365.554 72.956 19.6617278032 0.0577000103987 4.19 0
OBS: 57264.57960706 i MD  1278.761 65.575 19.7330265436 0.0553825147936 3.97 0
OBS: 57264.59211984 i MD  1348.407 87.614 19.675447504 0.0701740053263 5.42 0
OBS: 57264.60467575 i MD  1515.981 70.457 19.5482656044 0.0501942702448 4.26 0
OBS: 57319.47856930 i MD  2426.902 54.109 19.0373694011 0.0240791428743 3.35 0
OBS: 57319.49124354 i MD  2270.099 52.72 19.1098880066 0.0250815493069 3.23 0
OBS: 57319.50394627 i MD  2221.248 52.362 19.1335073756 0.0254590932665 3.27 0
OBS: 57319.51667874 i MD  2195.883 53.13 19.1459770087 0.0261309004168 3.26 0
OBS: 57320.41411196 i MD  2348.315 71.064 19.0731091195 0.0326826341441 3.13 0
OBS: 57320.42743301 i MD  2147.429 62.451 19.1702029656 0.0314082933592 3.15 0
OBS: 57320.43995269 i MD  2281.175 57.605 19.1046034915 0.0272725240282 3.01 0
OBS: 57320.45252101 i MD  2143.645 52.68 19.1721178368 0.0265409617731 2.82 0
OBS: 57320.45661331 i MD  2181.768 50.732 19.1529785808 0.0251129175971 2.84 0
OBS: 57320.46892551 i MD  2155.274 64.864 19.1662437753 0.0325031156131 3.76 0
OBS: 57320.48131650 i MD  2038.985 67.268 19.2264649229 0.0356301983585 4.03 0
OBS: 57320.49367503 i MD  2142.971 51.945 19.1724592651 0.0261788890284 3.14 0
OBS: 57287.56462651 z MD  4578.901 146.453 18.3480968655 0.0345430573843 4.08 0
OBS: 57292.58758530 z MD  3764.72 194.02 18.560668297 0.0556592787777 4.63 0
OBS: 57303.52345746 z MD  4054.579 127.736 18.4801355833 0.0340244646855 3.10 0
OBS: 57309.52246518 z MD  3781.175 163.865 18.5559330555 0.0468040225591 4.50 0
OBS: 57318.56708262 z MD  2323.452 138.772 19.0846657379 0.0645047799567 4.06 0
OBS: 57328.54501866 z MD  1436.59 133.735 19.6066679025 0.100539332725 3.37 0
END:
