SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: ASASSN-15tg 
IAUC: 2016dsn
RA:     5.170989
DECL:    25.229048 
RA_HOST:     5.173367
DEC_HOST:    25.227957
MWEBV: 0.0246 
FILTERS: griz
REDSHIFT_HELIO: 0.035615 +- 5.7e-05 
REDSHIFT_CMB: 0.0344545 +- 5.7e-05 
VPEC: -241.3316 +- 250.0
SEARCH_PEAKMJD: 57358.20406434 
HOSTGAL_LOGMASS: 10.172 +- 0.004
NOBS: 24
NVAR: 8
VARLIST:    MJD    FLT    FIELD    FLUXCAL    FLUXCALERR    MAG    MAGERR    FWHM    FLAG
OBS: 57358.20406434 g MD  25915.421 222.679 16.466104329 0.00927993104955 4.56 0
OBS: 57362.20499006 g MD  24189.2 203.126 16.5409462366 0.00906917467299 4.59 0
OBS: 57380.27029742 g MD  10387.588 203.321 17.45871321 0.0211393328268 3.95 0
OBS: 57386.31924497 g MD  6585.469 144.47 17.9535332257 0.023692708902 5.30 0
OBS: 57396.21678466 g MD  3458.935 106.138 18.6526439978 0.0331399809479 4.21 0
OBS: 57358.20445788 r MD  21063.759 192.188 16.6911603071 0.00985403602462 5.57 0
OBS: 57362.20538524 r MD  22702.022 172.51 16.6098386495 0.00820679320987 4.22 0
OBS: 57369.27417863 r MD  20620.007 170.87 16.714277979 0.00894954109375 4.67 0
OBS: 57380.27070132 r MD  12938.701 160.154 17.2202733078 0.0133681364149 3.66 0
OBS: 57386.31966221 r MD  11568.039 144.363 17.3418506397 0.0134778280052 4.89 0
OBS: 57396.21717686 r MD  8176.344 114.145 17.7186021123 0.0150772276705 3.69 0
OBS: 57358.20482562 i MD  13219.176 169.421 17.196989038 0.0138416100973 4.85 0
OBS: 57362.20575748 i MD  12615.448 140.972 17.2477433055 0.0120685178996 3.97 0
OBS: 57369.27454070 i MD  10490.241 139.54 17.4480363358 0.0143660379204 4.10 0
OBS: 57380.27106078 i MD  6156.622 127.664 18.0266437753 0.0223949302069 3.57 0
OBS: 57386.32000850 i MD  6738.863 136.325 17.9285334317 0.0218480476603 5.19 0
OBS: 57396.21754510 i MD  6513.713 114.553 17.9654284519 0.0189933514111 3.61 0
OBS: 57358.20518726 z MD  12661.621 236.44 17.2437767259 0.0201676546787 4.67 0
OBS: 57362.20612930 z MD  11701.514 193.629 17.3293948586 0.0178711335986 3.63 0
OBS: 57369.27490159 z MD  9632.389 177.326 17.5406649673 0.0198820957086 3.85 0
OBS: 57380.27142169 z MD  7141.292 177.58 17.8655580218 0.0268559806825 3.58 0
OBS: 57386.32036590 z MD  7041.555 187.784 17.8808285605 0.028801411052 4.66 0
OBS: 57396.21791199 z MD  6600.381 157.931 17.9510774864 0.025841762771 3.80 0
OBS: 57405.21233906 z MD  4416.101 145.596 18.3874025062 0.0356069030124 4.81 0
END:
