SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: ASASSN-16bq 
IAUC: 2016aew
RA:   212.860434
DECL:     1.285972 
RA_HOST:   212.859299
DEC_HOST:     1.286520
MWEBV: 0.0331 
FILTERS: griz
REDSHIFT_HELIO: 0.0249351 +- 9.9342e-06 
REDSHIFT_CMB: 0.0258185 +- 9.9342e-06 
VPEC: 141.1641 +- 250.0
SEARCH_PEAKMJD: 57437.60515586 
HOSTGAL_LOGMASS: 10.795 +- 0.001
NOBS: 43
NVAR: 8
VARLIST:    MJD    FLT    FIELD    FLUXCAL    FLUXCALERR    MAG    MAGERR    FWHM    FLAG
OBS: 57432.58139576 g MD  21359.155 209.967 16.6760398316 0.0106167289858 4.62 0
OBS: 57437.60515586 g MD  29206.672 225.876 16.3362948164 0.00835240933989 5.89 0
OBS: 57449.59057962 g MD  14226.555 186.519 17.117250632 0.0141594729012 5.24 0
OBS: 57456.59494014 g MD  7085.103 184.023 17.8741345795 0.0280510869073 6.06 0
OBS: 57462.55430595 g MD  3846.023 118.417 18.5374703073 0.0332526248543 4.55 0
OBS: 57477.45057411 g MD  2344.978 115.296 19.0746530684 0.0531005749308 4.30 0
OBS: 57432.58179375 r MD  19830.306 185.078 16.7566764604 0.0100797355321 4.24 0
OBS: 57437.60555001 r MD  28050.548 206.391 16.3801466247 0.00794645010144 5.28 0
OBS: 57449.59097118 r MD  15686.027 165.307 17.0112176045 0.0113815665369 4.76 0
OBS: 57456.59533195 r MD  13285.492 187.583 17.1915558945 0.0152489377134 5.98 0
OBS: 57462.55469863 r MD  9617.451 130.119 17.5423500443 0.0146118259402 4.20 0
OBS: 57477.45097349 r MD  4367.788 114.906 18.399346123 0.0284122031564 3.79 0
OBS: 57437.56610189 r MD  26381.601 127.003 16.4467471307 0.00519920076117 5.94 0
OBS: 57437.57814537 r MD  26623.559 133.39 16.4368347228 0.00541104215255 6.78 0
OBS: 57437.59041557 r MD  26284.509 120.342 16.4507503282 0.00494471325297 5.36 0
OBS: 57437.60277221 r MD  27369.093 122.768 16.4068489867 0.00484449521217 5.57 0
OBS: 57449.60420504 r MD  16127.001 91.398 16.9811159678 0.00612078091891 4.37 0
OBS: 57449.61611784 r MD  16068.603 87.557 16.9850546976 0.00588486503774 4.12 0
OBS: 57449.62819444 r MD  15538.932 87.735 17.0214470846 0.00609783220623 4.06 0
OBS: 57449.64007690 r MD  15590.439 86.699 17.0178541391 0.00600591939714 4.35 0
OBS: 57478.45280844 r MD  4329.483 66.915 18.4089099033 0.0166921085035 4.00 0
OBS: 57478.46513216 r MD  4089.35 57.453 18.4708642935 0.0151733747417 3.61 0
OBS: 57478.48975014 r MD  4204.019 63.919 18.4408383246 0.0164206013341 4.27 0
OBS: 57478.47742148 r MD  4125.989 59.805 18.4611798355 0.0156542831307 3.67 0
OBS: 57479.47059589 r MD  4124.117 56.75 18.461672556 0.0148613630506 3.94 0
OBS: 57479.48238665 r MD  3917.511 51.856 18.5174744385 0.0142959343318 3.56 0
OBS: 57479.49424872 r MD  4014.266 56.201 18.4909846324 0.0151203432956 3.70 0
OBS: 57479.50615080 r MD  3963.489 56.443 18.504805857 0.0153799947471 4.08 0
OBS: 57432.58215974 i MD  16064.27 171.788 16.9853475127 0.0115492979139 3.91 0
OBS: 57437.60590792 i MD  17216.036 198.465 16.9101670947 0.0124501482223 4.76 0
OBS: 57449.59132934 i MD  8328.044 157.369 17.6986424724 0.0204079757504 4.81 0
OBS: 57456.59569455 i MD  10238.719 196.23 17.47438594 0.0206987221741 5.88 0
OBS: 57462.55506425 i MD  9271.729 144.187 17.5820981767 0.0167953528409 3.77 0
OBS: 57477.45133990 i MD  3416.875 122.05 18.6659272719 0.0385773550393 3.93 0
OBS: 57437.60627487 z MD  15202.168 264.13 17.0452361809 0.0187644551751 5.33 0
OBS: 57449.59169706 z MD  10325.358 195.039 17.465237204 0.020400466502 3.86 0
OBS: 57456.59605878 z MD  11097.78 276.459 17.386909722 0.0269040943324 5.64 0
OBS: 57462.55542606 z MD  9418.554 201.461 17.5650394198 0.0231009855653 3.91 0
OBS: 57477.45170520 z MD  3176.279 156.707 18.7452033918 0.0532835937901 3.28 0
OBS: 57432.65702637 z MD  13495.827 156.368 17.1745012438 0.0125133080025 4.71 0
OBS: 57432.66203135 z MD  12872.371 164.529 17.2258536294 0.0138040862868 5.12 0
OBS: 57463.62771943 z MD  8765.239 151.899 17.643090594 0.0187160806454 4.59 0
OBS: 57463.63606487 z MD  8886.754 162.535 17.6281421041 0.0197527466159 5.02 0
END:
