SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: ASASSN-16ch 
IAUC: 2016aqz
RA:   197.991760
DECL:    14.566408 
RA_HOST:   197.990845
DEC_HOST:    14.566445
MWEBV: 0.0217 
FILTERS: griz
REDSHIFT_HELIO: 0.0266826 +- 7.63262e-06 
REDSHIFT_CMB: 0.0276962 +- 7.63262e-06 
VPEC: -348.5373 +- 250.0
SEARCH_PEAKMJD: 57454.48560157 
HOSTGAL_LOGMASS: 10.331 +- 0.001
NOBS: 37
NVAR: 8
VARLIST:    MJD    FLT    FIELD    FLUXCAL    FLUXCALERR    MAG    MAGERR    FWHM    FLAG
OBS: 57450.49478514 g MD  11177.827 164.119 17.3791065407 0.015857153631 5.14 0
OBS: 57454.48521044 g MD  12205.829 171.872 17.2835817967 0.0152076323534 6.30 0
OBS: 57460.63867871 g MD  10757.082 173.846 17.420763802 0.0174539600981 5.04 0
OBS: 57465.45357115 g MD  8059.869 152.645 17.7341800422 0.0204540048976 3.40 0
OBS: 57476.40034456 g MD  3212.71 125.011 18.7328211873 0.0420242972444 5.84 0
OBS: 57487.37914821 g MD  1469.941 102.595 19.5817502412 0.0753789437807 5.47 0
OBS: 57495.35165663 g MD  1075.34 162.32 19.921135498 0.16302341585 6.41 0
OBS: 57450.49517756 r MD  13972.545 155.829 17.1368112076 0.0120447148318 4.35 0
OBS: 57454.48560157 r MD  15768.696 166.257 17.0055105485 0.0113869631325 6.11 0
OBS: 57460.63909870 r MD  14888.335 166.896 17.0678846694 0.0121066378477 4.72 0
OBS: 57465.45396110 r MD  11208.371 139.362 17.3761437556 0.01342844201 3.34 0
OBS: 57476.40073299 r MD  7865.253 137.884 17.7607182574 0.0189332396555 5.03 0
OBS: 57487.37953286 r MD  4939.731 114.381 18.2657417514 0.0250077342268 4.78 0
OBS: 57495.35205603 r MD  3128.025 144.543 18.7618244615 0.049905752032 5.49 0
OBS: 57437.50783667 r MD  245.928 72.275 21.5229800552 0.317397774959 5.67 0
OBS: 57437.53260321 r MD  490.147 88.752 20.7741841279 0.195557985666 7.87 0
OBS: 57437.52010119 r MD  157.617 64.614 22.0059923572 0.442738537087 5.20 0
OBS: 57437.54512310 r MD  139.415 81.381 22.1392262423 0.630430584944 7.05 0
OBS: 57490.36483728 r MD  3988.866 67.939 18.4978763823 0.0183947317358 5.61 0
OBS: 57490.37719560 r MD  4014.029 64.297 18.4910487355 0.0172995162716 5.26 0
OBS: 57490.38956795 r MD  3974.428 65.999 18.5018134155 0.0179343845202 5.41 0
OBS: 57490.40202515 r MD  3930.135 61.621 18.5139813284 0.0169334335843 5.19 0
OBS: 57450.49554663 i MD  10936.446 152.26 17.4028094677 0.015036036387 3.82 0
OBS: 57454.48596513 i MD  10695.756 156.158 17.4269712828 0.0157679962034 4.55 0
OBS: 57460.63944312 i MD  9572.216 177.456 17.5474687749 0.0200217462707 5.53 0
OBS: 57465.45432251 i MD  6197.609 127.319 18.0194395659 0.0221867045824 3.84 0
OBS: 57476.40109859 i MD  6331.339 142.749 17.9962610809 0.02435012878 4.97 0
OBS: 57487.37989641 i MD  5287.881 132.833 18.1917958173 0.027129891917 4.72 0
OBS: 57495.35241899 i MD  2996.79 152.838 18.8083592229 0.0550806162594 5.26 0
OBS: 57454.48633651 z MD  11519.088 201.34 17.3464547598 0.0188771194386 4.39 0
OBS: 57460.63978830 z MD  10493.079 231.853 17.4477426436 0.0238634665764 3.78 0
OBS: 57465.45469596 z MD  8127.04 175.008 17.7251690068 0.0232567626098 3.04 0
OBS: 57476.40145652 z MD  7166.838 204.793 17.8616810307 0.0308610910418 4.95 0
OBS: 57487.38025374 z MD  5984.766 187.573 18.0573820638 0.0338490828213 4.31 0
OBS: 57495.35278308 z MD  3384.748 224.033 18.6761841493 0.0714840927596 5.41 0
OBS: 57433.66673373 z MD  513.647 175.797 20.7233381102 0.369632763357 7.17 0
OBS: 57434.65934092 z MD  -245.472 218.203 27.5 -0.96002493156 9.19 0
END:
