SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: ASASSN-16em 
IAUC: 2016bmh
RA:   203.056492
DECL:    84.678322 
RA_HOST:   203.055167
DEC_HOST:    84.678528
MWEBV: 0.1164 
FILTERS: griz
REDSHIFT_HELIO: 0.02302 +- 9e-05 
REDSHIFT_CMB: 0.022962 +- 9e-05 
VPEC: -275.0794 +- 250.0
SEARCH_PEAKMJD: 57503.42705700 
HOSTGAL_LOGMASS: 8.998 +- 0.014
NOBS: 40
NVAR: 8
VARLIST:    MJD    FLT    FIELD    FLUXCAL    FLUXCALERR    MAG    MAGERR    FWHM    FLAG
OBS: 57494.35200713 g MD  20093.802 287.473 16.7423447037 0.0154510749135 7.49 0
OBS: 57498.40403480 g MD  25404.547 325.413 16.487721362 0.0138339817671 5.85 0
OBS: 57503.42663531 g MD  25068.575 296.321 16.502175881 0.0127660499251 5.56 0
OBS: 57508.40122597 g MD  20477.04 234.488 16.7218320534 0.0123673655958 6.71 0
OBS: 57520.40603626 g MD  10725.137 222.914 17.4239928789 0.0224469971805 6.96 0
OBS: 57528.36107510 g MD  6402.601 332.674 17.9841089047 0.0561159316347 6.47 0
OBS: 57540.31828074 g MD  3183.008 163.669 18.7429056746 0.0555331686254 6.75 0
OBS: 57543.27077339 g MD  2382.234 141.075 19.0575389531 0.0639571931221 6.44 0
OBS: 57494.35242087 r MD  22289.176 265.141 16.6297649662 0.0128471451793 7.40 0
OBS: 57498.40444854 r MD  27143.043 260.812 16.4158536632 0.010377501152 5.16 0
OBS: 57503.42705700 r MD  28634.749 241.431 16.3577665484 0.00910591114314 4.90 0
OBS: 57508.40164945 r MD  24097.163 214.82 16.5450852116 0.00962792175992 5.98 0
OBS: 57520.40645241 r MD  13307.836 194.395 17.1897313996 0.015776163758 5.72 0
OBS: 57528.36149787 r MD  12704.194 245.957 17.2401322074 0.0209091233966 5.58 0
OBS: 57540.31870368 r MD  6628.824 134.685 17.9464087791 0.0219435302551 4.77 0
OBS: 57543.27120141 r MD  5741.418 136.263 18.1024520837 0.0256320024078 5.18 0
OBS: 57494.35277223 i MD  16112.483 260.848 16.9820938196 0.0174843219385 6.65 0
OBS: 57498.40487968 i MD  17596.116 220.593 16.8864579591 0.0135393765306 4.48 0
OBS: 57503.42739182 i MD  15153.873 195.374 17.0486908919 0.0139240918807 4.66 0
OBS: 57508.40199981 i MD  12667.384 209.676 17.24328266 0.0178766255132 6.64 0
OBS: 57520.40679556 i MD  8153.15 216.688 17.7216864189 0.0287033894875 6.13 0
OBS: 57540.31904550 i MD  6846.841 150.51 17.9112743934 0.0237409923788 4.65 0
OBS: 57543.27154894 i MD  5544.306 161.194 18.1403820206 0.0313996954714 5.87 0
OBS: 57472.48527385 i MD  159.826 89.736 21.990881424 0.606377435461 5.46 0
OBS: 57498.47524330 i MD  17202.379 133.805 16.9110287206 0.0084005473894 5.08 0
OBS: 57498.48960538 i MD  16297.788 130.125 16.9696783394 0.00862294932294 4.62 0
OBS: 57498.50397235 i MD  16417.723 142.298 16.9617176901 0.00936072803762 5.33 0
OBS: 57498.51818869 i MD  16951.302 154.853 16.9269923469 0.0098659819759 5.95 0
OBS: 57529.40614538 i MD  9520.313 135.448 17.5533719326 0.0153654443924 5.90 0
OBS: 57529.41858312 i MD  9065.5 138.823 17.6065205944 0.0165383972202 6.21 0
OBS: 57529.43095949 i MD  9547.903 134.847 17.5502300044 0.015253062374 6.34 0
OBS: 57529.44334325 i MD  9111.648 154.486 17.6010076655 0.018311163908 7.18 0
OBS: 57494.35312678 z MD  16982.654 395.904 16.9249860963 0.025177237904 7.41 0
OBS: 57498.40522817 z MD  15307.311 287.732 17.0377527353 0.0203007935228 4.58 0
OBS: 57503.42773649 z MD  15950.918 269.807 16.9930357939 0.01826801191 4.82 0
OBS: 57508.40234598 z MD  11139.608 468.574 17.382825229 0.0454288804418 5.50 0
OBS: 57520.40714968 z MD  11000.267 311.39 17.3964919336 0.0305720942955 5.61 0
OBS: 57528.36219633 z MD  9780.468 373.616 17.5241009088 0.0412562343642 5.19 0
OBS: 57540.31940370 z MD  6744.882 260.906 17.9275641095 0.0417766359738 5.68 0
OBS: 57543.27189306 z MD  5569.458 259.568 18.1354676669 0.0503340612318 6.35 0
END:
