SURVEY: PS1MD
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: ASASSN-16et 
IAUC: 2016cby
RA:   155.006989
DECL:    56.461056 
RA_HOST:   155.007672
DEC_HOST:    56.461235
MWEBV: 0.0248 
FILTERS: griz
REDSHIFT_HELIO: 0.0249046 +- 6.62017e-06 
REDSHIFT_CMB: 0.0254526 +- 6.62017e-06 
VPEC: -91.716 +- 250.0
SEARCH_PEAKMJD: 57512.39888438 
HOSTGAL_LOGMASS: 9.365 +- 0.103
NOBS: 27
NVAR: 8
VARLIST:    MJD    FLT    FIELD    FLUXCAL    FLUXCALERR    MAG    MAGERR    FWHM    FLAG
OBS: 57508.35088614 g MD  19246.318 173.239 16.789130857 0.00972124226566 4.60 0
OBS: 57512.39847351 g MD  18446.577 300.823 16.8352105274 0.0176124188244 12.68 0
OBS: 57520.25590949 g MD  15008.13 202.818 17.0591835428 0.0145949855178 6.00 0
OBS: 57525.25774920 g MD  11161.405 248.066 17.3807028322 0.0240033651677 6.47 0
OBS: 57536.26907229 g MD  5208.957 135.973 18.2081230691 0.0281919854589 4.44 0
OBS: 57538.30414035 g MD  3933.68 127.033 18.5130024307 0.0348771735372 4.83 0
OBS: 57551.26700342 g MD  2123.601 130.884 19.1823176971 0.0665636906368 4.51 0
OBS: 57508.35129529 r MD  19130.588 161.96 16.7956792031 0.00914330495226 4.44 0
OBS: 57512.39888438 r MD  20845.122 225.58 16.7024888969 0.0116874537842 8.45 0
OBS: 57520.25631014 r MD  16215.943 187.249 16.9751444772 0.0124709935155 5.55 0
OBS: 57525.25815359 r MD  12525.646 201.387 17.2554996662 0.0173642109956 5.99 0
OBS: 57536.26948265 r MD  10164.71 135.894 17.4822625183 0.014438731651 3.85 0
OBS: 57538.30455476 r MD  8735.964 127.313 17.6467229108 0.0157393093653 3.94 0
OBS: 57551.26741984 r MD  5385.299 127.628 18.1719754475 0.025595280782 4.43 0
OBS: 57508.35164604 i MD  13589.3 153.872 17.1670072842 0.0122288683008 3.99 0
OBS: 57512.39923431 i MD  13525.053 239.451 17.1721525609 0.0191205964221 7.82 0
OBS: 57520.25666297 i MD  10012.428 175.418 17.4986514848 0.0189216282005 4.75 0
OBS: 57525.25850979 i MD  6540.549 220.878 17.9609644909 0.0364722043975 6.64 0
OBS: 57536.26983950 i MD  7448.38 127.69 17.8198454368 0.0185147911358 3.36 0
OBS: 57538.30490570 i MD  6731.004 116.594 17.9298003784 0.0187076875901 3.45 0
OBS: 57551.26776788 i MD  5635.801 138.269 18.1226108755 0.026496769492 4.12 0
OBS: 57512.39958075 z MD  12370.392 356.528 17.269041345 0.0311267613831 7.47 0
OBS: 57520.25701169 z MD  9928.805 233.709 17.5077575467 0.0254215608021 4.44 0
OBS: 57525.25885933 z MD  8730.174 341.537 17.6474427508 0.0422511578807 7.83 0
OBS: 57536.27018652 z MD  8997.846 183.819 17.6146536104 0.0220635605455 3.77 0
OBS: 57538.30525274 z MD  8253.087 168.832 17.7084589419 0.0220933766965 3.10 0
OBS: 57551.26812069 z MD  5627.996 191.524 18.1241155498 0.0367530325181 3.80 0
END:
