SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: ASASSN-16hz 
IAUC: 2016eqb
RA:   348.939505
DECL:    -1.339612 
RA_HOST:   348.940188
DEC_HOST:    -1.337094
MWEBV: 0.0312 
FILTERS: griz
REDSHIFT_HELIO: 0.025308 +- 0.00015 
REDSHIFT_CMB: 0.0240575 +- 0.00015 
VPEC: -175.7638 +- 250.0
SEARCH_PEAKMJD: 57607.52511253 
HOSTGAL_LOGMASS: 10.142 +- 0.002
NOBS: 30
NVAR: 8
VARLIST:    MJD    FLT    FIELD    FLUXCAL    FLUXCALERR    MAG    MAGERR    FWHM    FLAG
OBS: 57607.52471872 g MD  31556.723 222.863 16.2522702558 0.00762728246529 4.40 0
OBS: 57611.54528377 g MD  27551.173 247.528 16.3996497655 0.00970304385951 5.65 0
OBS: 57616.52779633 g MD  19302.288 215.851 16.7859780219 0.0120772770565 4.17 0
OBS: 57626.45783652 g MD  8443.862 140.912 17.6836471827 0.0180231462807 5.32 0
OBS: 57639.46902774 g MD  3630.782 113.585 18.5999995657 0.0337866057505 4.77 0
OBS: 57657.38926857 g MD  2278.837 108.763 19.1057168445 0.0515456085714 5.70 0
OBS: 57607.52511253 r MD  33662.509 199.451 16.1821337937 0.00639902034634 4.55 0
OBS: 57611.54567857 r MD  31226.674 216.511 16.2636856767 0.00748820959927 4.93 0
OBS: 57616.52818626 r MD  22647.746 183.979 16.6124375358 0.00877338168664 4.37 0
OBS: 57626.45822153 r MD  17019.006 155.53 16.9226645215 0.00986969509265 4.78 0
OBS: 57639.46942029 r MD  9729.118 129.617 17.529816323 0.0143883916302 4.61 0
OBS: 57657.38966487 r MD  4651.492 105.549 18.3310193041 0.0245067432127 4.75 0
OBS: 57607.52547862 i MD  19749.276 169.152 16.761122052 0.00925016998091 3.63 0
OBS: 57611.54603332 i MD  17176.829 180.079 16.9126425196 0.0113225392184 4.45 0
OBS: 57616.52854129 i MD  11662.968 149.905 17.3329772899 0.0138813207753 3.44 0
OBS: 57626.45858644 i MD  12262.874 154.208 17.2785193351 0.0135812077984 4.69 0
OBS: 57639.46978135 i MD  9817.058 135.555 17.5200466079 0.0149127569583 4.13 0
OBS: 57657.39002106 i MD  3762.271 121.074 18.5613748125 0.034755582466 5.27 0
OBS: 57678.37001577 i MD  2044.239 77.911 19.2236708262 0.0411614688889 4.44 0
OBS: 57678.38203375 i MD  1824.42 74.866 19.3471879388 0.0443183477489 4.31 0
OBS: 57678.39407614 i MD  1936.261 73.564 19.2825902549 0.041032236873 3.78 0
OBS: 57678.40607568 i MD  2034.886 83.381 19.2286497904 0.0442538206071 3.91 0
OBS: 57607.52583551 z MD  18356.842 216.103 16.8405050753 0.0127141280619 3.22 0
OBS: 57611.54640140 z MD  16228.585 239.313 16.9742983636 0.0159260983012 4.45 0
OBS: 57616.52890712 z MD  13449.193 193.184 17.1782594353 0.0155131032769 3.65 0
OBS: 57626.45894842 z MD  13479.331 214.85 17.1758291549 0.0172143558163 4.90 0
OBS: 57639.47014248 z MD  10593.072 184.987 17.4374451896 0.0188600587252 4.06 0
OBS: 57657.39038374 z MD  3045.037 158.923 18.7910185648 0.0563660934169 4.30 0
OBS: 57598.62028672 z MD  15038.611 268.298 17.0569806858 0.0192678592458 12.39 0
OBS: 57603.62397224 z MD  19402.496 174.572 16.7803559936 0.00971719102532 4.31 0
END:
