SURVEY: PS1MD
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: ASASSN-17fd 
IAUC: 2017dfb
RA:   234.771113
DECL:     5.571482 
RA_HOST:   234.771540
DEC_HOST:     5.571270
MWEBV: 0.0631 
FILTERS: griz
REDSHIFT_HELIO: 0.0259348 +- 9.32291e-06 
REDSHIFT_CMB: 0.0264094 +- 9.32291e-06 
VPEC: 259.9919 +- 250.0
SEARCH_PEAKMJD: 57871.51344272 
HOSTGAL_LOGMASS: 10.740 +- 0.129
NOBS: 25
NVAR: 8
VARLIST:    MJD    FLT    FIELD    FLUXCAL    FLUXCALERR    MAG    MAGERR    FWHM    FLAG
OBS: 57868.58409400 g MD  35706.91 314.0 16.1181193278 0.00949732138681 5.84 0
OBS: 57871.51305055 g MD  35010.73 284.319 16.1394970844 0.00877058318978 4.94 0
OBS: 57878.35475514 g MD  30790.473 346.467 16.2789590986 0.0121526018779 7.06 0
OBS: 57868.58449627 r MD  35873.128 291.09 16.1130768821 0.00876358482037 5.52 0
OBS: 57871.51344272 r MD  37510.677 269.398 16.0646127439 0.00775645398242 4.37 0
OBS: 57878.35516701 r MD  34680.75 320.216 16.1497787978 0.009971908912 6.48 0
OBS: 57887.38671389 r MD  22317.74 317.734 16.6283744656 0.0153757826733 7.57 0
OBS: 57895.47314235 r MD  19678.265 228.268 16.7650329881 0.0125280069152 5.42 0
OBS: 57907.35759900 r MD  9708.584 275.882 17.5321102686 0.0306896000488 7.44 0
OBS: 57868.58485507 i MD  24546.896 277.547 16.5250085435 0.0122113508771 4.89 0
OBS: 57871.51381079 i MD  22866.198 244.26 16.6020151006 0.0115367145863 4.14 0
OBS: 57878.35552106 i MD  20731.159 284.667 16.7084410437 0.0148298684121 5.25 0
OBS: 57887.38707491 i MD  13730.397 339.664 17.1557922635 0.0267171531894 7.25 0
OBS: 57895.47350556 i MD  16038.701 303.822 16.9870770221 0.0204584997251 6.02 0
OBS: 57907.35796419 i MD  10104.939 277.651 17.4886657596 0.0296749025402 5.99 0
OBS: 57850.53127507 i MD  -283.219 86.721 27.5 -0.330693491609 3.36 0
OBS: 57850.54266974 i MD  -175.643 98.695 27.5 -0.60685936815 3.21 0
OBS: 57850.55407199 i MD  -204.534 97.404 27.5 -0.514321922028 3.86 0
OBS: 57850.56545435 i MD  -249.39 103.719 27.5 -0.449162035366 3.96 0
OBS: 57868.58520972 z MD  23559.613 323.485 16.5695796193 0.0148289277927 4.83 0
OBS: 57871.51417276 z MD  23139.588 289.081 16.5891109448 0.0134923525864 3.82 0
OBS: 57878.35587792 z MD  22153.053 370.73 16.6364160337 0.0180737345774 5.61 0
OBS: 57887.38743541 z MD  18324.63 396.93 16.842411964 0.0233938911727 6.66 0
OBS: 57895.47387415 z MD  20783.272 332.361 16.7057151964 0.0172710957158 5.39 0
OBS: 57907.35833343 z MD  11074.401 391.242 17.3891993872 0.038154782367 6.86 0
END:
