SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: AT2016cyt 
IAUC: 2016cyt
RA:   317.399304
DECL:    15.125497 
RA_HOST:   317.401107
DEC_HOST:    15.124993
MWEBV: 0.0724 
FILTERS: griz
REDSHIFT_HELIO: 0.03074 +- 9e-05 
REDSHIFT_CMB: 0.0296495 +- 9e-05 
VPEC: -274.7797 +- 250.0
SEARCH_PEAKMJD: 57578.47616985 
HOSTGAL_LOGMASS: 10.873 +- 0.001
NOBS: 60
NVAR: 8
VARLIST:    MJD    FLT    FIELD    FLUXCAL    FLUXCALERR    MAG    MAGERR    FWHM    FLAG
OBS: 57566.46097627 g MD  694.343 196.409 20.3960648462 0.305499904226 6.34 0
OBS: 57574.56562481 g MD  15952.311 154.76 16.9929409803 0.0104775289298 4.71 0
OBS: 57575.45975181 g MD  17976.729 179.654 16.8632233213 0.0107931938007 6.04 0
OBS: 57578.47616985 g MD  23244.135 185.465 16.5842165272 0.00861732217611 4.92 0
OBS: 57580.41096047 g MD  23083.217 198.023 16.5917591643 0.00926494950855 3.73 0
OBS: 57585.41688964 g MD  20285.121 209.309 16.7320559935 0.0111438191569 5.11 0
OBS: 57586.43616414 g MD  18994.963 221.991 16.8034038702 0.0126217818903 5.78 0
OBS: 57597.52252559 g MD  7210.629 148.682 17.8550671228 0.0222694247617 7.28 0
OBS: 57597.52552984 g MD  6933.937 144.921 17.8975502714 0.0225722673858 7.28 0
OBS: 57602.40109083 g MD  3943.95 93.537 18.5101714988 0.0256139048416 4.87 0
OBS: 57606.46921597 g MD  2624.428 87.123 18.9524133435 0.0358527039035 3.59 0
OBS: 57610.37317674 g MD  2283.729 94.133 19.1033885829 0.0445165078694 4.56 0
OBS: 57622.30161133 g MD  1638.876 93.705 19.4636347615 0.0617504924107 4.24 0
OBS: 57566.46137556 r MD  836.527 129.003 20.1938000926 0.1665496033 5.30 0
OBS: 57574.56600996 r MD  14536.042 136.85 17.0938845772 0.0101676921407 4.31 0
OBS: 57575.46014500 r MD  17600.173 154.38 16.8862076582 0.00947322506432 4.83 0
OBS: 57578.47655989 r MD  21325.481 166.353 16.6777529112 0.00842472158072 4.53 0
OBS: 57580.41136889 r MD  22360.03 164.506 16.6263190453 0.00794571742524 4.06 0
OBS: 57585.41729111 r MD  20491.238 179.176 16.7210795061 0.00944355241006 4.88 0
OBS: 57586.43655766 r MD  19156.009 178.08 16.794237419 0.0100400036354 5.60 0
OBS: 57597.52291293 r MD  11396.383 145.936 17.3580824095 0.013829903751 6.96 0
OBS: 57597.52592687 r MD  10607.132 140.532 17.4360050664 0.0143087273732 6.13 0
OBS: 57602.40148410 r MD  9377.949 110.67 17.5697303335 0.0127451748778 4.21 0
OBS: 57606.46960876 r MD  7430.597 105.32 17.8224407303 0.0153077336855 3.75 0
OBS: 57610.37357185 r MD  5898.657 104.072 18.073117142 0.019054805187 4.75 0
OBS: 57622.30201507 r MD  3659.809 90.744 18.591353948 0.0267783154804 3.86 0
OBS: 57609.36920749 r MD  5827.082 55.689 18.0863721759 0.010321481661 4.48 0
OBS: 57609.38099315 r MD  5852.454 55.457 18.0816549779 0.0102339223854 4.64 0
OBS: 57609.39372791 r MD  5777.63 56.948 18.0956256847 0.0106451676552 4.62 0
OBS: 57609.40549341 r MD  5666.515 76.282 18.1167098932 0.0145388408925 4.54 0
OBS: 57566.46173018 i MD  794.664 181.418 20.2495411525 0.246558847513 6.88 0
OBS: 57574.56638374 i MD  12124.095 161.093 17.2908766733 0.0143499733382 4.49 0
OBS: 57575.46050479 i MD  14504.089 148.32 17.09627386 0.0110441683032 4.42 0
OBS: 57578.47693383 i MD  15180.131 159.907 17.0468112015 0.0113766844305 4.43 0
OBS: 57580.41172411 i MD  13096.115 138.077 17.2071437998 0.0113868242605 3.30 0
OBS: 57585.41764562 i MD  12075.517 147.543 17.2952356658 0.0131958275575 4.34 0
OBS: 57586.43691898 i MD  10984.741 152.399 17.3980254462 0.0149835958809 5.12 0
OBS: 57597.52328485 i MD  7962.45 145.114 17.7473832045 0.01968277603 5.79 0
OBS: 57597.52628675 i MD  8093.822 143.52 17.7296158772 0.0191506064749 5.70 0
OBS: 57602.40185260 i MD  8688.613 123.195 17.6526238657 0.0153132151242 3.97 0
OBS: 57606.46997985 i MD  7383.455 117.294 17.8293509192 0.0171569434635 3.58 0
OBS: 57610.37393630 i MD  5691.589 106.737 18.1119161716 0.0202537393336 3.54 0
OBS: 57622.30236302 i MD  2933.828 90.859 18.8314133773 0.0334469914392 3.41 0
OBS: 57558.50862871 i MD  1.906 61.4 26.7996927592 34.7911857293 5.09 0
OBS: 57558.51995872 i MD  162.341 57.143 21.9739294579 0.380153134452 4.65 0
OBS: 57558.53126439 i MD  48.163 58.383 23.2932161734 1.30917177086 4.88 0
OBS: 57558.54261164 i MD  29.093 61.908 23.8405287326 2.29816931908 5.15 0
OBS: 57566.46209400 z MD  616.448 219.111 20.5252588803 0.383876466466 5.51 0
OBS: 57574.56674715 z MD  11140.741 215.747 17.3827148053 0.0209148350186 4.84 0
OBS: 57575.46086864 z MD  12106.161 179.148 17.2924838867 0.0159819318445 3.97 0
OBS: 57578.47730611 z MD  14385.712 186.635 17.1051715962 0.014011527549 3.96 0
OBS: 57580.41208049 z MD  13330.588 185.418 17.1878767346 0.0150219510197 3.10 0
OBS: 57585.41799974 z MD  11230.045 183.949 17.3740462587 0.0176904829856 4.32 0
OBS: 57586.43729113 z MD  10672.22 196.639 17.4293630767 0.0198993386568 4.73 0
OBS: 57597.52364933 z MD  9239.121 197.483 17.5859233628 0.0230846246088 5.52 0
OBS: 57597.52665218 z MD  8989.19 206.929 17.6156986 0.0248613412332 5.68 0
OBS: 57602.40222682 z MD  9333.562 179.128 17.5748814582 0.020727160756 3.84 0
OBS: 57606.47034716 z MD  7701.351 153.268 17.7835827064 0.0214935587276 2.95 0
OBS: 57610.37430422 z MD  5406.375 148.127 18.1677345845 0.02959046681 3.75 0
OBS: 57622.30271723 z MD  2498.437 126.232 19.0058289929 0.0545663388751 3.27 0
END:
