SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: ATLAS16agv 
IAUC: 2016bfc
RA:   250.290312
DECL:    50.972448
MWEBV: 0.021 
FILTERS: griz
REDSHIFT_HELIO: 0.04779 +- 0.00017 
REDSHIFT_CMB: 0.0477736 +- 0.00017 
VPEC: -119.844 +- 250.0
SEARCH_PEAKMJD: 57467.53806371 
HOSTGAL_LOGMASS: 6.000 +- 0.100
NOBS: 32
NVAR: 8
VARLIST:    MJD    FLT    FIELD    FLUXCAL    FLUXCALERR    MAG    MAGERR    FWHM    FLAG
OBS: 57467.53806371 g MD  14947.575 223.516 17.063573147 0.0161495948339 5.13 0
OBS: 57472.58236900 g MD  14262.887 220.164 17.1144813964 0.0166710372171 4.91 0
OBS: 57477.60020704 g MD  12381.675 161.175 17.2680514993 0.0140585986952 4.51 0
OBS: 57482.46565069 g MD  9191.337 197.51 17.5915532755 0.0232078097017 9.47 0
OBS: 57490.58761946 g MD  4901.442 128.919 18.2741903303 0.0284064403904 6.85 0
OBS: 57497.59745151 g MD  2621.592 129.112 18.9535872423 0.0531894207794 4.87 0
OBS: 57507.52129847 g MD  1865.789 121.985 19.3228436792 0.0706102351338 5.59 0
OBS: 57467.53847095 r MD  12727.235 181.994 17.2381648421 0.0154435366362 5.07 0
OBS: 57472.58277589 r MD  12611.633 173.096 17.2480716894 0.0148231145007 5.08 0
OBS: 57477.60060263 r MD  11652.545 134.451 17.3339480281 0.0124614047832 4.10 0
OBS: 57482.46605725 r MD  8958.755 138.565 17.6193808503 0.0167043523347 6.30 0
OBS: 57490.58801877 r MD  6830.192 119.369 17.9139177198 0.0188748017625 6.05 0
OBS: 57497.59785599 r MD  5761.212 114.545 18.0987153585 0.0214726692925 4.66 0
OBS: 57507.52169539 r MD  4338.738 115.246 18.4065914362 0.0286870698346 4.94 0
OBS: 57467.53882124 i MD  8293.625 155.527 17.7031390134 0.0202528038102 4.84 0
OBS: 57472.58313224 i MD  6839.106 139.784 17.9125016626 0.0220740430109 4.50 0
OBS: 57477.60095972 i MD  6308.433 111.854 18.0001962627 0.019149338671 3.58 0
OBS: 57482.46640419 i MD  4508.437 125.1 18.3649349867 0.0299678136791 5.62 0
OBS: 57490.58837165 i MD  3746.488 110.157 18.5659391353 0.0317549555744 5.32 0
OBS: 57497.59821532 i MD  4482.574 116.264 18.3711813305 0.028011834272 4.34 0
OBS: 57507.52205759 i MD  3914.006 108.523 18.5184462823 0.0299449821998 3.79 0
OBS: 57531.44339210 i MD  1339.855 67.783 19.6823554968 0.0546369868381 5.40 0
OBS: 57531.45679719 i MD  1364.968 58.925 19.662193825 0.046623071017 4.51 0
OBS: 57531.47022771 i MD  1243.689 56.707 19.7632205171 0.0492434684234 4.53 0
OBS: 57531.48364163 i MD  1469.882 72.554 19.581793821 0.0533092588385 5.86 0
OBS: 57467.53917971 z MD  7368.102 190.877 17.8316109266 0.0279783260329 4.58 0
OBS: 57472.58348840 z MD  6688.79 171.933 17.9366310972 0.0277610210516 4.07 0
OBS: 57477.60131971 z MD  5668.773 156.773 18.1162773338 0.0298679873052 3.76 0
OBS: 57482.46675655 z MD  4496.689 195.393 18.3677678702 0.0469288492044 5.14 0
OBS: 57490.58873668 z MD  4114.762 153.078 18.4641381989 0.040178323801 4.63 0
OBS: 57497.59856584 z MD  3473.458 140.808 18.6480948703 0.0437813383665 3.91 0
OBS: 57507.52242126 z MD  3350.426 157.837 18.6872499244 0.0508782942826 3.67 0
END:
