SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: ATLAS16bwu 
IAUC: 2016enx
RA:    18.592750
DECL:   -13.153090 
RA_HOST:    18.594708
DEC_HOST:   -13.154417
MWEBV: 0.0273 
FILTERS: griz
REDSHIFT_HELIO: 0.0718027 +- 5.7516e-05 
REDSHIFT_CMB: 0.0707419 +- 5.7516e-05 
VPEC: -47.779694 +- 250.0
SEARCH_PEAKMJD: 57600.26462464 
HOSTGAL_LOGMASS: 10.194 +- 0.017
NOBS: 23
NVAR: 8
VARLIST:    MJD    FLT    FIELD    FLUXCAL    FLUXCALERR    MAG    MAGERR    FWHM    FLAG
OBS: 57608.60840219 g MD  4458.956 110.884 18.3769170329 0.0268571208148 5.17 0
OBS: 57614.61292154 g MD  3820.069 99.05 18.5448219814 0.0280031591052 4.98 0
OBS: 57619.56977106 g MD  2694.868 143.746 18.9236562564 0.0576078976781 3.58 0
OBS: 57627.54807935 g MD  1232.295 73.264 19.7732132841 0.0642095602108 4.05 0
OBS: 57639.52120431 g MD  655.427 66.395 20.4586891801 0.109404403542 4.21 0
OBS: 57653.52302514 g MD  242.303 114.377 21.5391030219 0.509804500976 6.14 0
OBS: 57608.60881043 r MD  4283.865 86.595 18.4204105595 0.0218313602319 4.10 0
OBS: 57614.61332722 r MD  4291.96 86.359 18.4183608355 0.0217307989823 4.26 0
OBS: 57619.57017032 r MD  3445.655 103.291 18.6568205223 0.0323753480833 3.26 0
OBS: 57627.54848758 r MD  2301.612 73.128 19.094919717 0.0343143153581 3.81 0
OBS: 57639.52160473 r MD  1597.681 65.057 19.4912748238 0.0439772144752 3.63 0
OBS: 57653.52342675 r MD  874.155 88.211 20.146028885 0.108982823412 5.49 0
OBS: 57608.60916963 i MD  2810.801 77.811 18.8779247516 0.0298974847383 3.40 0
OBS: 57614.61367613 i MD  2977.671 86.404 18.8153082218 0.0313386938987 4.02 0
OBS: 57619.57053148 i MD  2280.085 102.971 19.1051224062 0.0487739185162 2.96 0
OBS: 57627.54884926 i MD  2231.618 83.068 19.1284503607 0.0402010738397 3.76 0
OBS: 57639.52195697 i MD  1918.287 72.119 19.2927160409 0.0406031631346 2.95 0
OBS: 57653.52378262 i MD  940.41 100.062 20.0667069035 0.114914728682 5.14 0
OBS: 57608.60952112 z MD  2290.26 105.519 19.1002880298 0.0497587697467 3.40 0
OBS: 57614.61402805 z MD  1827.878 125.491 19.3451319855 0.0741462395193 4.40 0
OBS: 57619.57089774 z MD  1598.916 119.47 19.4904358789 0.0806969221648 2.80 0
OBS: 57627.54921281 z MD  1920.508 115.44 19.2914596985 0.0649178238258 3.20 0
OBS: 57653.52414242 z MD  810.017 123.961 20.228764666 0.165277864539 3.81 0
END:
