SURVEY: PS1MD
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: CSS151120-0 
IAUC: UNKNOWN
RA:    71.357247
DECL:   -19.032540
MWEBV: 0.0436 
FILTERS: griz
REDSHIFT_HELIO: 0.07192 +- 0.0006 
REDSHIFT_CMB: 0.0718329 +- 0.0006 
VPEC: 10.036775 +- 250.0
SEARCH_PEAKMJD: 57349.47799958 
HOSTGAL_LOGMASS: 6.000 +- 0.100
NOBS: 35
NVAR: 8
VARLIST:    MJD    FLT    FIELD    FLUXCAL    FLUXCALERR    MAG    MAGERR    FWHM    FLAG
OBS: 57349.47758963 g MD  5958.094 223.977 18.0622316232 0.0405994198816 5.40 0
OBS: 57354.40727370 g MD  5535.017 300.531 18.1422026023 0.0586400150171 5.59 0
OBS: 57358.40402733 g MD  4651.366 125.44 18.331048715 0.0291258954896 5.46 0
OBS: 57363.40558599 g MD  3742.468 99.366 18.567104761 0.0286750026988 4.14 0
OBS: 57370.37198053 g MD  2155.93 78.64 19.1659133605 0.0393942289406 4.13 0
OBS: 57379.41346129 g MD  907.642 308.168 20.1052135397 0.366688011352 7.94 0
OBS: 57390.30428109 g MD  496.514 94.776 20.7601712534 0.206153461937 7.30 0
OBS: 57349.47799958 r MD  6315.047 164.964 17.9990585321 0.0282121605746 4.73 0
OBS: 57354.40768960 r MD  5464.649 248.729 18.15609432 0.0491572871377 4.74 0
OBS: 57358.40443630 r MD  4993.863 110.466 18.2539084403 0.0238899785597 4.80 0
OBS: 57363.40599549 r MD  4819.072 89.183 18.2925914625 0.0199867609365 3.29 0
OBS: 57370.37239647 r MD  3752.765 87.027 18.5641215762 0.0250453092586 4.00 0
OBS: 57379.41386754 r MD  2172.752 217.388 19.1574746041 0.108056068985 7.26 0
OBS: 57390.30469291 r MD  1459.742 90.086 19.5893097405 0.066650736911 6.07 0
OBS: 57403.27777033 r MD  626.521 42.595 20.5076609189 0.0734254717719 5.49 0
OBS: 57403.28858004 r MD  625.506 40.835 20.5094213002 0.0705057985055 5.00 0
OBS: 57403.29943030 r MD  594.809 34.563 20.5640561721 0.0627563469954 4.01 0
OBS: 57349.47835022 i MD  3957.873 149.947 18.5063453638 0.0409166135447 4.34 0
OBS: 57354.40804474 i MD  3250.913 251.146 18.719986632 0.0834343090695 4.28 0
OBS: 57358.40478432 i MD  3586.188 96.762 18.6134173675 0.029140402009 4.19 0
OBS: 57363.40634805 i MD  2820.369 83.391 18.8742351688 0.0319328002825 3.39 0
OBS: 57370.37274731 i MD  2666.737 82.61 18.9350495334 0.0334561675936 4.03 0
OBS: 57379.41421416 i MD  2578.596 199.345 18.9715417384 0.0834921794651 6.51 0
OBS: 57390.30504617 i MD  1271.099 102.861 19.7395515574 0.0873967173289 5.32 0
OBS: 57382.38482464 i MD  2025.796 174.82 19.2335107268 0.0932006974049 11.53 0
OBS: 57382.39515794 i MD  2172.966 183.282 19.1573676724 0.0910941818694 12.29 0
OBS: 57382.40547670 i MD  1863.725 145.178 19.3240454228 0.0841284202337 8.97 0
OBS: 57382.41579971 i MD  1830.699 187.299 19.3434576392 0.110494909322 12.17 0
OBS: 57349.47870309 z MD  3872.124 195.589 18.5301268585 0.0545530360081 4.47 0
OBS: 57354.40840022 z MD  3503.442 393.338 18.6387626698 0.121253624293 5.12 0
OBS: 57358.40514085 z MD  3027.22 131.548 18.79739004 0.0469314552626 3.86 0
OBS: 57363.40669545 z MD  2791.848 114.54 18.8852705756 0.0443087159473 3.36 0
OBS: 57370.37310058 z MD  2620.411 124.854 18.9540764654 0.0514584620504 3.58 0
OBS: 57379.41456709 z MD  1979.916 261.775 19.2583830869 0.142792421497 6.69 0
OBS: 57390.30539596 z MD  1843.913 153.022 19.3356489345 0.0896266580907 4.41 0
END:
