SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: CSS160428 
IAUC: 2016eee
RA:   200.780011
DECL:    52.649075 
RA_HOST:   200.780258
DEC_HOST:    52.649481
MWEBV: 0.0095 
FILTERS: griz
REDSHIFT_HELIO: 0.03029 +- 0.00015 
REDSHIFT_CMB: 0.0308093 +- 0.00015 
VPEC: -196.002 +- 250.0
SEARCH_PEAKMJD: 57514.35398770 
HOSTGAL_LOGMASS: 6.000 +- 0.100
NOBS: 32
NVAR: 8
VARLIST:    MJD    FLT    FIELD    FLUXCAL    FLUXCALERR    MAG    MAGERR    FWHM    FLAG
OBS: 57514.35398770 g MD  27223.691 215.751 16.4126324833 0.00855912888521 5.65 0
OBS: 57520.40845612 g MD  26313.736 224.218 16.449543717 0.00920262481922 5.03 0
OBS: 57525.30578648 g MD  23335.323 237.436 16.5799654584 0.010988957813 5.44 0
OBS: 57532.35980666 g MD  14280.902 239.179 17.1131109027 0.0180880255323 7.13 0
OBS: 57538.36164532 g MD  9308.525 119.237 17.5777978263 0.013834196073 4.65 0
OBS: 57545.30773489 g MD  5368.079 105.33 18.1754527536 0.0211912678632 3.42 0
OBS: 57555.26556207 g MD  2574.185 190.888 18.9734006117 0.0800871110662 5.20 0
OBS: 57514.35438167 r MD  24279.598 174.257 16.5368962705 0.00775126342701 4.71 0
OBS: 57520.40886353 r MD  24250.083 179.235 16.5382169265 0.00798239742107 4.73 0
OBS: 57525.30619012 r MD  21924.32 208.106 16.6476846693 0.0102513774658 6.40 0
OBS: 57532.36020882 r MD  14428.422 216.295 17.10195291 0.0161901696526 8.89 0
OBS: 57538.36204545 r MD  13313.572 126.077 17.1892635218 0.0102273950222 4.22 0
OBS: 57545.30813059 r MD  11206.296 125.494 17.376344776 0.0120944083576 3.46 0
OBS: 57555.26596829 r MD  6905.667 158.484 17.9019859193 0.0247858345906 4.58 0
OBS: 57514.35473638 i MD  14351.842 144.618 17.1077308886 0.0108827452253 4.32 0
OBS: 57520.40921948 i MD  13113.016 156.116 17.2057435222 0.0128578566517 4.45 0
OBS: 57525.30654982 i MD  11199.113 177.535 17.3770409332 0.017120802335 5.26 0
OBS: 57532.36056099 i MD  6661.331 162.206 17.9410974645 0.0262984199404 7.14 0
OBS: 57538.36240062 i MD  7446.325 104.939 17.8201450316 0.0152201414792 3.48 0
OBS: 57545.30849300 i MD  8321.866 121.112 17.6994482039 0.0157177440733 3.42 0
OBS: 57555.26632319 i MD  6111.696 152.814 18.03459564 0.0270038169438 4.36 0
OBS: 57500.43411367 i MD  443.944 64.373 20.8816795231 0.156602724668 3.71 0
OBS: 57500.44720343 i MD  480.996 71.998 20.7946463381 0.161660055385 4.12 0
OBS: 57500.46031880 i MD  518.153 66.567 20.7138549576 0.138747358406 3.69 0
OBS: 57500.47340290 i MD  584.976 69.597 20.5821548787 0.128492040699 3.82 0
OBS: 57514.35509204 z MD  13120.519 189.769 17.2051224638 0.0156206107396 4.36 0
OBS: 57520.40957347 z MD  12133.54 215.005 17.2900311845 0.0191374817242 4.53 0
OBS: 57525.30691145 z MD  10284.095 229.033 17.4695848005 0.0240522515593 4.69 0
OBS: 57532.36091941 z MD  7939.897 269.955 17.7504628285 0.0367197962392 7.69 0
OBS: 57538.36275753 z MD  8211.276 152.865 17.713973375 0.0201057911097 3.39 0
OBS: 57545.30885446 z MD  7852.399 178.305 17.7624941023 0.0245236392089 4.00 0
OBS: 57555.26667745 z MD  5721.443 196.885 18.1062360609 0.037164715265 3.93 0
END:
