SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: Gaia16bba 
IAUC: 2016fbo
RA:    15.398037
DECL:    17.101263 
RA_HOST:    15.399042
DEC_HOST:    17.101139
MWEBV: 0.0401 
FILTERS: griz
REDSHIFT_HELIO: 0.0304577 +- 8.6056e-05 
REDSHIFT_CMB: 0.0293439 +- 8.6056e-05 
VPEC: -161.2162 +- 250.0
SEARCH_PEAKMJD: 57630.59472751 
HOSTGAL_LOGMASS: 8.651 +- 0.023
NOBS: 24
NVAR: 8
VARLIST:    MJD    FLT    FIELD    FLUXCAL    FLUXCALERR    MAG    MAGERR    FWHM    FLAG
OBS: 57630.59472751 g MD  27033.093 195.283 16.4202606538 0.00780175764571 4.74 0
OBS: 57639.47213448 g MD  15365.63 185.555 17.0336240718 0.0130420555486 4.53 0
OBS: 57656.56246703 g MD  4116.387 107.708 18.463709505 0.0282589173467 4.13 0
OBS: 57669.35539101 g MD  2342.404 96.647 19.0758454975 0.0445605284144 4.33 0
OBS: 57680.46732805 g MD  1805.673 127.586 19.3584022396 0.0763110928723 3.94 0
OBS: 57690.40222855 g MD  1653.586 132.442 19.4539330332 0.0865013129042 7.00 0
OBS: 57630.59512207 r MD  25255.237 164.919 16.4941213791 0.00705249845804 4.67 0
OBS: 57639.47252394 r MD  16622.809 154.32 16.9482389631 0.0100263198597 4.52 0
OBS: 57656.56286739 r MD  10440.565 127.38 17.4531899962 0.0131765282818 3.76 0
OBS: 57669.35578497 r MD  5258.127 99.204 18.1979223214 0.0203761377388 4.27 0
OBS: 57680.46771701 r MD  3613.084 102.246 18.6053048537 0.0305627214867 3.71 0
OBS: 57690.40261384 r MD  2702.566 112.32 18.9205592281 0.0448853423006 6.29 0
OBS: 57630.59549025 i MD  14460.368 144.435 17.0995516365 0.0107874018144 4.85 0
OBS: 57639.47289533 i MD  8117.123 129.994 17.7264946826 0.0172959705058 4.08 0
OBS: 57656.56322571 i MD  9445.062 128.577 17.5619879673 0.0147021967669 3.82 0
OBS: 57669.35615035 i MD  4631.437 100.45 18.3357105979 0.0234238315236 3.75 0
OBS: 57680.46807977 i MD  2776.168 93.751 18.8913856402 0.036471524778 3.23 0
OBS: 57690.40298692 i MD  1864.708 117.324 19.3234729149 0.0679516149445 5.81 0
OBS: 57630.59585135 z MD  13421.858 172.967 17.1804684006 0.0139179210509 3.95 0
OBS: 57639.47327276 z MD  9646.168 174.331 17.5391129464 0.0195183704037 3.64 0
OBS: 57656.56357858 z MD  9370.019 169.906 17.5706488212 0.0195835760845 3.32 0
OBS: 57669.35651689 z MD  5175.058 147.013 18.2152119461 0.0306806300528 3.30 0
OBS: 57680.46844265 z MD  2635.508 130.159 18.9478391529 0.0533376184022 3.00 0
OBS: 57690.40336413 z MD  1937.278 165.677 19.2820201335 0.0923621493663 5.34 0
END:
